Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 13812046, 0.00072400568751618266
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 15532733, 0.00064380170078948140
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 16679805, 0.00059952738229185343
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 17206694, 0.00058116915170103312
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 18092934, 0.00055270193843171000
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 19098874, 0.00052359106484800577
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 15733164, 0.00063560006674379110
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 13844872, 0.00072228908538818359
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 17225776, 0.00058052537497133017
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 16073826, 0.00062212941702455282
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 17716922, 0.00056443212088197470
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 18368680, 0.00054440496023744345
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 17372036, 0.00057563779409974813
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 17554530, 0.00056965352268889546
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 17830650, 0.00056083203526213765
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 16209243, 0.00061693193856626749
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 17653538, 0.00056645867880433798
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 15636968, 0.00063951016636565328
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 17961988, 0.00055673124734312296
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 18866914, 0.00053002836648374796
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 19369650, 0.00051627156790345907
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 15521237, 0.00064427853794768453
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 19502042, 0.00051276682643219829
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 19156446, 0.00052201747894287109
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 14076735, 0.00071039202157407999
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 16438581, 0.00060832500457763672
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 17614984, 0.00056769850198179483
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 13518239, 0.00073974131373688579
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 14834492, 0.00067410466726869345
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 15484565, 0.00064580439357087016
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 10834076, 0.00092301366385072470
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 11765889, 0.00084991456242278218
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 12152823, 0.00082285405369475484
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 6712390, 0.00148978235665708780
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 6694284, 0.00149381160736083984
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 8417733, 0.00118796830065548420
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 9308678, 0.00107426638714969158
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 9871273, 0.00101304054260253906
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 10351194, 0.00096607208251953125
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 4262330, 0.00234613427892327309
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 3736973, 0.00267596240155398846
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 5376348, 0.00185999867971986532
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 7008846, 0.00142676825635135174
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 7127109, 0.00140309333801269531
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 7031288, 0.00142221455462276936
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 7073264, 0.00141377444379031658
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 7182519, 0.00139226915780454874
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 7440667, 0.00134396553039550781
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 3235122, 0.00309107312932610512
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 3734411, 0.00267779827117919922
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 3945537, 0.00253450870513916016
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 3311702, 0.00301959505304694176
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3084432, 0.00324208731763064861
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 2697024, 0.00370779028162360191
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3642533, 0.00274534220807254314
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 3759651, 0.00265982141718268394
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3489902, 0.00286540994420647621
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 3715225, 0.00269162654876708984
