Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 100, 18558866, 0.00000538825997864478
Merge Sort using Serial Merge, 28, 100, 13706876, 0.00000729560861145728
Merge Sort using Serial Merge Branchless, 28, 100, 18808538, 0.00000531673413206590
Merge Sort using Bitonic Merge, 28, 100, 22550022, 0.00000443458566223853
Quick Sort, 32, 100, 12865964, 0.00000777244531491306
Merge Sort using Serial Merge, 32, 100, 9425402, 0.00001060962677001953
Merge Sort using Serial Merge Branchless, 32, 100, 13148289, 0.00000760555258239037
Merge Sort using Bitonic Merge, 32, 100, 15087425, 0.00000662803631712450
Quick Sort, 28, 100, 15768060, 0.00000634193429505103
Merge Sort using Serial Merge, 28, 100, 11781753, 0.00000848770105221774
Merge Sort using Serial Merge Branchless, 28, 100, 15534459, 0.00000643730163574219
Merge Sort using Bitonic Merge, 28, 100, 17476266, 0.00000572204589843750
Quick Sort, 32, 100, 19239928, 0.00000519752484251512
Merge Sort using Serial Merge, 32, 100, 14027773, 0.00000712871542418725
Merge Sort using Serial Merge Branchless, 32, 100, 17848102, 0.00000560283660888672
Merge Sort using Bitonic Merge, 32, 100, 21620124, 0.00000462532034362084
Quick Sort, 28, 100, 14926349, 0.00000669956216370338
Merge Sort using Serial Merge, 28, 100, 11459847, 0.00000872611963131931
Merge Sort using Serial Merge Branchless, 28, 100, 14563556, 0.00000686645489622606
Merge Sort using Bitonic Merge, 28, 100, 16777216, 0.00000596046447753906
Quick Sort, 32, 100, 21183354, 0.00000472068768431200
Merge Sort using Serial Merge, 32, 100, 16710374, 0.00000598430642639869
Merge Sort using Serial Merge Branchless, 32, 100, 22795130, 0.00000438690176451928
Merge Sort using Bitonic Merge, 32, 100, 26715312, 0.00000374317164641980
Quick Sort, 28, 100, 17050016, 0.00000586509713684791
Merge Sort using Serial Merge, 28, 100, 12520310, 0.00000798702239990234
Merge Sort using Serial Merge Branchless, 28, 100, 16513008, 0.00000605583181823022
Merge Sort using Bitonic Merge, 28, 100, 19239928, 0.00000519752484251512
Quick Sort, 32, 100, 22075284, 0.00000452995300292969
Merge Sort using Serial Merge, 32, 100, 16578277, 0.00000603198986937059
Merge Sort using Serial Merge Branchless, 32, 100, 22795130, 0.00000438690176451928
Merge Sort using Bitonic Merge, 32, 100, 29330796, 0.00000340938572662708
Quick Sort, 28, 100, 22795130, 0.00000438690176451928
Merge Sort using Serial Merge, 28, 100, 16256993, 0.00000615119915892137
Merge Sort using Serial Merge Branchless, 28, 100, 22919694, 0.00000436305981565965
Merge Sort using Bitonic Merge, 28, 100, 27060026, 0.00000369548797607422
Quick Sort, 32, 100, 20763880, 0.00000481605547975050
Merge Sort using Serial Merge, 32, 100, 16131938, 0.00000619888305664062
Merge Sort using Serial Merge Branchless, 32, 100, 22192086, 0.00000450611105407006
Merge Sort using Bitonic Merge, 32, 100, 30174850, 0.00000331401815856225
Quick Sort, 28, 100, 22310128, 0.00000448226910521043
Merge Sort using Serial Merge, 28, 100, 16070130, 0.00000622272500550025
Merge Sort using Serial Merge Branchless, 28, 100, 23172950, 0.00000431537637268775
Merge Sort using Bitonic Merge, 28, 100, 28728108, 0.00000348091134583228
Quick Sort, 32, 100, 22310128, 0.00000448226910521043
Merge Sort using Serial Merge, 32, 100, 16644063, 0.00000600814837525832
Merge Sort using Serial Merge Branchless, 32, 100, 22310128, 0.00000448226910521043
Merge Sort using Bitonic Merge, 32, 100, 26214400, 0.00000381469726562500
Quick Sort, 28, 100, 21290882, 0.00000469684619019972
Merge Sort using Serial Merge, 28, 100, 16513008, 0.00000605583181823022
Merge Sort using Serial Merge Branchless, 28, 100, 23967452, 0.00000417232513427734
Merge Sort using Bitonic Merge, 28, 100, 25420024, 0.00000393390655517578
Quick Sort, 32, 100, 21959706, 0.00000455379495178931
Merge Sort using Serial Merge, 32, 100, 16644063, 0.00000600814837525832
Merge Sort using Serial Merge Branchless, 32, 100, 23696632, 0.00000422000903199660
Merge Sort using Bitonic Merge, 32, 100, 27235740, 0.00000367164602721459
Quick Sort, 28, 100, 21732146, 0.00000460147839476122
Merge Sort using Serial Merge, 28, 100, 16710374, 0.00000598430642639869
Merge Sort using Serial Merge Branchless, 28, 100, 23431866, 0.00000426769247496850
Merge Sort using Bitonic Merge, 28, 100, 28532680, 0.00000350475306731823
Quick Sort, 32, 100, 22795130, 0.00000438690176451928
Merge Sort using Serial Merge, 32, 100, 17050016, 0.00000586509713684791
Merge Sort using Serial Merge Branchless, 32, 100, 23431866, 0.00000426769247496850
Merge Sort using Bitonic Merge, 32, 100, 25731928, 0.00000388622265745653
Quick Sort, 28, 100, 21732146, 0.00000460147839476122
Merge Sort using Serial Merge, 28, 100, 16448251, 0.00000607967376708984
Merge Sort using Serial Merge Branchless, 28, 100, 21620124, 0.00000462532034362084
