Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 8063333, 0.00124018196947872639
Merge Sort using Serial Merge, 28, 10000, 8917410, 0.00112140178680419922
Merge Sort using Serial Merge Branchless, 28, 10000, 10773133, 0.00092823506565764546
Merge Sort using Bitonic Merge, 28, 10000, 12752132, 0.00078418257180601358
Quick Sort, 32, 10000, 10441384, 0.00095772743225097656
Merge Sort using Serial Merge, 32, 10000, 10902792, 0.00091719627380371094
Merge Sort using Serial Merge Branchless, 32, 10000, 13214568, 0.00075674057006835938
Merge Sort using Bitonic Merge, 32, 10000, 16401298, 0.00060970784397795796
Quick Sort, 28, 10000, 10189501, 0.00098140235058963299
Merge Sort using Serial Merge, 28, 10000, 10781995, 0.00092747213784605265
Merge Sort using Serial Merge Branchless, 28, 10000, 13027407, 0.00076761248055845499
Merge Sort using Bitonic Merge, 28, 10000, 16042471, 0.00062334537506103516
Quick Sort, 32, 10000, 10425034, 0.00095922948094084859
Merge Sort using Serial Merge, 32, 10000, 10931776, 0.00091476441593840718
Merge Sort using Serial Merge Branchless, 32, 10000, 13247960, 0.00075483322143554688
Merge Sort using Bitonic Merge, 32, 10000, 16391044, 0.00061008927877992392
Quick Sort, 28, 10000, 10500723, 0.00095231534214690328
Merge Sort using Serial Merge, 28, 10000, 10897976, 0.00091760157374665141
Merge Sort using Serial Merge Branchless, 28, 10000, 13233748, 0.00075564382132142782
Merge Sort using Bitonic Merge, 28, 10000, 16310729, 0.00061309337615966797
Quick Sort, 32, 10000, 10499409, 0.00095243455143645406
Merge Sort using Serial Merge, 32, 10000, 11115156, 0.00089967250823974609
Merge Sort using Serial Merge Branchless, 32, 10000, 13485641, 0.00074152945308014750
Merge Sort using Bitonic Merge, 32, 10000, 16542968, 0.00060448644217103720
Quick Sort, 28, 10000, 10474239, 0.00095472333487123251
Merge Sort using Serial Merge, 28, 10000, 11042292, 0.00090560910757631063
Merge Sort using Serial Merge Branchless, 28, 10000, 9767597, 0.00102379324380308390
Merge Sort using Bitonic Merge, 28, 10000, 15233734, 0.00065643788548186421
Quick Sort, 32, 10000, 10464308, 0.00095562933711335063
Merge Sort using Serial Merge, 32, 10000, 11074947, 0.00090293883113190532
Merge Sort using Serial Merge Branchless, 32, 10000, 13242940, 0.00075511931208893657
Merge Sort using Bitonic Merge, 32, 10000, 16367376, 0.00061097147408872843
Quick Sort, 28, 10000, 10422185, 0.00095949170645326376
Merge Sort using Serial Merge, 28, 10000, 10991651, 0.00090978143271058798
Merge Sort using Serial Merge Branchless, 28, 10000, 13240014, 0.00075528619345277548
Merge Sort using Bitonic Merge, 28, 10000, 16312633, 0.00061302183894440532
Quick Sort, 32, 10000, 10590340, 0.00094425678253173828
Merge Sort using Serial Merge, 32, 10000, 11185706, 0.00089399813441559672
Merge Sort using Serial Merge Branchless, 32, 10000, 13445868, 0.00074372289236634970
Merge Sort using Bitonic Merge, 32, 10000, 16404505, 0.00060958863468840718
Quick Sort, 28, 10000, 10127255, 0.00098743441049009562
Merge Sort using Serial Merge, 28, 10000, 10845001, 0.00092208385467529297
Merge Sort using Serial Merge Branchless, 28, 10000, 12920260, 0.00077397824497893453
Merge Sort using Bitonic Merge, 28, 10000, 16115822, 0.00062050821725279093
Quick Sort, 32, 10000, 10504142, 0.00095200538635253906
Merge Sort using Serial Merge, 32, 10000, 11089002, 0.00090179441031068563
Merge Sort using Serial Merge Branchless, 32, 10000, 13524341, 0.00073940755100920796
Merge Sort using Bitonic Merge, 32, 10000, 16492231, 0.00060634611872956157
Quick Sort, 28, 10000, 10349407, 0.00096623896388337016
Merge Sort using Serial Merge, 28, 10000, 10862414, 0.00092060567112639546
Merge Sort using Serial Merge Branchless, 28, 10000, 13151174, 0.00076038838597014546
Merge Sort using Bitonic Merge, 28, 10000, 15941862, 0.00062727928161621094
Quick Sort, 32, 10000, 10372441, 0.00096409319667145610
Merge Sort using Serial Merge, 32, 10000, 10845842, 0.00092201231746003032
Merge Sort using Serial Merge Branchless, 32, 10000, 13204168, 0.00075733661651611328
Merge Sort using Bitonic Merge, 32, 10000, 16305656, 0.00061328412266448140
Quick Sort, 28, 10000, 10132638, 0.00098690984304994345
Merge Sort using Serial Merge, 28, 10000, 10748287, 0.00093038083286955953
Merge Sort using Serial Merge Branchless, 28, 10000, 12911908, 0.00077447888907045126
Merge Sort using Bitonic Merge, 28, 10000, 15651556, 0.00063891411991789937
Quick Sort, 32, 10000, 8769191, 0.00114035606384277344
Merge Sort using Serial Merge, 32, 10000, 9592242, 0.00104250910226255655
Merge Sort using Serial Merge Branchless, 32, 10000, 11700898, 0.00085463526193052530
Merge Sort using Bitonic Merge, 32, 10000, 13601971, 0.00073518755380064249
Quick Sort, 28, 10000, 10207106, 0.00097970967181026936
Merge Sort using Serial Merge, 28, 10000, 10832677, 0.00092313287314027548
Merge Sort using Serial Merge Branchless, 28, 10000, 13057825, 0.00076582434121519327
Merge Sort using Bitonic Merge, 28, 10000, 16083687, 0.00062174798222258687
Quick Sort, 32, 10000, 10339456, 0.00096716883126646280
Merge Sort using Serial Merge, 32, 10000, 10735632, 0.00093147752340883017
Merge Sort using Serial Merge Branchless, 32, 10000, 13133467, 0.00076141359750181437
Merge Sort using Bitonic Merge, 32, 10000, 16226176, 0.00061628816183656454
Quick Sort, 28, 10000, 10614460, 0.00094211101531982422
Merge Sort using Serial Merge, 28, 10000, 11177061, 0.00089468958321958780
Merge Sort using Serial Merge Branchless, 28, 10000, 13414046, 0.00074548722477629781
Merge Sort using Bitonic Merge, 28, 10000, 16299954, 0.00061349867610260844
Quick Sort, 32, 10000, 6914562, 0.00144622323568910360
Merge Sort using Serial Merge, 32, 10000, 8376713, 0.00119378569070249796
Merge Sort using Serial Merge Branchless, 32, 10000, 10225022, 0.00097799301147460938
Merge Sort using Bitonic Merge, 32, 10000, 12213337, 0.00081877707270905375
