Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 9833550, 0.00101692671887576580
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 11608602, 0.00086143019143491983
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 13109658, 0.00076279637869447470
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 17027174, 0.00058729649754241109
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 17479180, 0.00057210924569517374
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 19020062, 0.00052576063899323344
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 15920078, 0.00062813761178404093
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 18581066, 0.00053818227024748921
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 19168702, 0.00052168371621519327
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 10080765, 0.00099198822863399982
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 10749389, 0.00093028543051332235
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 12514333, 0.00079908373299986124
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 11448274, 0.00087349413661286235
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 13690322, 0.00073044298915192485
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 15223229, 0.00065689085749909282
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 15867081, 0.00063023564871400595
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 16983050, 0.00058882235316559672
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 17568502, 0.00056920049246400595
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 16342505, 0.00061190128326416016
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 18586006, 0.00053803919581696391
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 15827562, 0.00063180923461914062
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 16866270, 0.00059289933415129781
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 17528122, 0.00057051179464906454
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 19158196, 0.00052196980686858296
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 15489140, 0.00064561364706605673
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 15987437, 0.00062549114227294922
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 17460262, 0.00057272909907624125
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 6349811, 0.00157485005911439657
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 14513665, 0.00068900582846254110
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 16512357, 0.00060560705605894327
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 10451792, 0.00095677375793457031
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 11701551, 0.00085458753164857626
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 12030128, 0.00083124637603759766
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 9544222, 0.00104775431100279093
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 9823646, 0.00101795198861509562
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 9446205, 0.00105862622149288654
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 9486586, 0.00105412001721560955
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 9811467, 0.00101921556051820517
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 10260541, 0.00097460747929289937
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 5127636, 0.00195021624676883221
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 4922487, 0.00203149323351681232
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 6696422, 0.00149333477020263672
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 6652873, 0.00150310993194580078
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 7219857, 0.00138506887014955282
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 7458264, 0.00134079460985958576
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 7060285, 0.00141637329943478107
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 6631310, 0.00150799751281738281
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 6589740, 0.00151751039084047079
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 3192303, 0.00313253398053348064
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 2835502, 0.00352671137079596519
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 3144533, 0.00318012246862053871
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 3868463, 0.00258500571362674236
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3989977, 0.00250627985224127769
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 3508468, 0.00285024638287723064
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3277747, 0.00305087561719119549
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 3549922, 0.00281696324236690998
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3849009, 0.00259807100519537926
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 3780695, 0.00264501571655273438
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 72, 3862798, 0.00258879666216671467
Parallel Merge Sort using Bitonic Merge, 32, 10000, 72, 3906402, 0.00255990028381347656
Parallel Merge Sort using Serial Merge, 28, 1000, 5, 4850028, 0.00020618438429664820
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 5, 8789405, 0.00011377334885764867
Parallel Merge Sort using Bitonic Merge, 28, 1000, 5, 9412711, 0.00010623932030284777
Parallel Merge Sort using Serial Merge, 32, 1000, 5, 9250781, 0.00010809898230945691
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 5, 9825027, 0.00010178088996326551
Parallel Merge Sort using Bitonic Merge, 32, 1000, 5, 10148328, 0.00009853839583229274
Parallel Merge Sort using Serial Merge, 28, 1000, 6, 8030450, 0.00012452602095436305
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 6, 8516353, 0.00011742115020751953
Parallel Merge Sort using Bitonic Merge, 28, 1000, 6, 8774695, 0.00011396408081054688
Parallel Merge Sort using Serial Merge, 32, 1000, 6, 7949780, 0.00012578963651321828
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 6, 8787564, 0.00011379718489479274
Parallel Merge Sort using Bitonic Merge, 32, 1000, 6, 8908887, 0.00011224746413063258
Parallel Merge Sort using Serial Merge, 28, 1000, 7, 6727031, 0.00014865398406982422
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 7, 6982360, 0.00014321804337669164
Parallel Merge Sort using Bitonic Merge, 28, 1000, 7, 7385638, 0.00013539791689254344
Parallel Merge Sort using Serial Merge, 32, 1000, 7, 6900796, 0.00014491080946754664
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 7, 7299520, 0.00013699530973099172
Parallel Merge Sort using Bitonic Merge, 32, 1000, 7, 7373952, 0.00013561248488258570
Parallel Merge Sort using Serial Merge, 28, 1000, 8, 7131957, 0.00014021396054886281
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 8, 6243382, 0.00016016959853004664
Parallel Merge Sort using Bitonic Merge, 28, 1000, 8, 4724379, 0.00021166801161598414
Parallel Merge Sort using Serial Merge, 32, 1000, 8, 3475846, 0.00028769968776032329
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 8, 5608108, 0.00017831326113082469
Parallel Merge Sort using Bitonic Merge, 32, 1000, 8, 5730706, 0.00017449856386519969
Parallel Merge Sort using Serial Merge, 28, 1000, 11, 3095884, 0.00032300950260832906
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 11, 3164318, 0.00031602382659912109
Parallel Merge Sort using Bitonic Merge, 28, 1000, 11, 3266592, 0.00030612945556640625
Parallel Merge Sort using Serial Merge, 32, 1000, 11, 4485886, 0.00022292137145996094
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 11, 4648458, 0.00021512508101295680
Parallel Merge Sort using Bitonic Merge, 32, 1000, 11, 4737185, 0.00021109581575728953
Parallel Merge Sort using Serial Merge, 28, 1000, 22, 1444419, 0.00069231988163664937
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 22, 1496950, 0.00066802499350160360
Parallel Merge Sort using Bitonic Merge, 28, 1000, 22, 1505385, 0.00066428183345124125
Parallel Merge Sort using Serial Merge, 32, 1000, 22, 2046700, 0.00048859120579436421
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 22, 2060475, 0.00048532485379837453
Parallel Merge Sort using Bitonic Merge, 32, 1000, 22, 2094324, 0.00047748087672516704
Parallel Merge Sort using Serial Merge, 28, 1000, 32, 1598256, 0.00062568188877776265
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 32, 1607690, 0.00062201020773500204
Parallel Merge Sort using Bitonic Merge, 28, 1000, 32, 1587308, 0.00062999723013490438
Parallel Merge Sort using Serial Merge, 32, 1000, 32, 1624754, 0.00061547756195068359
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 32, 1638464, 0.00061032769735902548
Parallel Merge Sort using Bitonic Merge, 32, 1000, 32, 1603449, 0.00062365533085539937
Parallel Merge Sort using Serial Merge, 28, 1000, 36, 1027738, 0.00097301008645445108
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 36, 1059087, 0.00094420911045745015
