Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 9799089, 0.00102050299756228924
Merge Sort using Serial Merge, 28, 10000, 10732061, 0.00093178747920319438
Merge Sort using Serial Merge Branchless, 28, 10000, 12244356, 0.00081670284271240234
Merge Sort using Bitonic Merge, 28, 10000, 15191250, 0.00065827369689941406
Quick Sort, 32, 10000, 9000266, 0.00111107830889523029
Merge Sort using Serial Merge, 32, 10000, 10861008, 0.00092072488041594625
Merge Sort using Serial Merge Branchless, 32, 10000, 12473767, 0.00080168247222900391
Merge Sort using Bitonic Merge, 32, 10000, 15405509, 0.00064911844674497843
Quick Sort, 28, 10000, 9595974, 0.00104210374411195517
Merge Sort using Serial Merge, 28, 10000, 9796342, 0.00102078914642333984
Merge Sort using Serial Merge Branchless, 28, 10000, 10947755, 0.00091342924861237407
Merge Sort using Bitonic Merge, 28, 10000, 13296256, 0.00075209140777587891
Quick Sort, 32, 10000, 10528928, 0.00094976427499204874
Merge Sort using Serial Merge, 32, 10000, 11550102, 0.00086579320486634970
Merge Sort using Serial Merge Branchless, 32, 10000, 13327520, 0.00075032713357359171
Merge Sort using Bitonic Merge, 32, 10000, 16513659, 0.00060555932577699423
Quick Sort, 28, 10000, 9882437, 0.00101189617998898029
Merge Sort using Serial Merge, 28, 10000, 10830718, 0.00092329981271177530
Merge Sort using Serial Merge Branchless, 28, 10000, 12476364, 0.00080151559086516500
Merge Sort using Bitonic Merge, 28, 10000, 15316623, 0.00065288541372865438
Quick Sort, 32, 10000, 9440465, 0.00105926988180726767
Merge Sort using Serial Merge, 32, 10000, 10383997, 0.00096302031306549907
Merge Sort using Serial Merge Branchless, 32, 10000, 12230074, 0.00081765651702880859
Merge Sort using Bitonic Merge, 32, 10000, 15201710, 0.00065782072488218546
Quick Sort, 28, 10000, 10477116, 0.00095446110935881734
Merge Sort using Serial Merge, 28, 10000, 11427999, 0.00087504385737702250
Merge Sort using Serial Merge Branchless, 28, 10000, 13343632, 0.00074942113133147359
Merge Sort using Bitonic Merge, 28, 10000, 16213631, 0.00061676499899476767
Quick Sort, 32, 10000, 10145138, 0.00098569388501346111
Merge Sort using Serial Merge, 32, 10000, 11034158, 0.00090627669123932719
Merge Sort using Serial Merge Branchless, 32, 10000, 12911510, 0.00077450275421142578
Merge Sort using Bitonic Merge, 32, 10000, 15989874, 0.00062539579812437296
Quick Sort, 28, 10000, 10188510, 0.00098149781115353107
