Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 8425004, 0.00118694303091615438
Merge Sort using Serial Merge, 28, 10000, 9035943, 0.00110669131390750408
Merge Sort using Serial Merge Branchless, 28, 10000, 10848086, 0.00092182157095521688
Merge Sort using Bitonic Merge, 28, 10000, 12761445, 0.00078361033229157329
Quick Sort, 32, 10000, 9813073, 0.00101904873736202717
Merge Sort using Serial Merge, 32, 10000, 10598636, 0.00094351766165345907
Merge Sort using Serial Merge Branchless, 32, 10000, 12267993, 0.00081512925680726767
Merge Sort using Bitonic Merge, 32, 10000, 15348009, 0.00065155030461028218
Quick Sort, 28, 10000, 9563155, 0.00104568002279847860
Merge Sort using Serial Merge, 28, 10000, 10675518, 0.00093672273214906454
Merge Sort using Serial Merge Branchless, 28, 10000, 12169749, 0.00082170963287353516
Merge Sort using Bitonic Merge, 28, 10000, 14622961, 0.00068385602207854390
Quick Sort, 32, 10000, 9866164, 0.00101356511004269123
Merge Sort using Serial Merge, 32, 10000, 10762076, 0.00092918873997405171
Merge Sort using Serial Merge Branchless, 32, 10000, 12510974, 0.00079929828643798828
Merge Sort using Bitonic Merge, 32, 10000, 15470286, 0.00064640044001862407
Quick Sort, 28, 10000, 9701177, 0.00103080272674560547
Merge Sort using Serial Merge, 28, 10000, 10780609, 0.00092759134713560343
Merge Sort using Serial Merge Branchless, 28, 10000, 12485649, 0.00080091954441741109
Merge Sort using Bitonic Merge, 28, 10000, 14964159, 0.00066826341208070517
Quick Sort, 32, 10000, 9562500, 0.00104575161822140217
Merge Sort using Serial Merge, 32, 10000, 10428663, 0.00095889566000550985
Merge Sort using Serial Merge Branchless, 32, 10000, 12144730, 0.00082340242806822062
Merge Sort using Bitonic Merge, 32, 10000, 14819291, 0.00067479611607268453
Quick Sort, 28, 10000, 9082512, 0.00110101699829101562
Merge Sort using Serial Merge, 28, 10000, 9458987, 0.00105719571001827717
Merge Sort using Serial Merge Branchless, 28, 10000, 11280166, 0.00088651181431487203
Merge Sort using Bitonic Merge, 28, 10000, 13294149, 0.00075221061706542969
Quick Sort, 32, 10000, 9839547, 0.00101630692370235920
Merge Sort using Serial Merge, 32, 10000, 10747736, 0.00093042850494384766
Merge Sort using Serial Merge Branchless, 32, 10000, 12441206, 0.00080378056736662984
Merge Sort using Bitonic Merge, 32, 10000, 15454896, 0.00064704415854066610
Quick Sort, 28, 10000, 9867325, 0.00101344590075314045
Merge Sort using Serial Merge, 28, 10000, 10769261, 0.00092856882838532329
Merge Sort using Serial Merge Branchless, 28, 10000, 12430514, 0.00080447195796296000
Merge Sort using Bitonic Merge, 28, 10000, 15406642, 0.00064907071646302938
Quick Sort, 32, 10000, 10539776, 0.00094878673553466797
Merge Sort using Serial Merge, 32, 10000, 11516802, 0.00086829659994691610
Merge Sort using Serial Merge Branchless, 32, 10000, 13295834, 0.00075211527291685343
Merge Sort using Bitonic Merge, 32, 10000, 16463100, 0.00060741900233551860
Quick Sort, 28, 10000, 9760551, 0.00102453236468136311
Merge Sort using Serial Merge, 28, 10000, 10741405, 0.00093097687931731343
Merge Sort using Serial Merge Branchless, 28, 10000, 12393783, 0.00080685614375397563
Merge Sort using Bitonic Merge, 28, 10000, 15340151, 0.00065188406733796000
Quick Sort, 32, 10000, 9792912, 0.00102114677429199219
Merge Sort using Serial Merge, 32, 10000, 10640580, 0.00093979836674407125
Merge Sort using Serial Merge Branchless, 32, 10000, 12330748, 0.00081098079681396484
Merge Sort using Bitonic Merge, 32, 10000, 15417401, 0.00064861774444580078
Quick Sort, 28, 10000, 9368350, 0.00106742384377866983
Merge Sort using Serial Merge, 28, 10000, 10469271, 0.00095517636509612203
Merge Sort using Serial Merge Branchless, 28, 10000, 12457835, 0.00080270768376067281
Merge Sort using Bitonic Merge, 28, 10000, 15422503, 0.00064840319100767374
Quick Sort, 32, 10000, 9851334, 0.00101509096566587687
Merge Sort using Serial Merge, 32, 10000, 10759315, 0.00092942715855315328
Merge Sort using Serial Merge Branchless, 32, 10000, 12501278, 0.00079991819802671671
Merge Sort using Bitonic Merge, 32, 10000, 15449203, 0.00064728257711976767
Quick Sort, 28, 10000, 9864773, 0.00101370806805789471
Merge Sort using Serial Merge, 28, 10000, 10763181, 0.00092909333761781454
Merge Sort using Serial Merge Branchless, 28, 10000, 12491599, 0.00080053805140778422
Merge Sort using Bitonic Merge, 28, 10000, 15407773, 0.00064902304438874125
Quick Sort, 32, 10000, 8173960, 0.00122339720837771893
Merge Sort using Serial Merge, 32, 10000, 9204898, 0.00108637812081724405
Merge Sort using Serial Merge Branchless, 32, 10000, 11238455, 0.00088980200234800577
Merge Sort using Bitonic Merge, 32, 10000, 13572481, 0.00073678494663909078
Quick Sort, 28, 10000, 9896427, 0.00101046566851437092
Merge Sort using Serial Merge, 28, 10000, 10768984, 0.00092859269352629781
Merge Sort using Serial Merge Branchless, 28, 10000, 12499788, 0.00080001354217529297
Merge Sort using Bitonic Merge, 28, 10000, 15449771, 0.00064725877018645406
Quick Sort, 32, 10000, 9879178, 0.00101222994271665812
Merge Sort using Serial Merge, 32, 10000, 10773410, 0.00092821120051667094
