Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 14383759, 0.00069522857666015625
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 15716067, 0.00063629151554778218
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 16391044, 0.00061008927877992392
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 17259090, 0.00057940481929108500
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 18052442, 0.00055394170340150595
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 18982186, 0.00052680971566587687
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 18193390, 0.00054965016897767782
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 18960734, 0.00052740576211363077
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 21682712, 0.00046119690523482859
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 16911152, 0.00059132574824616313
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 19286818, 0.00051848887233063579
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 21055742, 0.00047492980957031250
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 16496771, 0.00060617923736572266
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 16761126, 0.00059661862906068563
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 18648810, 0.00053622724954038858
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 16653315, 0.00060048105660825968
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 19428868, 0.00051469804020598531
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 18957306, 0.00052750110626220703
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 17409530, 0.00057439802912995219
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 18111684, 0.00055212975712493062
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 18657106, 0.00053598883096128702
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 14757763, 0.00067760946694761515
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 15077662, 0.00066323281498625875
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 16162398, 0.00061872007790952921
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 13484774, 0.00074157712515443563
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 15957633, 0.00062665937002748251
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 16559296, 0.00060389039572328329
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 14467607, 0.00069119932595640421
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 15367129, 0.00065073964651674032
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 15904986, 0.00062873365823179483
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 6290387, 0.00158972735516726971
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 8492729, 0.00117747788317501545
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 7712102, 0.00129666330758482218
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 10684220, 0.00093595980433747172
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 10825687, 0.00092372891958802938
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 11509848, 0.00086882116738706827
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 6077204, 0.00164549355395138264
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 8264475, 0.00120999815408140421
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 9812615, 0.00101909635122865438
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 2849333, 0.00350959296338260174
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 5549636, 0.00180191989056766033
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 3682314, 0.00271568307653069496
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 7032113, 0.00142204761505126953
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 6919581, 0.00144517421722412109
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 7520582, 0.00132968428079038858
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 6935714, 0.00144181249197572470
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 7133655, 0.00140180590096861124
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 7556760, 0.00132331845816224813
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 2231974, 0.00448033818975090981
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 1825626, 0.00547757139429450035
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 2310758, 0.00432758312672376633
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 3658961, 0.00273301592096686363
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3857434, 0.00259239668957889080
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 3669846, 0.00272490968927741051
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3685939, 0.00271301274187862873
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 3752788, 0.00266468524932861328
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3815570, 0.00262083997949957848
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 1892002, 0.00528540601953864098
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 72, 2908489, 0.00343821058049798012
Parallel Merge Sort using Bitonic Merge, 32, 10000, 72, 2229198, 0.00448591727763414383
