Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 8895472, 0.00112416746560484171
Merge Sort using Serial Merge, 28, 10000, 9794513, 0.00102097983472049236
Merge Sort using Serial Merge Branchless, 28, 10000, 11605711, 0.00086164474487304688
Merge Sort using Bitonic Merge, 28, 10000, 14551430, 0.00068721768911927938
Quick Sort, 32, 10000, 9850872, 0.00101513857953250408
Merge Sort using Serial Merge, 32, 10000, 10806163, 0.00092539784964174032
Merge Sort using Serial Merge Branchless, 32, 10000, 12533030, 0.00079789164010435343
Merge Sort using Bitonic Merge, 32, 10000, 15377269, 0.00065031053964048624
Quick Sort, 28, 10000, 10289236, 0.00097188947256654501
Merge Sort using Serial Merge, 28, 10000, 11210220, 0.00089204311370849609
Merge Sort using Serial Merge Branchless, 28, 10000, 13013260, 0.00076844694558531046
Merge Sort using Bitonic Merge, 28, 10000, 16070747, 0.00062224862631410360
Quick Sort, 32, 10000, 8569423, 0.00116693973541259766
Merge Sort using Serial Merge, 32, 10000, 9601685, 0.00104148383252322674
Merge Sort using Serial Merge Branchless, 32, 10000, 11288059, 0.00088589190272614360
Merge Sort using Bitonic Merge, 32, 10000, 13313983, 0.00075109006138518453
Quick Sort, 28, 10000, 10153241, 0.00098490715026855469
Merge Sort using Serial Merge, 28, 10000, 11175870, 0.00089478492736816406
Merge Sort using Serial Merge Branchless, 28, 10000, 12834468, 0.00077915191650390625
Merge Sort using Bitonic Merge, 28, 10000, 15516643, 0.00064446928445249796
Quick Sort, 32, 10000, 10278394, 0.00097291468409821391
Merge Sort using Serial Merge, 32, 10000, 11427687, 0.00087506772251799703
Merge Sort using Serial Merge Branchless, 32, 10000, 13421343, 0.00074508192483335733
Merge Sort using Bitonic Merge, 32, 10000, 16391044, 0.00061008927877992392
Quick Sort, 28, 10000, 9863613, 0.00101382727734744549
Merge Sort using Serial Merge, 28, 10000, 10834635, 0.00092296599177643657
Merge Sort using Serial Merge Branchless, 28, 10000, 12512466, 0.00079920294228941202
Merge Sort using Bitonic Merge, 28, 10000, 15391941, 0.00064969062805175781
Quick Sort, 32, 10000, 9888961, 0.00101122853811830282
Merge Sort using Serial Merge, 32, 10000, 10776455, 0.00092794897500425577
Merge Sort using Serial Merge Branchless, 32, 10000, 12477849, 0.00080142018850892782
Merge Sort using Bitonic Merge, 32, 10000, 15337906, 0.00065197946969419718
Quick Sort, 28, 10000, 9352057, 0.00106928346212953329
Merge Sort using Serial Merge, 28, 10000, 10176892, 0.00098261830862611532
Merge Sort using Serial Merge Branchless, 28, 10000, 11739543, 0.00085182191105559468
Merge Sort using Bitonic Merge, 28, 10000, 14235352, 0.00070247647818177938
Quick Sort, 32, 10000, 9814451, 0.00101890566293150187
Merge Sort using Serial Merge, 32, 10000, 10984455, 0.00091037747915834188
Merge Sort using Serial Merge Branchless, 32, 10000, 12875047, 0.00077669619349762797
Merge Sort using Bitonic Merge, 32, 10000, 15659153, 0.00063860416412353516
Quick Sort, 28, 10000, 9589830, 0.00104277138598263264
Merge Sort using Serial Merge, 28, 10000, 10967508, 0.00091178418369963765
Merge Sort using Serial Merge Branchless, 28, 10000, 12547278, 0.00079698563786223531
Merge Sort using Bitonic Merge, 28, 10000, 15325577, 0.00065250397892668843
Quick Sort, 32, 10000, 9895027, 0.00101060862652957439
Merge Sort using Serial Merge, 32, 10000, 10783381, 0.00092735292855650187
Merge Sort using Serial Merge Branchless, 32, 10000, 12508735, 0.00079944136086851358
Merge Sort using Bitonic Merge, 32, 10000, 15405509, 0.00064911844674497843
Quick Sort, 28, 10000, 9315293, 0.00107350351754575968
Merge Sort using Serial Merge, 28, 10000, 10229510, 0.00097756390459835529
Merge Sort using Serial Merge Branchless, 28, 10000, 12174341, 0.00082139967707917094
Merge Sort using Bitonic Merge, 28, 10000, 14863931, 0.00067276955815032125
Quick Sort, 32, 10000, 9914910, 0.00100858206860721111
Merge Sort using Serial Merge, 32, 10000, 10850893, 0.00092158315237611532
Merge Sort using Serial Merge Branchless, 32, 10000, 12583792, 0.00079467298928648233
Merge Sort using Bitonic Merge, 32, 10000, 15530433, 0.00064389704493805766
Quick Sort, 28, 10000, 9797257, 0.00102069380227476358
Merge Sort using Serial Merge, 28, 10000, 10729041, 0.00093204976292327046
Merge Sort using Serial Merge Branchless, 28, 10000, 12710782, 0.00078673363896086812
