Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 5, 566338, 0.00017657279386185110
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 5, 401253, 0.00024921895237639546
Parallel Merge Sort using Bitonic Merge, 28, 100, 5, 575666, 0.00017371177091263235
Parallel Merge Sort using Serial Merge, 32, 100, 5, 679679, 0.00014712809934280813
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 5, 426423, 0.00023450850858353078
Parallel Merge Sort using Bitonic Merge, 32, 100, 5, 911013, 0.00010976791236316785
Parallel Merge Sort using Serial Merge, 28, 100, 6, 1083799, 0.00009226799011230469
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 1096263, 0.00009121894981944934
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 1122371, 0.00008909702592063695
Parallel Merge Sort using Serial Merge, 32, 100, 6, 1068068, 0.00009362697892356664
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 6, 1122071, 0.00008912086195778102
Parallel Merge Sort using Bitonic Merge, 32, 100, 6, 1119974, 0.00008928775787353516
Parallel Merge Sort using Serial Merge, 28, 100, 7, 814111, 0.00012283325486350805
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 7, 904919, 0.00011050701141357422
Parallel Merge Sort using Bitonic Merge, 28, 100, 7, 888059, 0.00011260509199928492
Parallel Merge Sort using Serial Merge, 32, 100, 7, 481937, 0.00020749568648170680
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 7, 1025251, 0.00009753704216564074
Parallel Merge Sort using Bitonic Merge, 32, 100, 7, 901032, 0.00011098384857177734
Parallel Merge Sort using Serial Merge, 28, 100, 8, 1096550, 0.00009119510650634766
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 1164437, 0.00008587837510276586
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 1132065, 0.00008833408355712891
Parallel Merge Sort using Serial Merge, 32, 100, 8, 980206, 0.00010201930854236707
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 8, 1008246, 0.00009918212890625000
Parallel Merge Sort using Bitonic Merge, 32, 100, 8, 558272, 0.00017912387556862086
Parallel Merge Sort using Serial Merge, 28, 100, 11, 463715, 0.00021564960479736328
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 11, 464434, 0.00021531581296585500
Parallel Merge Sort using Bitonic Merge, 28, 100, 11, 525009, 0.00019047260866500437
Parallel Merge Sort using Serial Merge, 32, 100, 11, 545778, 0.00018322467803955078
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 11, 551156, 0.00018143653869628906
Parallel Merge Sort using Bitonic Merge, 32, 100, 11, 551954, 0.00018117428408004344
Parallel Merge Sort using Serial Merge, 28, 100, 22, 221615, 0.00045123099698685110
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 22, 226559, 0.00044138432713225484
Parallel Merge Sort using Bitonic Merge, 28, 100, 22, 228137, 0.00043833255767822266
Parallel Merge Sort using Serial Merge, 32, 100, 22, 136400, 0.00073313713073730469
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 22, 130896, 0.00076396466465666890
Parallel Merge Sort using Bitonic Merge, 32, 100, 22, 108686, 0.00092008116189390421
Parallel Merge Sort using Serial Merge, 28, 100, 32, 93246, 0.00107243063393980265
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 32, 135265, 0.00073928834171965718
Parallel Merge Sort using Bitonic Merge, 28, 100, 32, -1003, -0.09964382648468017578
Parallel Merge Sort using Serial Merge, 32, 100, 32, 41838, 0.00239017000421881676
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 32, 37196, 0.00268840789794921875
Parallel Merge Sort using Bitonic Merge, 32, 100, 32, -1002, -0.09975068271160125732
Parallel Merge Sort using Serial Merge, 28, 100, 36, 43040, 0.00232341280207037926
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 36, 41369, 0.00241723051294684410
Parallel Merge Sort using Bitonic Merge, 28, 100, 36, -1000, -0.10000000149011611938
Parallel Merge Sort using Serial Merge, 32, 100, 36, 96629, 0.00103487970773130655
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 36, 96268, 0.00103876588400453329
Parallel Merge Sort using Bitonic Merge, 32, 100, 36, -1002, -0.09972397983074188232
Parallel Merge Sort using Serial Merge, 28, 100, 72, 46768, 0.00213818554766476154
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 72, 47564, 0.00210239877924323082
Parallel Merge Sort using Bitonic Merge, 28, 100, 72, 47063, 0.00212478637695312500
Parallel Merge Sort using Serial Merge, 32, 100, 72, 48747, 0.00205137720331549644
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 72, 48634, 0.00205616955645382404
Parallel Merge Sort using Bitonic Merge, 32, 100, 72, -1014, -0.09858541190624237061
Parallel Merge Sort using Serial Merge, 28, 1000, 5, 8676674, 0.00011525153968250379
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 5, 8682062, 0.00011518001701915637
Parallel Merge Sort using Bitonic Merge, 28, 1000, 5, 8743598, 0.00011436939530540258
Parallel Merge Sort using Serial Merge, 32, 1000, 5, 8084626, 0.00012369155592750758
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 5, 6721641, 0.00014877319335937500
Parallel Merge Sort using Bitonic Merge, 32, 1000, 5, 9351848, 0.00010693073272705078
Parallel Merge Sort using Serial Merge, 28, 1000, 6, 9279434, 0.00010776519775390625
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 6, 8680265, 0.00011520386033225805
Parallel Merge Sort using Bitonic Merge, 28, 1000, 6, 9738342, 0.00010268688492942601
Parallel Merge Sort using Serial Merge, 32, 1000, 6, 8981379, 0.00011134147644042969
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 6, 9639862, 0.00010373592522228137
Parallel Merge Sort using Bitonic Merge, 32, 1000, 6, 9320676, 0.00010728836059570312
Parallel Merge Sort using Serial Merge, 28, 1000, 7, 6578269, 0.00015201568021439016
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 7, 6987013, 0.00014312267012428492
Parallel Merge Sort using Bitonic Merge, 28, 1000, 7, 7249056, 0.00013794898404739797
Parallel Merge Sort using Serial Merge, 32, 1000, 7, 2834372, 0.00035281182499602437
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 7, 7634335, 0.00013098717317916453
Parallel Merge Sort using Bitonic Merge, 32, 1000, 7, 7416983, 0.00013482570648193359
Parallel Merge Sort using Serial Merge, 28, 1000, 8, 6561802, 0.00015239715867210180
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 8, 7246551, 0.00013799667067360133
Parallel Merge Sort using Bitonic Merge, 28, 1000, 8, 3218712, 0.00031068324460648000
Parallel Merge Sort using Serial Merge, 32, 1000, 8, 2817995, 0.00035486221895553172
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 8, 5967141, 0.00016758442507125437
Parallel Merge Sort using Bitonic Merge, 32, 1000, 8, 3458649, 0.00028913019923493266
Parallel Merge Sort using Serial Merge, 28, 1000, 11, 1403528, 0.00071249005850404501
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 11, 956359, 0.00104563240893185139
Parallel Merge Sort using Bitonic Merge, 28, 1000, 11, 784055, 0.00127542018890380859
Parallel Merge Sort using Serial Merge, 32, 1000, 11, 2740658, 0.00036487579927779734
