Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 7689762, 0.00130043027456849813
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 11454527, 0.00087301729945465922
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 12207294, 0.00081918237265199423
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 17334700, 0.00057687761727720499
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 18168170, 0.00055041315499693155
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 19068484, 0.00052442552987486124
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 16992682, 0.00058848859043791890
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 18835566, 0.00053091050358489156
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 18514630, 0.00054011342581361532
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 17041704, 0.00058679579524323344
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 18679542, 0.00053534505423158407
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 17929740, 0.00055773259373381734
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 16025921, 0.00062398909358307719
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 18342170, 0.00054519175319001079
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 18536722, 0.00053946970729157329
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 17205284, 0.00058121682377532125
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 18412222, 0.00054311752319335938
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 19071954, 0.00052433012751862407
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 13428649, 0.00074467656668275595
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 17386438, 0.00057516095694154501
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 18047780, 0.00055408477783203125
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 14594468, 0.00068519113119691610
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 14838165, 0.00067393778590485454
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 16019188, 0.00062425137730315328
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 14339992, 0.00069735047873109579
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 16461162, 0.00060749053955078125
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 17959682, 0.00055680272635072470
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 13491714, 0.00074119569035246968
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 14135562, 0.00070743559626862407
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 15733753, 0.00063557625981047750
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 10604531, 0.00094299315242096782
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 11114272, 0.00089974404545500875
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 12016686, 0.00083217618521302938
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 9304960, 0.00107469561044126749
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 11401283, 0.00087709428044036031
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 9619742, 0.00103952887002378702
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 9289298, 0.00107650761492550373
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 9715784, 0.00102925300598144531
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 10230758, 0.00097744469530880451
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 3886673, 0.00257289409637451172
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 4120343, 0.00242698192596435547
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 5699015, 0.00175468926317989826
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 6853998, 0.00145900249481201172
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 6826889, 0.00146479601971805096
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 7030227, 0.00142242910806089640
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 4181466, 0.00239150528796017170
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 4686059, 0.00213398924097418785
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 5682414, 0.00175981526263058186
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 3671034, 0.00272402772679924965
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 3825383, 0.00261411676183342934
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 3146184, 0.00317845353856682777
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 2611467, 0.00382926454767584801
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3779196, 0.00264606485143303871
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 3065451, 0.00326216220855712891
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3653606, 0.00273702153936028481
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 3588770, 0.00278646941296756268
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3692851, 0.00270793447270989418
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 2878350, 0.00347421178594231606
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 72, 2472983, 0.00404369831085205078
Parallel Merge Sort using Bitonic Merge, 32, 10000, 72, 3109172, 0.00321629038080573082
