Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 16367376, 0.00061097147408872843
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 16401940, 0.00060968397883698344
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 17580282, 0.00056881905766204000
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 17361966, 0.00057597161503508687
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 18083574, 0.00055298802908509970
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 18847418, 0.00053057668264955282
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 16150574, 0.00061917304992675781
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 18417072, 0.00054297444876283407
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 19135472, 0.00052258966024965048
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 16717702, 0.00059816834982484579
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 17880058, 0.00055928231449797750
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 17099368, 0.00058481690939515829
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 17757426, 0.00056314468383789062
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 18961592, 0.00052738189697265625
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 18946174, 0.00052781106205657125
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 16059670, 0.00062267779139801860
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 16903656, 0.00059158803196623921
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 18566260, 0.00053861143533140421
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 14537811, 0.00068786146584898233
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 15689026, 0.00063738820608705282
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 16028370, 0.00062389374943450093
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 13070032, 0.00076510908547788858
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 14927411, 0.00066990853520110250
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 16080604, 0.00062186719151213765
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 15330058, 0.00065231323242187500
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 15327818, 0.00065240857657045126
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 17456628, 0.00057284830836579204
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 11436724, 0.00087437627371400595
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 14614809, 0.00068423745688050985
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 15820994, 0.00063207151833921671
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 10011706, 0.00099883077200502157
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 10968942, 0.00091166497441008687
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 11696004, 0.00085499288979917765
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 10864103, 0.00092046259669587016
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 10810341, 0.00092504022177308798
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 10905627, 0.00091695785522460938
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 9540098, 0.00104820728302001953
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 9987151, 0.00100128655321896076
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 10248006, 0.00097579957218840718
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 5978369, 0.00167269702069461346
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 7293046, 0.00137116911355406046
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 6054746, 0.00165159697644412518
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 5387743, 0.00185606477316468954
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 4189820, 0.00238673691637814045
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 6650974, 0.00150353903882205486
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 6999956, 0.00142858026083558798
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 7277734, 0.00137405400164425373
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 7492638, 0.00133464334066957235
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 3625092, 0.00275855069048702717
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 3638204, 0.00274860858917236328
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 3492139, 0.00286357407458126545
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 3660079, 0.00273218145594000816
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3464277, 0.00288660521619021893
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 3489060, 0.00286610121838748455
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3203935, 0.00312116136774420738
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 3775217, 0.00264885416254401207
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3789714, 0.00263872137293219566
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 3816195, 0.00262041087262332439
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 72, 3812137, 0.00262320041656494141
Parallel Merge Sort using Bitonic Merge, 32, 10000, 72, 3887250, 0.00257251271978020668
