Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 5, 492289, 0.00020313262939453125
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 5, 671088, 0.00014901161193847656
Parallel Merge Sort using Bitonic Merge, 28, 100, 5, 675411, 0.00014805793762207031
Parallel Merge Sort using Serial Merge, 32, 100, 5, 666821, 0.00014996528625488281
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 5, 675411, 0.00014805793762207031
Parallel Merge Sort using Bitonic Merge, 32, 100, 5, 676500, 0.00014781951904296875
Parallel Merge Sort using Serial Merge, 28, 100, 6, 494611, 0.00020217895507812500
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 565270, 0.00017690658569335938
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 552609, 0.00018095970153808594
Parallel Merge Sort using Serial Merge, 32, 100, 6, 568333, 0.00017595291137695312
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 6, 577727, 0.00017309188842773438
Parallel Merge Sort using Bitonic Merge, 32, 100, 6, 581734, 0.00017189979553222656
Parallel Merge Sort using Serial Merge, 28, 100, 7, 431069, 0.00023198127746582031
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 7, 448109, 0.00022315979003906250
Parallel Merge Sort using Bitonic Merge, 28, 100, 7, 450516, 0.00022196769714355469
Parallel Merge Sort using Serial Merge, 32, 100, 7, 446202, 0.00022411346435546875
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 7, 450516, 0.00022196769714355469
Parallel Merge Sort using Bitonic Merge, 32, 100, 7, 448588, 0.00022292137145996094
Parallel Merge Sort using Serial Merge, 28, 100, 8, 114943, 0.00086998939514160156
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 384798, 0.00025987625122070312
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 314415, 0.00031805038452148438
Parallel Merge Sort using Serial Merge, 32, 100, 8, 301098, 0.00033211708068847656
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 8, 95238, 0.00104999542236328125
Parallel Merge Sort using Bitonic Merge, 32, 100, 8, 369216, 0.00027084350585937500
Parallel Merge Sort using Serial Merge, 28, 100, 11, 198406, 0.00050401687622070312
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 11, 219252, 0.00045609474182128906
Parallel Merge Sort using Bitonic Merge, 28, 100, 11, 209610, 0.00047707557678222656
Parallel Merge Sort using Serial Merge, 32, 100, 11, 220289, 0.00045394897460937500
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 11, 222745, 0.00044894218444824219
Parallel Merge Sort using Bitonic Merge, 32, 100, 11, 220752, 0.00045299530029296875
Parallel Merge Sort using Serial Merge, 28, 100, 22, 70374, 0.00142097473144531250
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 22, 101532, 0.00098490715026855469
Parallel Merge Sort using Bitonic Merge, 28, 100, 22, 101927, 0.00098109245300292969
Parallel Merge Sort using Serial Merge, 32, 100, 22, 102250, 0.00097799301147460938
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 22, 102150, 0.00097894668579101562
Parallel Merge Sort using Bitonic Merge, 32, 100, 22, 104726, 0.00095486640930175781
Parallel Merge Sort using Serial Merge, 28, 100, 32, 68534, 0.00145912170410156250
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 32, 39509, 0.00253105163574218750
Parallel Merge Sort using Bitonic Merge, 28, 100, 32, 79558, 0.00125694274902343750
Parallel Merge Sort using Serial Merge, 32, 100, 32, 83269, 0.00120091438293457031
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 32, 83752, 0.00119400024414062500
Parallel Merge Sort using Bitonic Merge, 32, 100, 32, 82565, 0.00121116638183593750
Parallel Merge Sort using Serial Merge, 28, 100, 36, 59350, 0.00168490409851074219
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 36, 58859, 0.00169897079467773438
Parallel Merge Sort using Bitonic Merge, 28, 100, 36, 59527, 0.00167989730834960938
Parallel Merge Sort using Serial Merge, 32, 100, 36, 27019, 0.00370097160339355469
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 36, 51711, 0.00193381309509277344
Parallel Merge Sort using Bitonic Merge, 32, 100, 36, 59884, 0.00166988372802734375
Parallel Merge Sort using Serial Merge, 28, 100, 72, 9235, 0.01082801818847656250
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 72, 24015, 0.00416398048400878906
Parallel Merge Sort using Bitonic Merge, 28, 100, 72, 11093, 0.00901389122009277344
Parallel Merge Sort using Serial Merge, 32, 100, 72, 11067, 0.00903511047363281250
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 72, 7693, 0.01299715042114257812
Parallel Merge Sort using Bitonic Merge, 32, 100, 72, 11655, 0.00857996940612792969
Parallel Merge Sort using Serial Merge, 28, 1000, 5, 2974683, 0.00033617019653320312
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 5, 3634578, 0.00027513504028320312
