Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 8133382, 0.00122950074728578329
Merge Sort using Serial Merge, 28, 10000, 8732493, 0.00114514830056577921
Merge Sort using Serial Merge Branchless, 28, 10000, 8769558, 0.00114030833356082439
Merge Sort using Bitonic Merge, 28, 10000, 12374769, 0.00080809590872377157
Quick Sort, 32, 10000, 8871952, 0.00112714769784361124
Merge Sort using Serial Merge, 32, 10000, 9817667, 0.00101857190020382404
Merge Sort using Serial Merge Branchless, 32, 10000, 11506376, 0.00086908339289948344
Merge Sort using Bitonic Merge, 32, 10000, 14611245, 0.00068440439645200968
Quick Sort, 28, 10000, 10475023, 0.00095465185586363077
Merge Sort using Serial Merge, 28, 10000, 11438907, 0.00087420939235016704
Merge Sort using Serial Merge Branchless, 28, 10000, 13159426, 0.00075991154881194234
Merge Sort using Bitonic Merge, 28, 10000, 16294254, 0.00061371328774839640
Quick Sort, 32, 10000, 10325203, 0.00096850394038483500
Merge Sort using Serial Merge, 32, 10000, 11266530, 0.00088758469792082906
Merge Sort using Serial Merge Branchless, 32, 10000, 13039963, 0.00076687335968017578
Merge Sort using Bitonic Merge, 32, 10000, 15941256, 0.00062730314675718546
Quick Sort, 28, 10000, 10537658, 0.00094897748203948140
Merge Sort using Serial Merge, 28, 10000, 11656996, 0.00085785391274839640
Merge Sort using Serial Merge Branchless, 28, 10000, 13413618, 0.00074551103170961142
Merge Sort using Bitonic Merge, 28, 10000, 16595332, 0.00060257909353822470
Quick Sort, 32, 10000, 10522853, 0.00095031259115785360
Merge Sort using Serial Merge, 32, 10000, 11649873, 0.00085837842198088765
Merge Sort using Serial Merge Branchless, 32, 10000, 13303004, 0.00075170991476625204
Merge Sort using Bitonic Merge, 32, 10000, 16507808, 0.00060577393742278218
Quick Sort, 28, 10000, 10430479, 0.00095872877864167094
Merge Sort using Serial Merge, 28, 10000, 11180934, 0.00089437962742522359
Merge Sort using Serial Merge Branchless, 28, 10000, 13097377, 0.00076351163443177938
Merge Sort using Bitonic Merge, 28, 10000, 16096650, 0.00062124727992340922
Quick Sort, 32, 10000, 10551974, 0.00094768998678773642
Merge Sort using Serial Merge, 32, 10000, 11627589, 0.00086002348689362407
Merge Sort using Serial Merge Branchless, 32, 10000, 13343632, 0.00074942113133147359
Merge Sort using Bitonic Merge, 32, 10000, 16273392, 0.00061450002249330282
Quick Sort, 28, 10000, 10565264, 0.00094649789389222860
Merge Sort using Serial Merge, 28, 10000, 11470816, 0.00087177753448486328
Merge Sort using Serial Merge Branchless, 28, 10000, 13376827, 0.00074756145477294922
Merge Sort using Bitonic Merge, 28, 10000, 16573036, 0.00060338975163176656
Quick Sort, 32, 10000, 10700847, 0.00093450548592954874
Merge Sort using Serial Merge, 32, 10000, 11618571, 0.00086069107055664062
Merge Sort using Serial Merge Branchless, 32, 10000, 13498661, 0.00074081419734284282
Merge Sort using Bitonic Merge, 32, 10000, 16593362, 0.00060265063075348735
Quick Sort, 28, 10000, 10356562, 0.00096557138022035360
Merge Sort using Serial Merge, 28, 10000, 11185706, 0.00089399813441559672
Merge Sort using Serial Merge Branchless, 28, 10000, 12922649, 0.00077383517054840922
Merge Sort using Bitonic Merge, 28, 10000, 16074441, 0.00062210561009123921
Quick Sort, 32, 10000, 10175163, 0.00098278524819761515
Merge Sort using Serial Merge, 32, 10000, 11421153, 0.00087556836660951376
Merge Sort using Serial Merge Branchless, 32, 10000, 13218316, 0.00075652601663023233
Merge Sort using Bitonic Merge, 32, 10000, 16338685, 0.00061204435769468546
