Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 9397316, 0.00106413359753787518
Merge Sort using Serial Merge, 28, 10000, 10233254, 0.00097720627672970295
Merge Sort using Serial Merge Branchless, 28, 10000, 11970388, 0.00083539483603090048
Merge Sort using Bitonic Merge, 28, 10000, 13933639, 0.00071768759516999125
Quick Sort, 32, 10000, 10413129, 0.00096032617148011923
Merge Sort using Serial Merge, 32, 10000, 11341781, 0.00088169577065855265
Merge Sort using Serial Merge Branchless, 32, 10000, 13427788, 0.00074472429696470499
Merge Sort using Bitonic Merge, 32, 10000, 16445026, 0.00060808658599853516
Quick Sort, 28, 10000, 10617954, 0.00094180105952546000
Merge Sort using Serial Merge, 28, 10000, 11318215, 0.00088353158207610250
Merge Sort using Serial Merge Branchless, 28, 10000, 13327097, 0.00075035094050690532
Merge Sort using Bitonic Merge, 28, 10000, 16414778, 0.00060920714167878032
Quick Sort, 32, 10000, 9625483, 0.00103890895843505859
Merge Sort using Serial Merge, 32, 10000, 10322154, 0.00096879003103822470
Merge Sort using Serial Merge Branchless, 32, 10000, 12341633, 0.00081026554107666016
Merge Sort using Bitonic Merge, 32, 10000, 14929537, 0.00066981313284486532
Quick Sort, 28, 10000, 10274868, 0.00097324850503355265
Merge Sort using Serial Merge, 28, 10000, 10654365, 0.00093858240870758891
Merge Sort using Serial Merge Branchless, 28, 10000, 12455246, 0.00080287456512451172
Merge Sort using Bitonic Merge, 28, 10000, 15290937, 0.00065398216247558594
Quick Sort, 32, 10000, 8804535, 0.00113577838055789471
Merge Sort using Serial Merge, 32, 10000, 9560321, 0.00104599003680050373
Merge Sort using Serial Merge Branchless, 32, 10000, 11117513, 0.00089948176173493266
Merge Sort using Bitonic Merge, 32, 10000, 13843045, 0.00072238442953675985
Quick Sort, 28, 10000, 8946322, 0.00111777777783572674
Merge Sort using Serial Merge, 28, 10000, 9933695, 0.00100667471997439861
Merge Sort using Serial Merge Branchless, 28, 10000, 12134189, 0.00082411768380552530
Merge Sort using Bitonic Merge, 28, 10000, 14647985, 0.00068268773611634970
Quick Sort, 32, 10000, 10565264, 0.00094649789389222860
Merge Sort using Serial Merge, 32, 10000, 11264110, 0.00088777544442564249
Merge Sort using Serial Merge Branchless, 32, 10000, 13493884, 0.00074107648106291890
Merge Sort using Bitonic Merge, 32, 10000, 16612420, 0.00060195924015715718
Quick Sort, 28, 10000, 10211330, 0.00097930431365966797
Merge Sort using Serial Merge, 28, 10000, 11097510, 0.00090110301971435547
Merge Sort using Serial Merge Branchless, 28, 10000, 13073291, 0.00076491833897307515
Merge Sort using Bitonic Merge, 28, 10000, 16051065, 0.00062301161233335733
Quick Sort, 32, 10000, 10583392, 0.00094487669412046671
Merge Sort using Serial Merge, 32, 10000, 11320353, 0.00088336470071226358
Merge Sort using Serial Merge Branchless, 32, 10000, 13538310, 0.00073864462319761515
Merge Sort using Bitonic Merge, 32, 10000, 16507160, 0.00060579774435609579
Quick Sort, 28, 10000, 10555426, 0.00094738008920103312
Merge Sort using Serial Merge, 28, 10000, 11321270, 0.00088329316349700093
Merge Sort using Serial Merge Branchless, 28, 10000, 13455789, 0.00074317457620054483
Merge Sort using Bitonic Merge, 28, 10000, 16472799, 0.00060706137446686625
Quick Sort, 32, 10000, 10635993, 0.00094020366668701172
Merge Sort using Serial Merge, 32, 10000, 11346383, 0.00088133814278990030
Merge Sort using Serial Merge Branchless, 32, 10000, 13313138, 0.00075113773345947266
Merge Sort using Bitonic Merge, 32, 10000, 16608475, 0.00060210225638002157
Quick Sort, 28, 10000, 10613386, 0.00094220635946840048
Merge Sort using Serial Merge, 28, 10000, 11320659, 0.00088334083557128906
Merge Sort using Serial Merge Branchless, 28, 10000, 13273114, 0.00075340270996093750
Merge Sort using Bitonic Merge, 28, 10000, 16371210, 0.00061082839965820312
Quick Sort, 32, 10000, 10125055, 0.00098764896392822266
Merge Sort using Serial Merge, 32, 10000, 10977554, 0.00091094971867278218
Merge Sort using Serial Merge Branchless, 32, 10000, 12779330, 0.00078251364175230265
Merge Sort using Bitonic Merge, 32, 10000, 16075058, 0.00062208174495026469
Quick Sort, 28, 10000, 10069633, 0.00099308486096560955
Merge Sort using Serial Merge, 28, 10000, 10890336, 0.00091824529226869345
Merge Sort using Serial Merge Branchless, 28, 10000, 12805080, 0.00078094005584716797
Merge Sort using Bitonic Merge, 28, 10000, 15289264, 0.00065405369969084859
Quick Sort, 32, 10000, 10642740, 0.00093960762023925781
Merge Sort using Serial Merge, 32, 10000, 11452963, 0.00087313650874421000
Merge Sort using Serial Merge Branchless, 32, 10000, 13409329, 0.00074574945028871298
Merge Sort using Bitonic Merge, 32, 10000, 16599271, 0.00060243607731536031
Quick Sort, 28, 10000, 10706583, 0.00093400478363037109
Merge Sort using Serial Merge, 28, 10000, 11318215, 0.00088353158207610250
Merge Sort using Serial Merge Branchless, 28, 10000, 13451905, 0.00074338912963867188
Merge Sort using Bitonic Merge, 28, 10000, 16540358, 0.00060458184452727437
Quick Sort, 32, 10000, 10255022, 0.00097513198852539062
Merge Sort using Serial Merge, 32, 10000, 11336876, 0.00088207720546051860
Merge Sort using Serial Merge Branchless, 32, 10000, 13399048, 0.00074632168980315328
Merge Sort using Bitonic Merge, 32, 10000, 16396810, 0.00060987472534179688
Quick Sort, 28, 10000, 10284694, 0.00097231863765046000
Merge Sort using Serial Merge, 28, 10000, 11026615, 0.00090689660282805562
Merge Sort using Serial Merge Branchless, 28, 10000, 10761524, 0.00092923641204833984
Merge Sort using Bitonic Merge, 28, 10000, 16390403, 0.00061011314392089844
Quick Sort, 32, 10000, 10408477, 0.00096075533656403422
Merge Sort using Serial Merge, 32, 10000, 11203932, 0.00089254381600767374
Merge Sort using Serial Merge Branchless, 32, 10000, 12998339, 0.00076932908268645406
Merge Sort using Bitonic Merge, 32, 10000, 15969176, 0.00062620639801025391
Quick Sort, 28, 1000, 12937396, 0.00007729530625510961
Merge Sort using Serial Merge, 28, 1000, 13833456, 0.00007228851609397680
Merge Sort using Serial Merge Branchless, 28, 1000, 15534459, 0.00006437301635742188
Merge Sort using Bitonic Merge, 28, 1000, 19039056, 0.00005252361370366998
Quick Sort, 32, 1000, 13074514, 0.00007648467726539820
Merge Sort using Serial Merge, 32, 1000, 14023082, 0.00007131099846446887
Merge Sort using Serial Merge Branchless, 32, 1000, 16617687, 0.00006017684791004285
Merge Sort using Bitonic Merge, 32, 1000, 19187118, 0.00005211830284679309
Quick Sort, 28, 1000, 13999679, 0.00007143020775401965
Merge Sort using Serial Merge, 28, 1000, 14423329, 0.00006933211989235133
Merge Sort using Serial Merge Branchless, 28, 1000, 16461161, 0.00006074905468267389
Merge Sort using Bitonic Merge, 28, 1000, 18699528, 0.00005347728802007623
Quick Sort, 32, 1000, 13787981, 0.00007252693467307836
Merge Sort using Serial Merge, 32, 1000, 14438224, 0.00006926059722900391
Merge Sort using Serial Merge Branchless, 32, 1000, 16275917, 0.00006144047074485570
Merge Sort using Bitonic Merge, 32, 1000, 19346420, 0.00005168914867681451
Quick Sort, 28, 1000, 13387501, 0.00007469653792213649
Merge Sort using Serial Merge, 28, 1000, 13378960, 0.00007474422454833984
Merge Sort using Serial Merge Branchless, 28, 1000, 16088622, 0.00006215572648216039
Merge Sort using Bitonic Merge, 28, 1000, 18275834, 0.00005471706390380859
Quick Sort, 32, 1000, 13111298, 0.00007627010199939832
Merge Sort using Serial Merge, 32, 1000, 13508225, 0.00007402896881103516
Merge Sort using Serial Merge Branchless, 32, 1000, 15785863, 0.00006334781937766820
Merge Sort using Bitonic Merge, 32, 1000, 18275834, 0.00005471706390380859
Quick Sort, 28, 1000, 13925312, 0.00007181167893577367
Merge Sort using Serial Merge, 28, 1000, 13999679, 0.00007143020775401965
Merge Sort using Serial Merge Branchless, 28, 1000, 16225547, 0.00006163120269775391
Merge Sort using Bitonic Merge, 28, 1000, 19409088, 0.00005152225639903918
Quick Sort, 32, 1000, 14079571, 0.00007102489325916395
Merge Sort using Serial Merge, 32, 1000, 14098501, 0.00007092952728271484
Merge Sort using Serial Merge Branchless, 32, 1000, 16416063, 0.00006091594696044922
Merge Sort using Bitonic Merge, 32, 1000, 19472164, 0.00005135536048328504
Quick Sort, 28, 1000, 12933408, 0.00007731914229225367
Merge Sort using Serial Merge, 28, 1000, 13193784, 0.00007579326484119520
Merge Sort using Serial Merge Branchless, 28, 1000, 15240930, 0.00006561279587913305
Merge Sort using Bitonic Merge, 28, 1000, 17704956, 0.00005648135993396863
