Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 8832345, 0.00113220210187137127
Merge Sort using Serial Merge, 28, 10000, 9909755, 0.00100910663604736328
Merge Sort using Serial Merge Branchless, 28, 10000, 11549148, 0.00086586474208161235
Merge Sort using Bitonic Merge, 28, 10000, 13719430, 0.00072889326838776469
Quick Sort, 32, 10000, 7359590, 0.00135877134744077921
Merge Sort using Serial Merge, 32, 10000, 7818193, 0.00127906794659793377
Merge Sort using Serial Merge Branchless, 32, 10000, 9874527, 0.00101270677987486124
Merge Sort using Bitonic Merge, 32, 10000, 10843599, 0.00092220306396484375
Quick Sort, 28, 10000, 8513414, 0.00117461686022579670
Merge Sort using Serial Merge, 28, 10000, 9057994, 0.00110399723052978516
Merge Sort using Serial Merge Branchless, 28, 10000, 10253267, 0.00097529886988922954
Merge Sort using Bitonic Merge, 28, 10000, 12867147, 0.00077717303065583110
Quick Sort, 32, 10000, 10209839, 0.00097944738809019327
Merge Sort using Serial Merge, 32, 10000, 11199146, 0.00089292525080963969
Merge Sort using Serial Merge Branchless, 32, 10000, 12927029, 0.00077357294503599405
Merge Sort using Bitonic Merge, 32, 10000, 15801327, 0.00063285825308412313
Quick Sort, 28, 10000, 10417266, 0.00095994473667815328
Merge Sort using Serial Merge, 28, 10000, 11463919, 0.00087230204371735454
Merge Sort using Serial Merge Branchless, 28, 10000, 13314828, 0.00075104238931089640
Merge Sort using Bitonic Merge, 28, 10000, 16194224, 0.00061750411987304688
Quick Sort, 32, 10000, 10509143, 0.00095155241433531046
Merge Sort using Serial Merge, 32, 10000, 11536758, 0.00086679460946470499
Merge Sort using Serial Merge Branchless, 32, 10000, 13423062, 0.00074498652247712016
Merge Sort using Bitonic Merge, 32, 10000, 16487693, 0.00060651300009340048
Quick Sort, 28, 10000, 10636533, 0.00094015599461272359
Merge Sort using Serial Merge, 28, 10000, 11579438, 0.00086359976558014750
Merge Sort using Serial Merge Branchless, 28, 10000, 13476975, 0.00074200629023835063
Merge Sort using Bitonic Merge, 28, 10000, 16500016, 0.00060606002807617188
Quick Sort, 32, 10000, 10517312, 0.00095081329345703125
Merge Sort using Serial Merge, 32, 10000, 11495338, 0.00086991785792633891
Merge Sort using Serial Merge Branchless, 32, 10000, 13382375, 0.00074725149897858500
Merge Sort using Bitonic Merge, 32, 10000, 16467625, 0.00060725212097167969
Quick Sort, 28, 10000, 9935577, 0.00100648403167724609
Merge Sort using Serial Merge, 28, 10000, 10795316, 0.00092632771702483296
Merge Sort using Serial Merge Branchless, 28, 10000, 12521058, 0.00079865456791594625
Merge Sort using Bitonic Merge, 28, 10000, 15231521, 0.00065653322963044047
Quick Sort, 32, 10000, 10601046, 0.00094330310821533203
Merge Sort using Serial Merge, 32, 10000, 11551056, 0.00086572172585874796
Merge Sort using Serial Merge Branchless, 32, 10000, 13404615, 0.00074601173400878906
Merge Sort using Bitonic Merge, 32, 10000, 16398734, 0.00060980318812653422
Quick Sort, 28, 10000, 10440604, 0.00095779896946623921
Merge Sort using Serial Merge, 28, 10000, 11499120, 0.00086963176727294922
Merge Sort using Serial Merge Branchless, 28, 10000, 13105562, 0.00076303479727357626
Merge Sort using Bitonic Merge, 28, 10000, 16036951, 0.00062355992849916220
Quick Sort, 32, 10000, 10426330, 0.00095911027165129781
Merge Sort using Serial Merge, 32, 10000, 11299919, 0.00088496209355071187
Merge Sort using Serial Merge Branchless, 32, 10000, 13215401, 0.00075669289799407125
Merge Sort using Bitonic Merge, 32, 10000, 16271498, 0.00061457155970856547
Quick Sort, 28, 10000, 10158159, 0.00098443031311035156
Merge Sort using Serial Merge, 28, 10000, 11047236, 0.00090520380763337016
Merge Sort using Serial Merge Branchless, 28, 10000, 13139227, 0.00076107977656647563
Merge Sort using Bitonic Merge, 28, 10000, 16159908, 0.00061881542205810547
Quick Sort, 32, 10000, 10335125, 0.00096757413120940328
Merge Sort using Serial Merge, 32, 10000, 11233940, 0.00089015963021665812
Merge Sort using Serial Merge Branchless, 32, 10000, 13103515, 0.00076315400656312704
Merge Sort using Bitonic Merge, 32, 10000, 16071361, 0.00062222481938079000
Quick Sort, 28, 10000, 8020622, 0.00124678609427064657
Merge Sort using Serial Merge, 28, 10000, 8523968, 0.00117316248361021280
Merge Sort using Serial Merge Branchless, 28, 10000, 10421408, 0.00095956324366852641
Merge Sort using Bitonic Merge, 28, 10000, 11955034, 0.00083646771963685751
Quick Sort, 32, 10000, 9215415, 0.00108513829763978720
Merge Sort using Serial Merge, 32, 10000, 10099943, 0.00099010462872684002
Merge Sort using Serial Merge Branchless, 32, 10000, 11896035, 0.00084061623783782125
Merge Sort using Bitonic Merge, 32, 10000, 14378334, 0.00069549086038023233
Quick Sort, 28, 10000, 10223029, 0.00097818369977176189
Merge Sort using Serial Merge, 28, 10000, 11178550, 0.00089457037393003702
Merge Sort using Serial Merge Branchless, 28, 10000, 12966192, 0.00077123643131926656
Merge Sort using Bitonic Merge, 28, 10000, 16084304, 0.00062172411708161235
Quick Sort, 32, 10000, 10495468, 0.00095279217930510640
Merge Sort using Serial Merge, 32, 10000, 11337796, 0.00088200566824525595
Merge Sort using Serial Merge Branchless, 32, 10000, 12967797, 0.00077114102896302938
Merge Sort using Bitonic Merge, 32, 10000, 16168006, 0.00061850546626374125
Quick Sort, 28, 10000, 10071083, 0.00099294190295040607
