Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 8387601, 0.00119223596993833780
Merge Sort using Serial Merge, 28, 10000, 8391965, 0.00119161605834960938
Merge Sort using Serial Merge Branchless, 28, 10000, 10438266, 0.00095801352290436625
Merge Sort using Bitonic Merge, 28, 10000, 12513960, 0.00079910753993317485
Quick Sort, 32, 10000, 9568391, 0.00104510784149169922
Merge Sort using Serial Merge, 32, 10000, 10498621, 0.00095250608865171671
Merge Sort using Serial Merge Branchless, 32, 10000, 12287040, 0.00081386568490415812
Merge Sort using Bitonic Merge, 32, 10000, 14473599, 0.00069091317709535360
Quick Sort, 28, 10000, 9890361, 0.00101108546368777752
Merge Sort using Serial Merge, 28, 10000, 10859321, 0.00092086789663881063
Merge Sort using Serial Merge Branchless, 28, 10000, 12512094, 0.00079922674922272563
Merge Sort using Bitonic Merge, 28, 10000, 15460593, 0.00064680573996156454
Quick Sort, 32, 10000, 10236251, 0.00097692012786865234
Merge Sort using Serial Merge, 32, 10000, 10077859, 0.00099227426107972860
Merge Sort using Serial Merge Branchless, 32, 10000, 12858469, 0.00077769753988832235
Merge Sort using Bitonic Merge, 32, 10000, 15933989, 0.00062758923741057515
Quick Sort, 28, 10000, 9866629, 0.00101351737976074219
Merge Sort using Serial Merge, 28, 10000, 10848928, 0.00092175009194761515
Merge Sort using Serial Merge Branchless, 28, 10000, 12457835, 0.00080270768376067281
Merge Sort using Bitonic Merge, 28, 10000, 15471999, 0.00064632890280336142
Quick Sort, 32, 10000, 9851102, 0.00101511483080685139
Merge Sort using Serial Merge, 32, 10000, 10846122, 0.00092198851052671671
Merge Sort using Serial Merge Branchless, 32, 10000, 12526294, 0.00079832074698060751
Merge Sort using Bitonic Merge, 32, 10000, 15470286, 0.00064640044001862407
Quick Sort, 28, 10000, 10572987, 0.00094580650329589844
Merge Sort using Serial Merge, 28, 10000, 11433917, 0.00087459088535979390
Merge Sort using Serial Merge Branchless, 28, 10000, 13441128, 0.00074398517608642578
Merge Sort using Bitonic Merge, 28, 10000, 16535141, 0.00060477259103208780
Quick Sort, 32, 10000, 9878481, 0.00101230142172425985
Merge Sort using Serial Merge, 32, 10000, 10850612, 0.00092160701751708984
Merge Sort using Serial Merge Branchless, 32, 10000, 12529661, 0.00079810619354248047
