Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 9750340, 0.00102560524828732014
Merge Sort using Serial Merge, 28, 10000, 10324949, 0.00096852780552580953
Merge Sort using Serial Merge Branchless, 28, 10000, 12316627, 0.00081191060598939657
Merge Sort using Bitonic Merge, 28, 10000, 15283693, 0.00065429211826995015
Quick Sort, 32, 10000, 10284946, 0.00097229483071714640
Merge Sort using Serial Merge, 32, 10000, 11037933, 0.00090596673544496298
Merge Sort using Serial Merge Branchless, 32, 10000, 13109658, 0.00076279637869447470
Merge Sort using Bitonic Merge, 32, 10000, 16095415, 0.00062129495199769735
Quick Sort, 28, 10000, 9478653, 0.00105500221252441406
Merge Sort using Serial Merge, 28, 10000, 10014096, 0.00099859235342592001
Merge Sort using Serial Merge Branchless, 28, 10000, 11721827, 0.00085310934809967875
Merge Sort using Bitonic Merge, 28, 10000, 15051150, 0.00066440104274079204
Quick Sort, 32, 10000, 10365776, 0.00096471310826018453
Merge Sort using Serial Merge, 32, 10000, 11159219, 0.00089612009469419718
Merge Sort using Serial Merge Branchless, 32, 10000, 13363614, 0.00074830057565122843
Merge Sort using Bitonic Merge, 32, 10000, 16329780, 0.00061237812042236328
Quick Sort, 28, 10000, 9800462, 0.00102036003954708576
Merge Sort using Serial Merge, 28, 10000, 10639501, 0.00093989371089264750
Merge Sort using Serial Merge Branchless, 28, 10000, 12987069, 0.00076999666634947062
Merge Sort using Bitonic Merge, 28, 10000, 15450909, 0.00064721109811216593
Quick Sort, 32, 10000, 10604799, 0.00094296934548765421
Merge Sort using Serial Merge, 32, 10000, 11069686, 0.00090336799621582031
Merge Sort using Serial Merge Branchless, 32, 10000, 13368726, 0.00074801442679017782
Merge Sort using Bitonic Merge, 32, 10000, 16322789, 0.00061264040414243937
Quick Sort, 28, 10000, 10192471, 0.00098111631814390421
Merge Sort using Serial Merge, 28, 10000, 11001453, 0.00090897083282470703
Merge Sort using Serial Merge Branchless, 28, 10000, 13003174, 0.00076904299203306437
Merge Sort using Bitonic Merge, 28, 10000, 16046154, 0.00062320230063050985
Quick Sort, 32, 10000, 9828019, 0.00101749901659786701
Merge Sort using Serial Merge, 32, 10000, 10479734, 0.00095422269077971578
Merge Sort using Serial Merge Branchless, 32, 10000, 12408449, 0.00080590246943756938
Merge Sort using Bitonic Merge, 32, 10000, 15361501, 0.00065097806509584188
Quick Sort, 28, 10000, 10105052, 0.00098960404284298420
Merge Sort using Serial Merge, 28, 10000, 10860164, 0.00092079641763120890
Merge Sort using Serial Merge Branchless, 28, 10000, 12774271, 0.00078282353933900595
Merge Sort using Bitonic Merge, 28, 10000, 15868881, 0.00063016416970640421
Quick Sort, 32, 10000, 9705667, 0.00103032588958740234
Merge Sort using Serial Merge, 32, 10000, 10276882, 0.00097305775852873921
Merge Sort using Serial Merge Branchless, 32, 10000, 12080020, 0.00082781317178159952
Merge Sort using Bitonic Merge, 32, 10000, 14390174, 0.00069491862086579204
Quick Sort, 28, 10000, 9760778, 0.00102450849954038858
Merge Sort using Serial Merge, 28, 10000, 10369108, 0.00096440315246582031
Merge Sort using Serial Merge Branchless, 28, 10000, 12368200, 0.00080852507380768657
Merge Sort using Bitonic Merge, 28, 10000, 15303210, 0.00065345765324309468
Quick Sort, 32, 10000, 9784687, 0.00102200510445982218
Merge Sort using Serial Merge, 32, 10000, 10336399, 0.00096745492191985250
Merge Sort using Serial Merge Branchless, 32, 10000, 12096395, 0.00082669255789369345
Merge Sort using Bitonic Merge, 32, 10000, 14935917, 0.00066952704219147563
Quick Sort, 28, 10000, 9165674, 0.00109102728310972452
Merge Sort using Serial Merge, 28, 10000, 9973853, 0.00100262160412967205
Merge Sort using Serial Merge Branchless, 28, 10000, 11980303, 0.00083470344543457031
Merge Sort using Bitonic Merge, 28, 10000, 13987540, 0.00071492197457700968
Quick Sort, 32, 10000, 10098483, 0.00099024770315736532
Merge Sort using Serial Merge, 32, 10000, 10763181, 0.00092909333761781454
Merge Sort using Serial Merge Branchless, 32, 10000, 12903963, 0.00077495572622865438
Merge Sort using Bitonic Merge, 32, 10000, 15815626, 0.00063228607177734375
Quick Sort, 28, 10000, 9857818, 0.00101442332379519939
Merge Sort using Serial Merge, 28, 10000, 10473192, 0.00095481873722746968
Merge Sort using Serial Merge Branchless, 28, 10000, 12393783, 0.00080685614375397563
Merge Sort using Bitonic Merge, 28, 10000, 15354751, 0.00065126421395689249
Quick Sort, 32, 10000, 9955623, 0.00100445747375488281
Merge Sort using Serial Merge, 32, 10000, 10441644, 0.00095770356711000204
Merge Sort using Serial Merge Branchless, 32, 10000, 12311927, 0.00081222056178376079
Merge Sort using Bitonic Merge, 32, 10000, 15276456, 0.00065460207406431437
Quick Sort, 28, 10000, 10417525, 0.00095992087153717875
Merge Sort using Serial Merge, 28, 10000, 11037351, 0.00090601446572691202
Merge Sort using Serial Merge Branchless, 28, 10000, 13204584, 0.00075731275137513876
Merge Sort using Bitonic Merge, 28, 10000, 16253842, 0.00061523914337158203
Quick Sort, 32, 10000, 10033260, 0.00099668500479310751
Merge Sort using Serial Merge, 32, 10000, 10442944, 0.00095758435782045126
Merge Sort using Serial Merge Branchless, 32, 10000, 12702699, 0.00078723428305238485
Merge Sort using Bitonic Merge, 32, 10000, 15696071, 0.00063710211543366313
Quick Sort, 28, 10000, 8995248, 0.00111169810406863689
Merge Sort using Serial Merge, 28, 10000, 9646958, 0.00103659625165164471
Merge Sort using Serial Merge Branchless, 28, 10000, 11915636, 0.00083923339843750000
Merge Sort using Bitonic Merge, 28, 10000, 14072484, 0.00071060657501220703
Quick Sort, 32, 10000, 8318565, 0.00120213034097105265
Merge Sort using Serial Merge, 32, 10000, 8389111, 0.00119202141650021076
Merge Sort using Serial Merge Branchless, 32, 10000, 11020532, 0.00090739724691957235
Merge Sort using Bitonic Merge, 32, 10000, 14414406, 0.00069375039311125875
