Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 14318451, 0.00069839955540373921
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 14202574, 0.00070409773616120219
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 17501060, 0.00057139398995786905
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 12846654, 0.00077841279562562704
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 17472626, 0.00057232379913330078
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 19254942, 0.00051934720249846578
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 17038242, 0.00058691500453278422
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 18192600, 0.00054967403411865234
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 18947884, 0.00052776338998228312
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 16464393, 0.00060737133026123047
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 17082654, 0.00058538914890959859
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 17835958, 0.00056066515389829874
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 17070834, 0.00058579444885253906
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 20033932, 0.00049915316049009562
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 18593422, 0.00053782464237883687
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 16408997, 0.00060942175332456827
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 16969308, 0.00058929919032379985
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 18033812, 0.00055451394291594625
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 18593422, 0.00053782464237883687
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 18804322, 0.00053179264068603516
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 20430122, 0.00048947334289550781
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 6902613, 0.00144872663076967001
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 11997781, 0.00083348748739808798
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 11637268, 0.00085930823115631938
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 14619394, 0.00068402290344238281
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 15162693, 0.00065951346186921000
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 16597301, 0.00060250761453062296
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 14340972, 0.00069730280665680766
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 15798945, 0.00063295365544036031
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 16304389, 0.00061333179473876953
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 7396057, 0.00135207176208496094
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 9678344, 0.00103323464281857014
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 9633663, 0.00103802676312625408
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 4339189, 0.00230457773432135582
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 9560321, 0.00104599003680050373
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 8021235, 0.00124669075012207031
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 9041787, 0.00110597605817019939
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 9586104, 0.00104317662771791220
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 8190880, 0.00122087006457149982
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 6158765, 0.00162370200268924236
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 9196018, 0.00108742713928222656
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 9908585, 0.00100922584533691406
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 2865666, 0.00348958978429436684
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 4836214, 0.00206773285754024982
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 5345241, 0.00187082285992801189
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 6317769, 0.00158283708151429892
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 6689373, 0.00149490835610777140
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 6309311, 0.00158495898358523846
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 2192790, 0.00456039886921644211
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 2596208, 0.00385177135467529297
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 2430269, 0.00411477079614996910
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 3881063, 0.00257661333307623863
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3930231, 0.00254437932744622231
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 3985465, 0.00250911712646484375
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3355604, 0.00298008928075432777
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 3563252, 0.00280642509460449219
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3487841, 0.00286710262298583984
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 1976562, 0.00505928974598646164
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 72, 2857486, 0.00349957938306033611
Parallel Merge Sort using Bitonic Merge, 32, 10000, 72, 2343422, 0.00426726322621107101
