Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 5, 607078, 0.00016472340212203562
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 5, 743275, 0.00013453960127662867
Parallel Merge Sort using Bitonic Merge, 28, 100, 5, 673459, 0.00014848708815407008
Parallel Merge Sort using Serial Merge, 32, 100, 5, 140277, 0.00071287155151367188
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 5, 880231, 0.00011360645294189453
Parallel Merge Sort using Bitonic Merge, 32, 100, 5, 866412, 0.00011541843559825793
Parallel Merge Sort using Serial Merge, 28, 100, 6, 644385, 0.00015518665895797312
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 666927, 0.00014994145021773875
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 658239, 0.00015192032151389867
Parallel Merge Sort using Serial Merge, 32, 100, 6, 512751, 0.00019502639770507812
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 6, 689512, 0.00014503001875709742
Parallel Merge Sort using Bitonic Merge, 32, 100, 6, 533422, 0.00018746852583717555
Parallel Merge Sort using Serial Merge, 28, 100, 7, 552245, 0.00018107891082763672
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 7, 575429, 0.00017378330812789500
Parallel Merge Sort using Bitonic Merge, 28, 100, 7, 595866, 0.00016782284365035594
Parallel Merge Sort using Serial Merge, 32, 100, 7, 150080, 0.00066630839137360454
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 7, 224871, 0.00044469832209870219
Parallel Merge Sort using Bitonic Merge, 32, 100, 7, 186041, 0.00053751468658447266
Parallel Merge Sort using Serial Merge, 28, 100, 8, 335920, 0.00029768943204544485
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 536905, 0.00018625259690452367
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 388613, 0.00025732518406584859
Parallel Merge Sort using Serial Merge, 32, 100, 8, 556790, 0.00017960071272682399
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 8, 187639, 0.00053293706150725484
Parallel Merge Sort using Bitonic Merge, 32, 100, 8, 592499, 0.00016877651796676219
Parallel Merge Sort using Serial Merge, 28, 100, 11, 417385, 0.00023958683595992625
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 11, 430229, 0.00023243427858687937
Parallel Merge Sort using Bitonic Merge, 28, 100, 11, 418969, 0.00023868083371780813
Parallel Merge Sort using Serial Merge, 32, 100, 11, 431601, 0.00023169517226051539
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 11, 431957, 0.00023150444030761719
Parallel Merge Sort using Bitonic Merge, 32, 100, 11, 428471, 0.00023338795290328562
Parallel Merge Sort using Serial Merge, 28, 100, 22, 165789, 0.00060317513998597860
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 22, 153778, 0.00065028667449951172
Parallel Merge Sort using Bitonic Merge, 28, 100, 22, 167899, 0.00059559347573667765
Parallel Merge Sort using Serial Merge, 32, 100, 22, 170743, 0.00058567523956298828
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 22, 170050, 0.00058805942535400391
Parallel Merge Sort using Bitonic Merge, 32, 100, 22, 171189, 0.00058414938393980265
Parallel Merge Sort using Serial Merge, 28, 100, 32, 126368, 0.00079133512917906046
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 32, 129178, 0.00077412126120179892
Parallel Merge Sort using Bitonic Merge, 28, 100, 32, 128490, 0.00077826977940276265
Parallel Merge Sort using Serial Merge, 32, 100, 32, 112042, 0.00089251995086669922
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 32, 113347, 0.00088224408682435751
Parallel Merge Sort using Bitonic Merge, 32, 100, 32, -1000, -0.10000000149011611938
