Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 8926520, 0.00112025742419064045
Merge Sort using Serial Merge, 28, 10000, 10014096, 0.00099859235342592001
Merge Sort using Serial Merge Branchless, 28, 10000, 11577201, 0.00086376664694398642
Merge Sort using Bitonic Merge, 28, 10000, 14913612, 0.00067052838858217001
Quick Sort, 32, 10000, 10283685, 0.00097241404000669718
Merge Sort using Serial Merge, 32, 10000, 10983591, 0.00091044901637360454
Merge Sort using Serial Merge Branchless, 32, 10000, 13173479, 0.00075910089071840048
Merge Sort using Bitonic Merge, 32, 10000, 16248176, 0.00061545369680970907
Quick Sort, 28, 10000, 10713420, 0.00093340873718261719
Merge Sort using Serial Merge, 28, 10000, 11225522, 0.00089082715567201376
Merge Sort using Serial Merge Branchless, 28, 10000, 13338540, 0.00074970722198486328
Merge Sort using Bitonic Merge, 28, 10000, 16527974, 0.00060503481654450297
Quick Sort, 32, 10000, 10664389, 0.00093770027160644531
Merge Sort using Serial Merge, 32, 10000, 11252627, 0.00088868138846009970
Merge Sort using Serial Merge Branchless, 32, 10000, 13209158, 0.00075705052586272359
Merge Sort using Bitonic Merge, 32, 10000, 16654639, 0.00060043332632631063
Quick Sort, 28, 10000, 9857354, 0.00101447105407714844
Merge Sort using Serial Merge, 28, 10000, 10524437, 0.00095016957493498921
Merge Sort using Serial Merge Branchless, 28, 10000, 12497553, 0.00080015661660581827
Merge Sort using Bitonic Merge, 28, 10000, 15335664, 0.00065207481384277344
Quick Sort, 32, 10000, 10236001, 0.00097694399300962687
Merge Sort using Serial Merge, 32, 10000, 11114861, 0.00089969637338072062
Merge Sort using Serial Merge Branchless, 32, 10000, 13138404, 0.00076112744864076376
Merge Sort using Bitonic Merge, 32, 10000, 16174863, 0.00061824324075132608
Quick Sort, 28, 10000, 10580188, 0.00094516278477385640
Merge Sort using Serial Merge, 28, 10000, 11342395, 0.00088164804037660360
Merge Sort using Serial Merge Branchless, 28, 10000, 13480440, 0.00074181554373353720
Merge Sort using Bitonic Merge, 28, 10000, 16290457, 0.00061385630397126079
Quick Sort, 32, 10000, 10453876, 0.00095658301142975688
Merge Sort using Serial Merge, 32, 10000, 11263808, 0.00088779925135895610
Merge Sort using Serial Merge Branchless, 32, 10000, 13553185, 0.00073783396510407329
Merge Sort using Bitonic Merge, 32, 10000, 16519512, 0.00060534477233886719
Quick Sort, 28, 10000, 10624408, 0.00094122887821868062
Merge Sort using Serial Merge, 28, 10000, 11206626, 0.00089232920436188579
Merge Sort using Serial Merge Branchless, 28, 10000, 13475676, 0.00074207782745361328
Merge Sort using Bitonic Merge, 28, 10000, 16187974, 0.00061774253845214844
Quick Sort, 32, 10000, 10567659, 0.00094628334045410156
Merge Sort using Serial Merge, 32, 10000, 11316688, 0.00088365079136565328
Merge Sort using Serial Merge Branchless, 32, 10000, 13484340, 0.00074160099029541016
Merge Sort using Bitonic Merge, 32, 10000, 16181104, 0.00061800482217222452
Quick Sort, 28, 10000, 10628985, 0.00094082357827574015
Merge Sort using Serial Merge, 28, 10000, 11091054, 0.00090162752894684672
Merge Sort using Serial Merge Branchless, 28, 10000, 13378960, 0.00074744224548339844
Merge Sort using Bitonic Merge, 28, 10000, 16389122, 0.00061016081599518657
Quick Sort, 32, 10000, 10390428, 0.00096242426661774516
Merge Sort using Serial Merge, 32, 10000, 11365138, 0.00087988376617431641
Merge Sort using Serial Merge Branchless, 32, 10000, 13115397, 0.00076246261596679688
Merge Sort using Bitonic Merge, 32, 10000, 15807877, 0.00063259602757170796
