Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 5, 339015, 0.00029497145442292094
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 5, 114877, 0.00087049009744077921
Parallel Merge Sort using Bitonic Merge, 28, 100, 5, 181681, 0.00055041315499693155
Parallel Merge Sort using Serial Merge, 32, 100, 5, 711019, 0.00014064312563277781
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 5, 701154, 0.00014262199692893773
Parallel Merge Sort using Bitonic Merge, 32, 100, 5, 614370, 0.00016276836686301976
Parallel Merge Sort using Serial Merge, 28, 100, 6, 608399, 0.00016436577425338328
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 262932, 0.00038032530574128032
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 555316, 0.00018007754988502711
Parallel Merge Sort using Serial Merge, 32, 100, 6, 405168, 0.00024681090144440532
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 6, 539044, 0.00018551349057815969
Parallel Merge Sort using Bitonic Merge, 32, 100, 6, 98275, 0.00101754663046449423
Parallel Merge Sort using Serial Merge, 28, 100, 7, 460608, 0.00021710395230911672
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 7, 478692, 0.00020890236191917211
Parallel Merge Sort using Bitonic Merge, 28, 100, 7, 477276, 0.00020952224440407008
Parallel Merge Sort using Serial Merge, 32, 100, 7, 512688, 0.00019505023374222219
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 7, 516603, 0.00019357205019332469
Parallel Merge Sort using Bitonic Merge, 32, 100, 7, 510131, 0.00019602775864768773
Parallel Merge Sort using Serial Merge, 28, 100, 8, 583677, 0.00017132758512161672
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 537869, 0.00018591880507301539
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 579964, 0.00017242431931663305
Parallel Merge Sort using Serial Merge, 32, 100, 8, 532474, 0.00018780231766868383
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 8, 528982, 0.00018904209719039500
Parallel Merge Sort using Bitonic Merge, 32, 100, 8, 533898, 0.00018730162992142141
Parallel Merge Sort using Serial Merge, 28, 100, 11, 288030, 0.00034718512324616313
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 11, 289322, 0.00034563540248200297
Parallel Merge Sort using Bitonic Merge, 28, 100, 11, 292041, 0.00034241675166413188
Parallel Merge Sort using Serial Merge, 32, 100, 11, 294378, 0.00033969880314543843
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 11, 295769, 0.00033810138120315969
Parallel Merge Sort using Bitonic Merge, 32, 100, 11, 299144, 0.00033428668393753469
Parallel Merge Sort using Serial Merge, 28, 100, 22, 106376, 0.00094006059225648642
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 22, 114827, 0.00087087153224274516
Parallel Merge Sort using Bitonic Merge, 28, 100, 22, 114865, 0.00087058544158935547
Parallel Merge Sort using Serial Merge, 32, 100, 22, 115224, 0.00086786749307066202
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 22, 113743, 0.00087916851043701172
Parallel Merge Sort using Bitonic Merge, 32, 100, 22, 113790, 0.00087881088256835938
Parallel Merge Sort using Serial Merge, 28, 100, 32, 82993, 0.00120491976849734783
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 32, 82591, 0.00121078488882631063
Parallel Merge Sort using Bitonic Merge, 28, 100, 32, 83943, 0.00119128229562193155
Parallel Merge Sort using Serial Merge, 32, 100, 32, 82062, 0.00121858122292906046
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 32, 81819, 0.00122220511548221111
Parallel Merge Sort using Bitonic Merge, 32, 100, 32, 83103, 0.00120332243386656046
Parallel Merge Sort using Serial Merge, 28, 100, 36, 41592, 0.00240428443066775799
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 36, 44590, 0.00224261288531124592
Parallel Merge Sort using Bitonic Merge, 28, 100, 36, 40676, 0.00245842942968010902
Parallel Merge Sort using Serial Merge, 32, 100, 36, 57021, 0.00175373558886349201
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 36, 58941, 0.00169661047402769327
Parallel Merge Sort using Bitonic Merge, 32, 100, 36, 58604, 0.00170636177062988281
Parallel Merge Sort using Serial Merge, 28, 100, 72, 23266, 0.00429794797673821449
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 72, 21865, 0.00457351189106702805
Parallel Merge Sort using Bitonic Merge, 28, 100, 72, 21096, 0.00474011898040771484
Parallel Merge Sort using Serial Merge, 32, 100, 72, 23734, 0.00421321392059326172
Parallel Merge Sort using Serial Merge Branchless, 32, 100, 72, 25033, 0.00399472704157233238
Parallel Merge Sort using Bitonic Merge, 32, 100, 72, 25029, 0.00399527559056878090
Parallel Merge Sort using Serial Merge, 28, 1000, 5, 5210962, 0.00019190312013961375
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 5, 6135611, 0.00016298293485306203
Parallel Merge Sort using Bitonic Merge, 28, 1000, 5, 6165374, 0.00016219615645240992
