Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 12090816, 0.00082707405090332031
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 13439836, 0.00074405671330168843
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 12339818, 0.00081038475036621094
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 17212344, 0.00058097840519621968
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 18294168, 0.00054662226466462016
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 18995942, 0.00052642822265625000
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 16601243, 0.00060236454010009766
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 17275440, 0.00057885644491761923
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 18483624, 0.00054101942805573344
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 17730402, 0.00056400301400572062
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 18065660, 0.00055353640345856547
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 19807812, 0.00050485134124755859
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 16689761, 0.00059916975442320108
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 18453536, 0.00054190156515687704
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 19861274, 0.00050349236698821187
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 17152512, 0.00058300496311858296
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 18113248, 0.00055208208505064249
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 16588112, 0.00060284137725830078
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 16102211, 0.00062103272648528218
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 16818926, 0.00059456826420500875
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 17439208, 0.00057342054788023233
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 17566294, 0.00056927202967926860
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 18569550, 0.00053851603297516704
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 18483624, 0.00054101942805573344
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 14092817, 0.00070958136348053813
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 14956688, 0.00066859723301604390
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 15666757, 0.00063829420832917094
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 12977828, 0.00077054498251527548
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 12981844, 0.00077030656393617392
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 14437726, 0.00069262983743101358
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 9108152, 0.00109791755676269531
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 11193766, 0.00089335441589355469
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 10588735, 0.00094439985696226358
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 10561805, 0.00094680784968659282
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 10884684, 0.00091872212942689657
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 11745131, 0.00085141661111265421
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 9225753, 0.00108392233960330486
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 9981447, 0.00100185873452574015
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 10205616, 0.00097985262982547283
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 2914289, 0.00343136792071163654
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 5674880, 0.00176215171813964844
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 7331033, 0.00136406417004764080
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 7105377, 0.00140738487243652344
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 6644863, 0.00150492193643003702
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 6694926, 0.00149366853293031454
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 6515019, 0.00153491494711488485
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 6986198, 0.00143139366991817951
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 7207698, 0.00138740544207394123
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 2770986, 0.00360882282257080078
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 3718157, 0.00268950453028082848
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 3166038, 0.00315852160565555096
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 3796884, 0.00263373856432735920
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3653988, 0.00273673539049923420
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 3620836, 0.00276179309003055096
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3088179, 0.00323815341107547283
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 2189997, 0.00456621637567877769
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3640478, 0.00274689192883670330
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 3711445, 0.00269436836242675781
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 72, 3800978, 0.00263090129010379314
Parallel Merge Sort using Bitonic Merge, 32, 10000, 72, 3892228, 0.00256922235712409019
