Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,2,247883392,0.00026438236818648875
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,4,233144960,0.00028109550476074219
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,8,180354256,0.00036337375058792531
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,16,292859488,0.00022377967252396047
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,32,476556704,0.00013751983351539820
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,64,502702848,0.00013036727614235133
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,128,297776960,0.00022008418454788625
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,256,49008328,0.00133724207989871502
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,2,383318816,0.00017096995725296438
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,4,630453888,0.00010395050048828125
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,8,986640000,0.00006642341759288684
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,16,1096004352,0.00005979538036626764
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,32,1058443968,0.00006191730790305883
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,64,412234432,0.00015897750563453883
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,128,316862144,0.00020682811737060547
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,256,50275800,0.00130352971609681845
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,2,371557056,0.00017638206190895289
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,4,605724800,0.00010819434828590602
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,8,833974208,0.00007858276512706652
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,16,1252861952,0.00005230903479969129
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,32,1171188352,0.00005595683978754096
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,64,468994912,0.00013973712339065969
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,128,423149504,0.00015487670316360891
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,256,50852464,0.00128874776419252157
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,2,363354816,0.00018036365509033203
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,4,602538112,0.00010876655869651586
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,8,1015808960,0.00006451606896007434
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,16,1253433216,0.00005228519512456842
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,32,1219511552,0.00005373954627430066
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,64,454794656,0.00014410019502975047
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,128,421333376,0.00015554428682662547
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,256,49193388,0.00133221154101192951
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,2,361396160,0.00018134116544388235
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,4,615628032,0.00010645389556884766
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,8,988413888,0.00006630420830333605
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,16,1238746752,0.00005290508124744520
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,32,1174691968,0.00005578994750976562
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,64,473764064,0.00013833046250510961
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,128,407649280,0.00016076564497780055
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,256,53544860,0.00122394564095884562
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,2,397509632,0.00016486644744873047
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,4,602670272,0.00010874271538341418
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,8,994133504,0.00006592273712158203
