Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 6, 279433, 0.00035786628723144531
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 367598, 0.00027203559875488281
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 148103, 0.00067520141601562500
Parallel Merge Sort using Serial Merge, 28, 100, 8, 281685, 0.00035500526428222656
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 309542, 0.00032305717468261719
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 115450, 0.00086617469787597656
Parallel Merge Sort using Serial Merge, 28, 100, 16, 91899, 0.00108814239501953125
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 16, 114535, 0.00087308883666992188
Parallel Merge Sort using Bitonic Merge, 28, 100, 16, 36589, 0.00273299217224121094
