Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 1000, 7536934, 0.00013267993927001953
Merge Sort using Serial Merge, 28, 1000, 7662228, 0.00013051033602096140
Merge Sort using Serial Merge Branchless, 28, 1000, 9167878, 0.00010907649993896484
Merge Sort using Bitonic Merge, 28, 1000, 9981685, 0.00010018348984885961
Quick Sort, 32, 1000, 13086752, 0.00007641315460205078
Merge Sort using Serial Merge, 32, 1000, 13469185, 0.00007424354407703504
Merge Sort using Serial Merge Branchless, 32, 1000, 15522960, 0.00006442070298362523
Merge Sort using Bitonic Merge, 32, 1000, 17802648, 0.00005617141869151965
Quick Sort, 28, 10000, 9590708, 0.00104267592541873455
Merge Sort using Serial Merge, 28, 10000, 10246254, 0.00097596645355224609
Merge Sort using Serial Merge Branchless, 28, 10000, 12214759, 0.00081868172856047750
Merge Sort using Bitonic Merge, 28, 10000, 15416834, 0.00064864160958677530
Quick Sort, 32, 10000, 9799547, 0.00102045538369566202
Merge Sort using Serial Merge, 32, 10000, 10389398, 0.00096251966897398233
Merge Sort using Serial Merge Branchless, 32, 10000, 12380978, 0.00080769060878083110
Merge Sort using Bitonic Merge, 32, 10000, 15335664, 0.00065207481384277344
Quick Sort, 28, 100000, 7820102, 0.01278755627572536469
Merge Sort using Serial Merge, 28, 100000, 8417970, 0.01187934912741184235
Merge Sort using Serial Merge Branchless, 28, 100000, 10504142, 0.00952005386352539062
Merge Sort using Bitonic Merge, 28, 100000, 13206080, 0.00757226953282952309
Quick Sort, 32, 100000, 7767949, 0.01287341117858886719
Merge Sort using Serial Merge, 32, 100000, 8340616, 0.01198952179402112961
Merge Sort using Serial Merge Branchless, 32, 100000, 10365366, 0.00964751280844211578
Merge Sort using Bitonic Merge, 32, 100000, 13384937, 0.00747108459472656250
