Name,Entropy,C Size,Number of Threads,Elements Per Second,Total Time
Standard Merge Sort,4,16384,2,2829708,0.00578999519348144531
Branchless Merge Sort,4,16384,2,2796771,0.00585818290710449219
Bitonic Based Merge Sort,4,16384,2,3563179,0.00459814071655273438
AVX-512 Based Merge Sort,4,16384,2,-2147483648,0.00000000000000000000
Standard Merge Sort,4,16384,4,5671327,0.00288891792297363281
Branchless Merge Sort,4,16384,4,5641993,0.00290393829345703125
Bitonic Based Merge Sort,4,16384,4,7089598,0.00231099128723144531
AVX-512 Based Merge Sort,4,16384,4,-2147483648,0.00000000000000000000
Standard Merge Sort,4,16384,8,11214014,0.00146102905273437500
Branchless Merge Sort,4,16384,8,10937367,0.00149798393249511719
Bitonic Based Merge Sort,4,16384,8,13621304,0.00120282173156738281
AVX-512 Based Merge Sort,4,16384,8,-2147483648,0.00000000000000000000
Standard Merge Sort,4,16384,16,20052372,0.00081706047058105469
Branchless Merge Sort,4,16384,16,20052372,0.00081706047058105469
Bitonic Based Merge Sort,4,16384,16,34411356,0.00047612190246582031
AVX-512 Based Merge Sort,4,16384,16,-2147483648,0.00000000000000000000
Standard Merge Sort,4,16384,32,47197444,0.00034713745117187500
Branchless Merge Sort,4,16384,32,57266232,0.00028610229492187500
Bitonic Based Merge Sort,4,16384,32,56466292,0.00029015541076660156
AVX-512 Based Merge Sort,4,16384,32,-2147483648,0.00000000000000000000
Standard Merge Sort,4,16384,64,35550688,0.00046086311340332031
Branchless Merge Sort,4,16384,64,47622644,0.00034403800964355469
Bitonic Based Merge Sort,4,16384,64,47360080,0.00034594535827636719
AVX-512 Based Merge Sort,4,16384,64,-2147483648,0.00000000000000000000
Standard Merge Sort,4,16384,128,21698604,0.00075507164001464844
Branchless Merge Sort,4,16384,128,25320368,0.00064706802368164062
Bitonic Based Merge Sort,4,16384,128,23786596,0.00068879127502441406
AVX-512 Based Merge Sort,4,16384,128,-2147483648,0.00000000000000000000
Standard Merge Sort,4,16384,256,4711977,0.00347709655761718750
Branchless Merge Sort,4,16384,256,7110873,0.00230407714843750000
Bitonic Based Merge Sort,4,16384,256,6884339,0.00237989425659179688
AVX-512 Based Merge Sort,4,16384,256,-2147483648,0.00000000000000000000
Standard Merge Sort,8,16384,2,2726638,0.00600886344909667969
