Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 50, 50, 349525312, 0.00000028610230629056
Serial Merge Branchless, 28, 50, 50, 83886080, 0.00000119209289550781
Bitonic Merge, 28, 50, 50, 155344592, 0.00000064373017494290
Serial Merge, 32, 50, 50, 113359568, 0.00000088214875404447
Serial Merge Branchless, 32, 50, 50, 209715200, 0.00000047683715820312
Bitonic Merge, 32, 50, 50, 1048576000, 0.00000009536743306171
Serial Merge, 28, 64, 65, 163959152, 0.00000078678129966647
Serial Merge Branchless, 28, 64, 65, 245938736, 0.00000052452088539212
Bitonic Merge, 28, 64, 65, 216426080, 0.00000059604644775391
Serial Merge, 32, 64, 65, 180355072, 0.00000071525573730469
Serial Merge Branchless, 32, 64, 65, 318273632, 0.00000040531159584134
Bitonic Merge, 32, 64, 65, 186574208, 0.00000069141390213190
Serial Merge, 28, 65, 65, 151460976, 0.00000085830686202826
Serial Merge Branchless, 28, 65, 65, 218103808, 0.00000059604644775391
Bitonic Merge, 28, 65, 65, 419430400, 0.00000030994414146335
Serial Merge, 32, 65, 65, 160370448, 0.00000081062319168268
Serial Merge Branchless, 32, 65, 65, 419430400, 0.00000030994414146335
Bitonic Merge, 32, 65, 65, 681574400, 0.00000019073486612342
