Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 100, 7061117, 0.00001416206396243069
Merge Sort using Serial Merge, 28, 100, 5197403, 0.00001924037860590033
Merge Sort using Serial Merge Branchless, 28, 100, 7133170, 0.00001401901226927293
Merge Sort using Bitonic Merge, 28, 100, 8097112, 0.00001235008221556200
Quick Sort, 32, 100, 23831272, 0.00000419616708313697
Merge Sort using Serial Merge, 32, 100, 17848102, 0.00000560283660888672
Merge Sort using Serial Merge Branchless, 32, 100, 24818368, 0.00000402927389586694
Merge Sort using Bitonic Merge, 32, 100, 26214400, 0.00000381469726562500
Quick Sort, 28, 129, 23940938, 0.00000538825997864478
Merge Sort using Serial Merge, 28, 129, 23422736, 0.00000550746926819556
Merge Sort using Serial Merge Branchless, 28, 129, 25765010, 0.00000500679016113281
Merge Sort using Bitonic Merge, 28, 129, 26265302, 0.00000491142282044166
Quick Sort, 32, 129, 21817146, 0.00000591278057981981
Merge Sort using Serial Merge, 32, 129, 23422736, 0.00000550746926819556
Merge Sort using Serial Merge Branchless, 32, 129, 26265302, 0.00000491142282044166
Merge Sort using Bitonic Merge, 32, 129, 28180478, 0.00000457763690064894
Quick Sort, 28, 130, 22438664, 0.00000579357129026903
Merge Sort using Serial Merge, 28, 130, 19335444, 0.00000672340411256300
Merge Sort using Serial Merge Branchless, 28, 130, 25479418, 0.00000510215750182397
Merge Sort using Bitonic Merge, 28, 130, 25011906, 0.00000519752484251512
Quick Sort, 32, 130, 21986272, 0.00000591278057981981
Merge Sort using Serial Merge, 32, 130, 18737440, 0.00000693798074280494
Merge Sort using Serial Merge Branchless, 32, 130, 22624876, 0.00000574588784729713
Merge Sort using Bitonic Merge, 32, 130, 25360908, 0.00000512599945068359
