Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,2,261340464,0.00025076867314055562
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,4,264917040,0.00024738311185501516
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,8,286988832,0.00022835731215309352
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,16,288252832,0.00022735595121048391
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,32,473111712,0.00013852119445800781
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,64,475731936,0.00013775825209449977
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,128,287589376,0.00022788047499489039
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,256,51971620,0.00126099586486816406
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,2,402338848,0.00016288757615257055
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,4,644648000,0.00010166168067371473
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,8,919939456,0.00007123946852516383
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,16,1133984768,0.00005779266211902723
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,32,1092519424,0.00005998611595714465
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,64,771695360,0.00008492470078635961
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,128,396878304,0.00016512870206497610
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,256,52403612,0.00125060079153627157
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,2,396077664,0.00016546249389648438
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,4,580156032,0.00011296271986793727
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,8,1057222720,0.00006198883056640625
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,16,1269057664,0.00005164146568858996
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,32,1222766464,0.00005359649730962701
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,64,302262912,0.00021681786165572703
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,128,425507584,0.00015401840209960938
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,256,54152464,0.00121021270751953125
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,2,446085536,0.00014691353135276586
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,4,607062528,0.00010795592970680445
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,8,942007936,0.00006957053847145289
