Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 6, 289862, 0.00034499168395996094
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 116282, 0.00085997581481933594
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 173893, 0.00057506561279296875
Parallel Merge Sort using Serial Merge, 28, 100, 8, 360955, 0.00027704238891601562
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 465000, 0.00021505355834960938
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 92507, 0.00108098983764648438
Parallel Merge Sort using Serial Merge, 28, 100, 16, 234187, 0.00042700767517089844
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 16, 303935, 0.00032901763916015625
Parallel Merge Sort using Bitonic Merge, 28, 100, 16, 106589, 0.00093817710876464844
Parallel Merge Sort using Serial Merge, 28, 100, 32, 46361, 0.00215697288513183594
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 32, 56397, 0.00177311897277832031
Parallel Merge Sort using Bitonic Merge, 28, 100, 32, 26440, 0.00378203392028808594
Parallel Merge Sort using Serial Merge, 28, 100, 36, 87109, 0.00114798545837402344
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 36, 86641, 0.00115418434143066406
Parallel Merge Sort using Bitonic Merge, 28, 100, 36, 14025, 0.00712990760803222656
Parallel Merge Sort using Serial Merge, 28, 100, 68, 20429, 0.00489497184753417969
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 68, 35854, 0.00278902053833007812
Parallel Merge Sort using Bitonic Merge, 28, 100, 68, 9710, 0.01029801368713378906
Parallel Merge Sort using Serial Merge, 28, 100, 72, 36101, 0.00276994705200195312
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 72, 47302, 0.00211405754089355469
Parallel Merge Sort using Bitonic Merge, 28, 100, 72, 7642, 0.01308512687683105469
