Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 1000, 12989483, 0.00007698535773670301
Merge Sort using Serial Merge, 28, 1000, 13438974, 0.00007441043999278918
Merge Sort using Serial Merge Branchless, 28, 1000, 15797755, 0.00006330013275146484
Merge Sort using Bitonic Merge, 28, 1000, 18251976, 0.00005478859020513482
Quick Sort, 32, 1000, 12192744, 0.00008201599121093750
Merge Sort using Serial Merge, 32, 1000, 12497926, 0.00008001327660167590
Merge Sort using Serial Merge Branchless, 32, 1000, 14789506, 0.00006761551048839465
Merge Sort using Bitonic Merge, 32, 1000, 16454704, 0.00006077289435779676
Quick Sort, 28, 10000, 10148574, 0.00098536012228578329
Merge Sort using Serial Merge, 28, 10000, 10708497, 0.00093383790226653218
Merge Sort using Serial Merge Branchless, 28, 10000, 12642966, 0.00079095363616943359
Merge Sort using Bitonic Merge, 28, 10000, 15730803, 0.00063569546910002828
Quick Sort, 32, 10000, 10087554, 0.00099132058676332235
Merge Sort using Serial Merge, 32, 10000, 10680955, 0.00093624589499086142
Merge Sort using Serial Merge Branchless, 32, 10000, 12569086, 0.00079560279846191406
Merge Sort using Bitonic Merge, 32, 10000, 15668513, 0.00063822267111390829
Quick Sort, 28, 100000, 8090427, 0.01236028689891099930
Merge Sort using Serial Merge, 28, 100000, 8685424, 0.01151354331523180008
Merge Sort using Serial Merge Branchless, 28, 100000, 10724871, 0.00932412128895521164
Merge Sort using Bitonic Merge, 28, 100000, 13971932, 0.00715720653533935547
Quick Sort, 32, 100000, 8169374, 0.01224083919078111649
Merge Sort using Serial Merge, 32, 100000, 8789000, 0.01137785892933607101
Merge Sort using Serial Merge Branchless, 32, 100000, 10950671, 0.00913186091929674149
Merge Sort using Bitonic Merge, 32, 100000, 14206277, 0.00703914184123277664
Quick Sort, 28, 1000000, 6820124, 0.14662489295005798340
Merge Sort using Serial Merge, 28, 1000000, 7449045, 0.13424539566040039062
Merge Sort using Serial Merge Branchless, 28, 1000000, 9767645, 0.10237882286310195923
Merge Sort using Bitonic Merge, 28, 1000000, 13164391, 0.07596249878406524658
Quick Sort, 32, 1000000, 6799167, 0.14707684516906738281
Merge Sort using Serial Merge, 32, 1000000, 7419379, 0.13478216528892517090
Merge Sort using Serial Merge Branchless, 32, 1000000, 9714186, 0.10294222831726074219
Merge Sort using Bitonic Merge, 32, 1000000, 13072224, 0.07649807631969451904
Quick Sort, 28, 10000000, 5901690, 1.69442975521087646484
Merge Sort using Serial Merge, 28, 10000000, 6463582, 1.54712975025177001953
Merge Sort using Serial Merge Branchless, 28, 10000000, 8530744, 1.17223072052001953125
Merge Sort using Bitonic Merge, 28, 10000000, 11900396, 0.84030818939208984375
Quick Sort, 32, 10000000, 5859601, 1.70660078525543212891
Merge Sort using Serial Merge, 32, 10000000, 6387243, 1.56562077999114990234
Merge Sort using Serial Merge Branchless, 32, 10000000, 8422376, 1.18731343746185302734
Merge Sort using Bitonic Merge, 32, 10000000, 11551560, 0.86568391323089599609
