Name,Entropy,C Size,Elements Per Second,Total Time
Quick Sort,4,16384,1165546,0.01405692100524902344
Merge Sort Standard,4,16384,1276910,0.01283097267150878906
Branch Avoiding Sort,4,16384,1271570,0.01288485527038574219
Bitonic Based Merge Sort,4,16384,1672698,0.00979495048522949219
AVX-512 Merge Path Based Sort,4,16384,1630742,0.01004695892333984375
AVX-512 Hybrid Merge Sort,4,16384,8392706,0.00195217132568359375
Quick Sort,8,16384,1096949,0.01493597030639648438
Merge Sort Standard,8,16384,1229021,0.01333093643188476562
Branch Avoiding Sort,8,16384,1232437,0.01329398155212402344
Bitonic Based Merge Sort,8,16384,1599503,0.01024317741394042969
AVX-512 Merge Path Based Sort,8,16384,1602824,0.01022195816040039062
AVX-512 Hybrid Merge Sort,8,16384,7809919,0.00209784507751464844
Quick Sort,12,16384,1080511,0.01516318321228027344
Merge Sort Standard,12,16384,1236918,0.01324582099914550781
Branch Avoiding Sort,12,16384,1231885,0.01329994201660156250
Bitonic Based Merge Sort,12,16384,1586651,0.01032614707946777344
AVX-512 Merge Path Based Sort,12,16384,1600472,0.01023697853088378906
AVX-512 Hybrid Merge Sort,12,16384,7642290,0.00214385986328125000
Quick Sort,16,16384,1076837,0.01521492004394531250
Merge Sort Standard,16,16384,1231134,0.01330804824829101562
Branch Avoiding Sort,16,16384,1224051,0.01338505744934082031
Bitonic Based Merge Sort,16,16384,1590986,0.01029801368713378906
AVX-512 Merge Path Based Sort,16,16384,1605820,0.01020288467407226562
AVX-512 Hybrid Merge Sort,16,16384,7516075,0.00217986106872558594
Quick Sort,20,16384,1073305,0.01526498794555664062
Merge Sort Standard,20,16384,1231134,0.01330804824829101562
Branch Avoiding Sort,20,16384,1228296,0.01333880424499511719
Bitonic Based Merge Sort,20,16384,1588338,0.01031517982482910156
AVX-512 Merge Path Based Sort,20,16384,1594049,0.01027822494506835938
AVX-512 Hybrid Merge Sort,20,16384,7602553,0.00215506553649902344
Quick Sort,24,16384,1077394,0.01520705223083496094
Merge Sort Standard,24,16384,1234208,0.01327490806579589844
Branch Avoiding Sort,24,16384,1228186,0.01333999633789062500
Bitonic Based Merge Sort,24,16384,1586212,0.01032900810241699219
AVX-512 Merge Path Based Sort,24,16384,1601106,0.01023292541503906250
AVX-512 Hybrid Merge Sort,24,16384,7564059,0.00216603279113769531
Quick Sort,28,16384,1074144,0.01525306701660156250
Merge Sort Standard,28,16384,1229658,0.01332402229309082031
Branch Avoiding Sort,28,16384,1229021,0.01333093643188476562
Bitonic Based Merge Sort,28,16384,1584201,0.01034212112426757812
AVX-512 Merge Path Based Sort,28,16384,1601890,0.01022791862487792969
AVX-512 Hybrid Merge Sort,28,16384,7595830,0.00215697288513183594
Quick Sort,4,262144,1724313,0.15202808380126953125
Merge Sort Standard,4,262144,2598753,0.10087299346923828125
Branch Avoiding Sort,4,262144,2483885,0.10553789138793945312
Bitonic Based Merge Sort,4,262144,2967851,0.08832788467407226562
AVX-512 Merge Path Based Sort,4,262144,2924925,0.08962416648864746094
AVX-512 Hybrid Merge Sort,4,262144,9903815,0.02646899223327636719
Quick Sort,8,262144,1597280,0.16411900520324707031
Merge Sort Standard,8,262144,2512113,0.10435199737548828125
Branch Avoiding Sort,8,262144,2393989,0.10950088500976562500
Bitonic Based Merge Sort,8,262144,2818689,0.09300208091735839844
AVX-512 Merge Path Based Sort,8,262144,2878461,0.09107089042663574219
AVX-512 Hybrid Merge Sort,8,262144,9611116,0.02727508544921875000
Quick Sort,12,262144,1550195,0.16910386085510253906
Merge Sort Standard,12,262144,2507546,0.10454201698303222656
Branch Avoiding Sort,12,262144,2393401,0.10952782630920410156
