Name,Entropy,A Size,B Size,Elements Per Second,Total Time
Serial Merge,28,50,51,78986568,0.00000127869839161576
Serial Merge Branchless,28,50,51,76513512,0.00000132002833197475
Bitonic Merge,28,50,51,80491720,0.00000125478743484564
AVX512 Merge,28,50,51,37436900,0.00000269787301476754
AVX512 Parallel Merge,28,50,51,-2147483648,0.00000000000000000000
Serial Merge,28,51,51,78781064,0.00000129472732623981
Serial Merge Branchless,28,51,51,76447576,0.00000133424759951595
Bitonic Merge,28,51,51,79643136,0.00000128071303606703
AVX512 Merge,28,51,51,38571268,0.00000264445543507463
AVX512 Parallel Merge,28,51,51,-2147483648,0.00000000000000000000
Serial Merge,28,51,52,78859152,0.00000130612613702397
Serial Merge Branchless,28,51,52,76646216,0.00000134383674321725
Bitonic Merge,28,51,52,79558408,0.00000129464626752451
AVX512 Merge,28,51,52,38238000,0.00000269365546046174
AVX512 Parallel Merge,28,51,52,-2147483648,0.00000000000000000000
Serial Merge,28,52,52,78884216,0.00000131838794459327
Serial Merge Branchless,28,52,52,76915744,0.00000135212894747383
Bitonic Merge,28,52,52,79355928,0.00000131055116980860
AVX512 Merge,28,52,52,38868920,0.00000267565974354511
AVX512 Parallel Merge,28,52,52,-2147483648,0.00000000000000000000
Serial Merge,28,52,53,79471696,0.00000132122511331545
Serial Merge Branchless,28,52,53,77431536,0.00000135603670514683
Bitonic Merge,28,52,53,80481624,0.00000130464559333632
AVX512 Merge,28,52,53,38694032,0.00000271359681391914
AVX512 Parallel Merge,28,52,53,-2147483648,0.00000000000000000000
Serial Merge,28,53,53,79184328,0.00000133864875806466
Serial Merge Branchless,28,53,53,76926280,0.00000137794256716006
Bitonic Merge,28,53,53,83078024,0.00000127590897136542
AVX512 Merge,28,53,53,39790628,0.00000266394386017055
AVX512 Parallel Merge,28,53,53,-2147483648,0.00000000000000000000
Serial Merge,28,53,54,79844456,0.00000134010554120323
Serial Merge Branchless,28,53,54,77088064,0.00000138802295168716
Bitonic Merge,28,53,54,82520864,0.00000129664181258704
AVX512 Merge,28,53,54,39461708,0.00000271148928732146
AVX512 Parallel Merge,28,53,54,-2147483648,0.00000000000000000000
Serial Merge,28,54,54,79605096,0.00000135669711198716
Serial Merge Branchless,28,54,54,77130056,0.00000140023234962428
Bitonic Merge,28,54,54,81886680,0.00000131889578369737
AVX512 Merge,28,54,54,40487512,0.00000266748907051806
AVX512 Parallel Merge,28,54,54,-2147483648,0.00000000000000000000
Serial Merge,28,54,55,79812288,0.00000136570452013984
Serial Merge Branchless,28,54,55,77632464,0.00000140405177262437
Bitonic Merge,28,54,55,81912080,0.00000133069511321082
AVX512 Merge,28,54,55,40194964,0.00000271178237198910
AVX512 Parallel Merge,28,54,55,-2147483648,0.00000000000000000000
Serial Merge,28,55,55,79918912,0.00000137639517561183
Serial Merge Branchless,28,55,55,77604488,0.00000141744374104746
Bitonic Merge,28,55,55,81350456,0.00000135217430852208
AVX512 Merge,28,55,55,41085000,0.00000267737618742103
AVX512 Parallel Merge,28,55,55,-2147483648,0.00000000000000000000
Serial Merge,28,55,56,79948576,0.00000138839243390976
Serial Merge Branchless,28,55,56,77529112,0.00000143172030675487
Bitonic Merge,28,55,56,80892896,0.00000137218478357681
AVX512 Merge,28,55,56,40583740,0.00000273508544523793
AVX512 Parallel Merge,28,55,56,-2147483648,0.00000000000000000000
Serial Merge,28,56,56,80149536,0.00000139738801863132
Serial Merge Branchless,28,56,56,77653680,0.00000144230125442846
Bitonic Merge,28,56,56,80538968,0.00000139063115511817
AVX512 Merge,28,56,56,42031192,0.00000266468759946292
AVX512 Parallel Merge,28,56,56,-2147483648,0.00000000000000000000
Serial Merge,28,56,57,80411456,0.00000140527242820099
Serial Merge Branchless,28,56,57,77719168,0.00000145395279105287
Bitonic Merge,28,56,57,81746488,0.00000138232235258329
AVX512 Merge,28,56,57,41397508,0.00000272963279712712
AVX512 Parallel Merge,28,56,57,-2147483648,0.00000000000000000000
Serial Merge,28,57,57,80382256,0.00000141822340538056
Serial Merge Branchless,28,57,57,78079944,0.00000146004197176808
Bitonic Merge,28,57,57,84320256,0.00000135198831685557
AVX512 Merge,28,57,57,41750512,0.00000273050545729348
AVX512 Parallel Merge,28,57,57,-2147483648,0.00000000000000000000
Serial Merge,28,57,58,80575344,0.00000142723558838043
Serial Merge Branchless,28,57,58,77947184,0.00000147535797623277
Bitonic Merge,28,57,58,83763712,0.00000137290953716729
AVX512 Merge,28,57,58,41215392,0.00000279021969618043
AVX512 Parallel Merge,28,57,58,-2147483648,0.00000000000000000000
Serial Merge,28,58,58,80567000,0.00000143979548283824
Serial Merge Branchless,28,58,58,78442696,0.00000147878643019794
