Name,Entropy,A Size,B Size,Elements Per Second,Total Time
Basic Merge,4,32768,32768,101663552,0.00064463616581633687
SSE Bitonic Merge,4,32768,32768,129269152,0.00050697324331849813
AVX-512 Merge Path Based Merge,4,32768,32768,149033776,0.00043973923311568797
Basic Merge,8,32768,32768,95337792,0.00068740843562409282
SSE Bitonic Merge,8,32768,32768,118420608,0.00055341719416901469
AVX-512 Merge Path Based Merge,8,32768,32768,169929472,0.00038566588773392141
Basic Merge,12,32768,32768,94168520,0.00069594383239746094
SSE Bitonic Merge,12,32768,32768,107407752,0.00061016081599518657
AVX-512 Merge Path Based Merge,12,32768,32768,162438192,0.00040345190791413188
Basic Merge,16,32768,32768,96070848,0.00068216322688385844
SSE Bitonic Merge,16,32768,32768,104389304,0.00062780379084870219
AVX-512 Merge Path Based Merge,16,32768,32768,168968464,0.00038785935612395406
Basic Merge,20,32768,32768,98079600,0.00066819193307310343
SSE Bitonic Merge,20,32768,32768,106773584,0.00061378476675599813
AVX-512 Merge Path Based Merge,20,32768,32768,175528672,0.00037336349487304688
Basic Merge,24,32768,32768,96104440,0.00068192480830475688
SSE Bitonic Merge,24,32768,32768,104715392,0.00062584877014160156
AVX-512 Merge Path Based Merge,24,32768,32768,177134880,0.00036997796269133687
Basic Merge,28,32768,32768,97253720,0.00067386624868959188
SSE Bitonic Merge,28,32768,32768,101303872,0.00064692494925111532
AVX-512 Merge Path Based Merge,28,32768,32768,175103776,0.00037426949711516500
Basic Merge,4,65536,65536,101199440,0.00129518506582826376
SSE Bitonic Merge,4,65536,65536,125474920,0.00104460713919252157
AVX-512 Merge Path Based Merge,4,65536,65536,159100496,0.00082383153494447470
Basic Merge,8,65536,65536,95923328,0.00136642460711300373
SSE Bitonic Merge,8,65536,65536,118446120,0.00110659596975892782
AVX-512 Merge Path Based Merge,8,65536,65536,152396688,0.00086007115896791220
Basic Merge,12,65536,65536,95384104,0.00137414934579282999
SSE Bitonic Merge,12,65536,65536,109117504,0.00120120053179562092
AVX-512 Merge Path Based Merge,12,65536,65536,147799712,0.00088682177010923624
Basic Merge,16,65536,65536,94955752,0.00138034822884947062
SSE Bitonic Merge,16,65536,65536,103368648,0.00126800534781068563
AVX-512 Merge Path Based Merge,16,65536,65536,147135168,0.00089082715567201376
Basic Merge,20,65536,65536,95772936,0.00136857037432491779
SSE Bitonic Merge,20,65536,65536,103974696,0.00126061437185853720
AVX-512 Merge Path Based Merge,20,65536,65536,145176880,0.00090284348698332906
Basic Merge,24,65536,65536,95756256,0.00136880879290401936
SSE Bitonic Merge,24,65536,65536,103876472,0.00126180646475404501
AVX-512 Merge Path Based Merge,24,65536,65536,146773760,0.00089302065316587687
Basic Merge,28,65536,65536,95636320,0.00137052533682435751
SSE Bitonic Merge,28,65536,65536,103809784,0.00126261706463992596
AVX-512 Merge Path Based Merge,28,65536,65536,145692432,0.00089964864309877157
Basic Merge,4,131072,131072,100682352,0.00260367384180426598
SSE Bitonic Merge,4,131072,131072,126070536,0.00207934388890862465
AVX-512 Merge Path Based Merge,4,131072,131072,147640944,0.00177555088885128498
Basic Merge,8,131072,131072,96330088,0.00272130966186523438
SSE Bitonic Merge,8,131072,131072,118812176,0.00220637326128780842
AVX-512 Merge Path Based Merge,8,131072,131072,123075992,0.00212993612512946129
Basic Merge,12,131072,131072,95664608,0.00274024019017815590
SSE Bitonic Merge,12,131072,131072,113127792,0.00231723790057003498
AVX-512 Merge Path Based Merge,12,131072,131072,118196552,0.00221786508336663246
Basic Merge,16,131072,131072,94793656,0.00276541709899902344
SSE Bitonic Merge,16,131072,131072,102688992,0.00255279545672237873
AVX-512 Merge Path Based Merge,16,131072,131072,117862064,0.00222415919415652752
Basic Merge,20,131072,131072,95606376,0.00274190912023186684
SSE Bitonic Merge,20,131072,131072,103927528,0.00252237310633063316
AVX-512 Merge Path Based Merge,20,131072,131072,117776216,0.00222578039392828941
Basic Merge,24,131072,131072,94890192,0.00276260380633175373
SSE Bitonic Merge,24,131072,131072,104090848,0.00251841545104980469
AVX-512 Merge Path Based Merge,24,131072,131072,118451216,0.00221309671178460121
Basic Merge,28,131072,131072,95448688,0.00274643907323479652
SSE Bitonic Merge,28,131072,131072,104179616,0.00251626968383789062
AVX-512 Merge Path Based Merge,28,131072,131072,119048880,0.00220198626630008221
Basic Merge,4,262144,262144,102240208,0.00512800225988030434
SSE Bitonic Merge,4,262144,262144,126437328,0.00414662342518568039
AVX-512 Merge Path Based Merge,4,262144,262144,53269108,0.00984225235879421234
Basic Merge,8,262144,262144,96900592,0.00541057577356696129
SSE Bitonic Merge,8,262144,262144,119260640,0.00439615268260240555
AVX-512 Merge Path Based Merge,8,262144,262144,59070972,0.00887556094676256180
Basic Merge,12,262144,262144,96107792,0.00545520801097154617
SSE Bitonic Merge,12,262144,262144,116618232,0.00449576368555426598
AVX-512 Merge Path Based Merge,12,262144,262144,33520470,0.01564083062112331390
Basic Merge,16,262144,262144,96099392,0.00545568484812974930
SSE Bitonic Merge,16,262144,262144,104545136,0.00501494389027357101
AVX-512 Merge Path Based Merge,16,262144,262144,32744708,0.01601138152182102203
Basic Merge,20,262144,262144,96271048,0.00544595718383789062
SSE Bitonic Merge,20,262144,262144,104600832,0.00501227378845214844
AVX-512 Merge Path Based Merge,20,262144,262144,31733128,0.01652178727090358734
Basic Merge,24,262144,262144,96331776,0.00544252386316657066
SSE Bitonic Merge,24,262144,262144,104720376,0.00500655174255371094
AVX-512 Merge Path Based Merge,24,262144,262144,31887648,0.01644172705709934235
Basic Merge,28,262144,262144,96324176,0.00544295320287346840
SSE Bitonic Merge,28,262144,262144,104688472,0.00500807771459221840
AVX-512 Merge Path Based Merge,28,262144,262144,32939728,0.01591658592224121094
Basic Merge,4,524288,524288,102229752,0.01025705318897962570
SSE Bitonic Merge,4,524288,524288,126160224,0.00831146258860826492
AVX-512 Merge Path Based Merge,4,524288,524288,106886720,0.00981016177684068680
Basic Merge,8,524288,524288,96973664,0.01081299781799316406
SSE Bitonic Merge,8,524288,524288,120323664,0.00871462840586900711
AVX-512 Merge Path Based Merge,8,524288,524288,62215264,0.01685399934649467468
Basic Merge,12,524288,524288,96219232,0.01089777983725070953
SSE Bitonic Merge,12,524288,524288,118676240,0.00883560162037611008
AVX-512 Merge Path Based Merge,12,524288,524288,32241428,0.03252262994647026062
Basic Merge,16,524288,524288,96309416,0.01088757533580064774
SSE Bitonic Merge,16,524288,524288,109884136,0.00954256020486354828
AVX-512 Merge Path Based Merge,16,524288,524288,33838416,0.03098773956298828125
Basic Merge,20,524288,524288,96318696,0.01088652573525905609
SSE Bitonic Merge,20,524288,524288,104662568,0.01001863460987806320
AVX-512 Merge Path Based Merge,20,524288,524288,36545136,0.02869262732565402985
Basic Merge,24,524288,524288,96653568,0.01084880810230970383
SSE Bitonic Merge,24,524288,524288,105133424,0.00997376441955566406
AVX-512 Merge Path Based Merge,24,524288,524288,81606704,0.01284913998097181320
Basic Merge,28,524288,524288,96663768,0.01084766350686550140
SSE Bitonic Merge,28,524288,524288,105095240,0.00997738819569349289
AVX-512 Merge Path Based Merge,28,524288,524288,84213432,0.01245141029357910156
Basic Merge,4,1048576,1048576,102597008,0.02044067345559597015
SSE Bitonic Merge,4,1048576,1048576,127470744,0.01645202562212944031
AVX-512 Merge Path Based Merge,4,1048576,1048576,144813584,0.01448173541575670242
Basic Merge,8,1048576,1048576,97182160,0.02157959900796413422
SSE Bitonic Merge,8,1048576,1048576,120611400,0.01738767698407173157
AVX-512 Merge Path Based Merge,8,1048576,1048576,102064152,0.02054738998413085938
Basic Merge,12,1048576,1048576,96816976,0.02166099473834037781
SSE Bitonic Merge,12,1048576,1048576,119441704,0.01755795441567897797
AVX-512 Merge Path Based Merge,12,1048576,1048576,69049728,0.03037161752581596375
Basic Merge,16,1048576,1048576,96787568,0.02166757546365261078
SSE Bitonic Merge,16,1048576,1048576,110892360,0.01891160011291503906
AVX-512 Merge Path Based Merge,16,1048576,1048576,55181272,0.03800477832555770874
Basic Merge,20,1048576,1048576,96711376,0.02168464660644531250
SSE Bitonic Merge,20,1048576,1048576,104662072,0.02003736421465873718
AVX-512 Merge Path Based Merge,20,1048576,1048576,63403676,0.03307618945837020874
Basic Merge,24,1048576,1048576,96745200,0.02167706564068794250
SSE Bitonic Merge,24,1048576,1048576,105343192,0.01990780793130397797
AVX-512 Merge Path Based Merge,24,1048576,1048576,52811688,0.03970999643206596375
