Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,2,248039984,0.00026421545771881938
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,4,236637328,0.00027694701566360891
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,8,289711104,0.00022621154494117945
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,16,290078016,0.00022592543973587453
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,32,473600800,0.00013837814913131297
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,64,205901056,0.00031828880310058594
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,128,256368144,0.00025563238887116313
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,256,29867644,0.00219421391375362873
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,2,359787840,0.00018215179443359375
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,4,553296896,0.00011844634718727320
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,8,963807488,0.00006799698167014867
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,16,1141519488,0.00005741119457525201
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,32,1049953856,0.00006241798109840602
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,64,754744384,0.00008683204941917211
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,128,388245632,0.00016880035400390625
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,256,52020800,0.00125980377197265625
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,2,457824608,0.00014314652071334422
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,4,618537152,0.00010595321509754285
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,8,969245056,0.00006761551048839465
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,16,1264387840,0.00005183219764148816
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,32,1209849984,0.00005416870044427924
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,64,626716608,0.00010457039024913684
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,128,419021184,0.00015640258789062500
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,256,52535816,0.00124745373614132404
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,2,462757408,0.00014162063598632812
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,4,533536288,0.00012283325486350805
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,8,1018066304,0.00006437301635742188
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,16,1246046720,0.00005259514000499621
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,32,1186864896,0.00005521774437511340
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,64,877643328,0.00007467270188499242
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,128,426696512,0.00015358925156760961
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,256,51392496,0.00127520563546568155
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,2,427227072,0.00015339851961471140
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,4,612746112,0.00010695457604015246
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,8,963807488,0.00006799698167014867
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,16,1182779264,0.00005540847632801160
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,32,1179733504,0.00005555152893066406
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,64,582121792,0.00011258125596214086
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,128,416355488,0.00015740394883323461
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,256,52264120,0.00125393865164369345
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,2,349450688,0.00018754004850052297
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,4,577960256,0.00011339187767589465
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,8,978213184,0.00006699562072753906
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,16,1221679616,0.00005364418029785156
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,32,729506176,0.00008983611769508570
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,64,648909120,0.00010099411156261340
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,128,315082400,0.00020799637422896922
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,256,52001116,0.00126028060913085938
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,2,406023488,0.00016140937805175781
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,4,577960256,0.00011339187767589465
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,8,1011324224,0.00006480216688942164
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,16,1289296000,0.00005083084033685736
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,32,1173688832,0.00005583763049799018
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,64,858456896,0.00007634163193870336
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,128,419148992,0.00015635490126442164
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,256,52311860,0.00125279428903013468
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,2,273646496,0.00047898292541503906
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,4,307091840,0.00042681692866608500
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,8,297583520,0.00044045448885299265
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,16,303029344,0.00043253897456452250
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,32,455397472,0.00028781889704987407
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,64,418447104,0.00031323434086516500
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,128,478714560,0.00027379990206100047
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,256,96931344,0.00135221483651548624
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,2,319514016,0.00041022300138138235
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,4,725846016,0.00018057823763228953
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,8,1027196928,0.00012760162644553930
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,16,1403154176,0.00009341239638160914
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,32,963807488,0.00013599396334029734
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,64,531781568,0.00024647713871672750
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,128,581506048,0.00022540093050338328
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,256,97727416,0.00134119985159486532
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,2,398836192,0.00032863617525435984
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,4,668640000,0.00019602775864768773
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,8,914126720,0.00014338493929244578
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,16,1354745728,0.00009675025648903102
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,32,1688439168,0.00007762909081066027
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,64,1390378880,0.00009427070472156629
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,128,656033216,0.00019979476928710938
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,256,97765648,0.00134067540057003498
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,2,392570560,0.00033388138399459422
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,4,637619840,0.00020556450181175023
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,8,1017312704,0.00012884140596725047
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,16,1563583104,0.00008382797386730090
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,32,1346120960,0.00009737014624988660
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,64,1308942464,0.00010013580322265625
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,128,617009920,0.00021243095397949219
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,256,99853928,0.00131263735238462687
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,2,379928000,0.00034499168395996094
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,4,679886016,0.00019278525724075735
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,8,995213248,0.00013170242891646922
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,16,1509488768,0.00008683204941917211
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,32,1681210496,0.00007796287536621094
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,64,560632064,0.00023379325284622610
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,128,639399680,0.00020499229140114039
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,256,96828904,0.00135364534799009562
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,2,383211936,0.00034203528775833547
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,4,598601728,0.00021896362886764109
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,8,1014684096,0.00012917518324684352
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,16,1598127360,0.00008201599121093750
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,32,1738633088,0.00007538795762229711
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,64,1344146304,0.00009751319885253906
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,128,496079968,0.00026421545771881938
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,256,101919880,0.00128602981567382812
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,2,407830720,0.00032138824462890625
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,4,658547968,0.00019903182692360133
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,8,1009837952,0.00012979508028365672
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,16,1590728576,0.00008239746239269152
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,32,1747475584,0.00007500648644054309
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,64,1415437184,0.00009260177466785535
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,128,651523840,0.00020117759413551539
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,256,105123872,0.00124683382455259562
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,2,197462656,0.00132756237871944904
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,4,276259200,0.00094890594482421875
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,8,305691616,0.00085754395695403218
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,16,309442656,0.00084714888362213969
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,32,582060160,0.00045037269592285156
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,64,828569408,0.00031638145446777344
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,128,659021568,0.00039777756319381297
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,256,271591648,0.00096521375235170126
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,2,304236768,0.00086164474487304688
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,4,646847616,0.00040526391239836812
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,8,1040022400,0.00025205611018463969
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,16,1650918400,0.00015878677368164062
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,32,1803069312,0.00014538764662574977
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,64,1561806336,0.00016784667968750000
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,128,821634752,0.00031905173091217875
AVX-512 Merge Path Based Parallel Merge,8,131072,131072,256,259331024,0.00101084704510867596
AVX-512 Merge Path Based Parallel Merge,12,131072,131072,2,277220416,0.00094561575679108500
