Name,Entropy,A Size,B Size,Elements Per Second,Total Time
Serial Merge,4,8192,8192,30912946,0.00053000450134277344
Serial Merge Branchless,4,8192,8192,29787376,0.00055003166198730469
Bitonic Merge,4,8192,8192,69413616,0.00023603439331054688
AVX512 Merge,4,8192,8192,84421960,0.00019407272338867188
AVX512 Parallel Merge,4,8192,8192,-2147483648,0.00000000000000000000
Serial Merge,8,8192,8192,29800294,0.00054979324340820312
Serial Merge Branchless,8,8192,8192,28094634,0.00058317184448242188
Bitonic Merge,8,8192,8192,57893408,0.00028300285339355469
AVX512 Merge,8,8192,8192,96380752,0.00016999244689941406
AVX512 Parallel Merge,8,8192,8192,-2147483648,0.00000000000000000000
Serial Merge,12,8192,8192,27400110,0.00059795379638671875
Serial Merge Branchless,12,8192,8192,29317182,0.00055885314941406250
Bitonic Merge,12,8192,8192,57313992,0.00028586387634277344
AVX512 Merge,12,8192,8192,92117264,0.00017786026000976562
AVX512 Parallel Merge,12,8192,8192,-2147483648,0.00000000000000000000
Serial Merge,16,8192,8192,27675988,0.00059199333190917969
Serial Merge Branchless,16,8192,8192,28291262,0.00057911872863769531
Bitonic Merge,16,8192,8192,58089160,0.00028204917907714844
AVX512 Merge,16,8192,8192,78357440,0.00020909309387207031
AVX512 Parallel Merge,16,8192,8192,-2147483648,0.00000000000000000000
Serial Merge,20,8192,8192,29304680,0.00055909156799316406
Serial Merge Branchless,20,8192,8192,29569482,0.00055408477783203125
Bitonic Merge,20,8192,8192,53188448,0.00030803680419921875
AVX512 Merge,20,8192,8192,96924512,0.00016903877258300781
AVX512 Parallel Merge,20,8192,8192,-2147483648,0.00000000000000000000
Serial Merge,24,8192,8192,29518676,0.00055503845214843750
Serial Merge Branchless,24,8192,8192,27866778,0.00058794021606445312
Bitonic Merge,24,8192,8192,53561556,0.00030589103698730469
AVX512 Merge,24,8192,8192,96924512,0.00016903877258300781
AVX512 Parallel Merge,24,8192,8192,-2147483648,0.00000000000000000000
Serial Merge,28,8192,8192,29582212,0.00055384635925292969
Serial Merge Branchless,28,8192,8192,29735818,0.00055098533630371094
Bitonic Merge,28,8192,8192,57893408,0.00028300285339355469
AVX512 Merge,28,8192,8192,97474432,0.00016808509826660156
AVX512 Parallel Merge,28,8192,8192,-2147483648,0.00000000000000000000
Serial Merge,4,131072,131072,30135164,0.00869894027709960938
Serial Merge Branchless,4,131072,131072,30514018,0.00859093666076660156
Bitonic Merge,4,131072,131072,65835076,0.00398182868957519531
AVX512 Merge,4,131072,131072,52701512,0.00497412681579589844
AVX512 Parallel Merge,4,131072,131072,-2147483648,0.00000000000000000000
Serial Merge,8,131072,131072,28376690,0.00923800468444824219
Serial Merge Branchless,8,131072,131072,28621190,0.00915908813476562500
Bitonic Merge,8,131072,131072,61363524,0.00427198410034179688
AVX512 Merge,8,131072,131072,54030056,0.00485181808471679688
AVX512 Parallel Merge,8,131072,131072,-2147483648,0.00000000000000000000
Serial Merge,12,131072,131072,28063800,0.00934100151062011719
Serial Merge Branchless,12,131072,131072,28373762,0.00923895835876464844
Bitonic Merge,12,131072,131072,60416048,0.00433897972106933594
AVX512 Merge,12,131072,131072,50132756,0.00522899627685546875
AVX512 Parallel Merge,12,131072,131072,-2147483648,0.00000000000000000000
Serial Merge,16,131072,131072,28425844,0.00922203063964843750
Serial Merge Branchless,16,131072,131072,28618210,0.00916004180908203125
Bitonic Merge,16,131072,131072,55502860,0.00472307205200195312
AVX512 Merge,16,131072,131072,51102048,0.00512981414794921875
AVX512 Parallel Merge,16,131072,131072,-2147483648,0.00000000000000000000
Serial Merge,20,131072,131072,28075982,0.00933694839477539062
Serial Merge Branchless,20,131072,131072,28444228,0.00921607017517089844
Bitonic Merge,20,131072,131072,55444084,0.00472807884216308594
AVX512 Merge,20,131072,131072,49442920,0.00530195236206054688
AVX512 Parallel Merge,20,131072,131072,-2147483648,0.00000000000000000000
Serial Merge,24,131072,131072,28081720,0.00933504104614257812
Serial Merge Branchless,24,131072,131072,28484758,0.00920295715332031250
Bitonic Merge,24,131072,131072,55315772,0.0047390460968
