Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
Traditional,28,512,512,32,846966,0.00120902061462402344
Bitonic,28,512,512,32,2207074,0.00046396255493164062
AVX-512-BA,28,512,512,32,2370291,0.00043201446533203125
Traditional,28,8192,8192,32,260301048,0.00006294250488281250
Bitonic,28,8192,8192,32,1090785345,0.00001502037048339844
AVX-512-BA,28,8192,8192,32,608136962,0.00002694129943847656
Traditional,28,131072,131072,32,1323118685,0.00019812583923339844
Bitonic,28,131072,131072,32,6247225157,0.00004196166992187500
AVX-512-BA,28,131072,131072,32,7281533958,0.00003600120544433594
Traditional,28,524288,524288,32,1664035759,0.00063014030456542969
Bitonic,28,524288,524288,32,8377231449,0.00012516975402832031
AVX-512-BA,28,524288,524288,32,6766225401,0.00015497207641601562
Traditional,28,1048576,1048576,32,2302039524,0.00091099739074707031
Bitonic,28,1048576,1048576,32,10967697035,0.00019121170043945312
AVX-512-BA,28,1048576,1048576,32,7974699022,0.00026297569274902344
Traditional,28,2097152,2097152,32,3165200799,0.00132513046264648438
Bitonic,28,2097152,2097152,32,12906959680,0.00032496452331542969
AVX-512-BA,28,2097152,2097152,32,7360747298,0.00056982040405273438
Traditional,28,4194304,4194304,32,1169459951,0.00717306137084960938
Bitonic,28,4194304,4194304,32,13797792976,0.00060796737670898438
AVX-512-BA,28,4194304,4194304,32,6433419654,0.00130391120910644531
Traditional,28,8388608,8388608,32,6512609363,0.00257611274719238281
Bitonic,28,8388608,8388608,32,13314804953,0.00126004219055175781
AVX-512-BA,28,8388608,8388608,32,6350396550,0.00264191627502441406
Traditional,28,16777216,16777216,32,6849206168,0.00489902496337890625
Bitonic,28,16777216,16777216,32,11286085674,0.00297307968139648438
AVX-512-BA,28,16777216,16777216,32,5231487932,0.00641393661499023438
Traditional,28,33554432,33554432,32,1688188090,0.03975200653076171875
Bitonic,28,33554432,33554432,32,13963437677,0.00480604171752929688
AVX-512-BA,28,33554432,33554432,32,5176170520,0.01296496391296386719
Traditional,28,67108864,67108864,32,3211956349,0.04178690910339355469
Bitonic,28,67108864,67108864,32,12719733232,0.01055192947387695312
AVX-512-BA,28,67108864,67108864,32,5073403749,0.02645516395568847656
