Name,Entropy,A Size,B Size,Elements Per Second,Total Time
Serial Merge,24,500000,500000,96899712,0.01031994819641113281
Serial Merge Branchless,24,500000,500000,90008840,0.01111001987010240555
Bitonic Merge,24,500000,500000,105241464,0.00950195826590061188
AVX512 Merge,24,500000,500000,288460640,0.00346667761914432049
Serial Merge,28,500000,500000,96781880,0.01033251266926527023
Serial Merge Branchless,28,500000,500000,90090040,0.01110000628978013992
Bitonic Merge,28,500000,500000,105236184,0.00950243510305881500
AVX512 Merge,28,500000,500000,288415008,0.00346722593531012535
Serial Merge,4,5000000,5000000,103525184,0.09659485518932342529
Serial Merge Branchless,4,5000000,5000000,96028760,0.10413546860218048096
Bitonic Merge,4,5000000,5000000,128059632,0.07808861881494522095
AVX512 Merge,4,5000000,5000000,294563680,0.03394851833581924438
Serial Merge,8,5000000,5000000,97752416,0.10229925811290740967
Serial Merge Branchless,8,5000000,5000000,90914600,0.10999333858489990234
Bitonic Merge,8,5000000,5000000,120920672,0.08269884437322616577
AVX512 Merge,8,5000000,5000000,293856832,0.03403017669916152954
Serial Merge,12,5000000,5000000,97390408,0.10267951339483261108
Serial Merge Branchless,12,5000000,5000000,90534576,0.11045503616333007812
Bitonic Merge,12,5000000,5000000,120330584,0.08310439437627792358
AVX512 Merge,12,5000000,5000000,292567552,0.03418014198541641235
Serial Merge,16,5000000,5000000,97328640,0.10274467617273330688
Serial Merge Branchless,16,5000000,5000000,90559192,0.11042501777410507202
Bitonic Merge,16,5000000,5000000,119084776,0.08397378772497177124
AVX512 Merge,16,5000000,5000000,293367040,0.03408699110150337219
Serial Merge,20,5000000,5000000,97304712,0.10276994854211807251
Serial Merge Branchless,20,5000000,5000000,90506368,0.11048946529626846313
Bitonic Merge,20,5000000,5000000,107412624,0.09309892356395721436
AVX512 Merge,20,5000000,5000000,292872160,0.03414459154009819031
Serial Merge,24,5000000,5000000,97381184,0.10268924385309219360
Serial Merge Branchless,24,5000000,5000000,90521600,0.11047086864709854126
Bitonic Merge,24,5000000,5000000,105911792,0.09441819041967391968
AVX512 Merge,24,5000000,5000000,294567808,0.03394804149866104126
Serial Merge,28,5000000,5000000,97357336,0.10271439701318740845
Serial Merge Branchless,28,5000000,5000000,90526960,0.11046433448791503906
Bitonic Merge,28,5000000,5000000,105946328,0.09438741207122802734
AVX512 Merge,28,5000000,5000000,293832544,0.03403298929333686829
Serial Merge,4,50000000,50000000,103596008,0.96528816223144531250
Serial Merge Branchless,4,50000000,50000000,96149592,1.04004597663879394531
Bitonic Merge,4,50000000,50000000,128119616,0.78052061796188354492
AVX512 Merge,4,50000000,50000000,292169088,0.34226754307746887207
Serial Merge,8,50000000,50000000,97675544,1.02379775047302246094
Serial Merge Branchless,8,50000000,50000000,90899344,1.10011792182922363281
Bitonic Merge,8,50000000,50000000,121019912,0.82631027698516845703
AVX512 Merge,8,50000000,50000000,290474752,0.34426400065422058105
Serial Merge,12,50000000,50000000,97374640,1.02696144580841064453
Serial Merge Branchless,12,50000000,50000000,90592120,1.10384881496429443359
Bitonic Merge,12,50000000,50000000,120636256,0.82893818616867065430
AVX512 Merge,12,50000000,50000000,288258784,0.34691050648689270020
Serial Merge,16,50000000,50000000,97277480,1.02798712253570556641
Serial Merge Branchless,16,50000000,50000000,90528400,1.10462570190429687500
Bitonic Merge,16,50000000,50000000,120303248,0.83123272657394409180
AVX512 Merge,16,50000000,50000000,282580192,0.35388183593750000000
Serial Merge,20,50000000,50000000,97320992,1.02752757072448730469
Serial Merge Branchless,20,50000000,50000000,90542040,1.10445928573608398438
Bitonic Merge,20,50000000,50000000,118570296,0.84338152408599853516
AVX512 Merge,20,50000000,50000000,286601728,0.34891626238822937012
Serial Merge,24,50000000,50000000,97346736,1.02725577354431152344
Serial Merge Branchless,24,50000000,50000000,90515280,1.10478579998016357422
Bitonic Merge,24,50000000,50000000,103495168,0.96622866392135620117
AVX512 Merge,24,50000000,50000000,285529088,0.35022699832916259766
Serial Merge,28,50000000,50000000,97346008,1.02726352214813232422
Serial Merge Branchless,28,50000000,50000000,90543512,1.10444140434265136719
Bitonic Merge,28,50000000,50000000,105953088,0.94381392002105712891
AVX512 Merge,28,50000000,50000000,286188128,0.34942048788070678711
