Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
Traditional,28,500,500,32,709216,0.00141000747680664062
Bitonic,28,500,500,32,1175204,0.00085091590881347656
AVX-512-BA,28,500,500,32,19691568,0.00005078315734863281
Traditional,28,5000,5000,32,207638811,0.00004816055297851562
Bitonic,28,5000,5000,32,710898983,0.00001406669616699219
AVX-512-BA,28,5000,5000,32,335544320,0.00002980232238769531
Traditional,28,50000,50000,32,847334141,0.00011801719665527344
Bitonic,28,50000,50000,32,4369066666,0.00002288818359375000
AVX-512-BA,28,50000,50000,32,4559026086,0.00002193450927734375
Traditional,28,500000,500000,32,1533566361,0.00065207481384277344
Bitonic,28,500000,500000,32,5915802538,0.00016903877258300781
AVX-512-BA,28,500000,500000,32,11618570637,0.00008606910705566406
Traditional,28,5000000,5000000,32,4200184257,0.00238084793090820312
Bitonic,28,5000000,5000000,32,8969854576,0.00111484527587890625
AVX-512-BA,28,5000000,5000000,32,7918263167,0.00126290321350097656
Traditional,28,50000000,50000000,32,5955956945,0.01678991317749023438
Bitonic,28,50000000,50000000,32,9688851928,0.01032114028930664062
AVX-512-BA,28,50000000,50000000,32,6771012995,0.01476883888244628906
Traditional,28,500000000,500000000,32,6521410724,0.15334105491638183594
Bitonic,28,500000000,500000000,32,8416297619,0.11881709098815917969
AVX-512-BA,28,500000000,500000000,32,5633583069,0.17750692367553710938
