Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,64,713227584,0.00018377303786110133
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,128,501693536,0.00026125909062102437
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,256,95813000,0.00136799807660281658
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,2,411925536,0.00031819342984817922
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,4,692911296,0.00018916130647994578
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,8,943948800,0.00013885498628951609
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,16,1422027392,0.00009217262413585559
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,32,1291719424,0.00010147094872081652
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,64,1124244992,0.00011658668518066406
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,128,545284480,0.00024037361436057836
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,256,99521328,0.00131702423095703125
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,2,409898464,0.00031976698664948344
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,4,557674816,0.00023503303236793727
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,8,1022991808,0.00012812615022994578
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,16,1617880576,0.00008101463026832789
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,32,1741938560,0.00007524490501964465
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,64,609620544,0.00021500587172340602
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,128,639548416,0.00020494460477493703
AVX-512 Merge Path Based Parallel Merge,12,65536,65536,256,102627656,0.00127716059796512127
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,2,311511680,0.00042076112003996968
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,4,709362368,0.00018477439880371094
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,8,965161216,0.00013580321683548391
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,16,1601852544,0.00008182525925803930
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,32,1392492032,0.00009412765211891383
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,64,500962080,0.00026164055452682078
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,128,659495936,0.00019874572171829641
AVX-512 Merge Path Based Parallel Merge,16,65536,65536,256,101151024,0.00129580497741699219
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,2,388959808,0.00033698082552291453
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,4,806803328,0.00016245842562057078
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,8,958096576,0.00013680457777809352
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,16,1563583104,0.00008382797386730090
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,32,1743043200,0.00007519721839344129
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,64,1417627264,0.00009245872206520289
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,128,658705792,0.00019898414029739797
AVX-512 Merge Path Based Parallel Merge,20,65536,65536,256,100485432,0.00130438804626464844
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,2,381404064,0.00034365654573775828
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,4,773650176,0.00016942023648880422
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,8,877083328,0.00014944076247047633
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,16,1608413824,0.00008149146742653102
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,32,1736436480,0.00007548332359874621
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,64,1373702656,0.00009541511826682836
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,128,662675776,0.00019779204740189016
AVX-512 Merge Path Based Parallel Merge,24,65536,65536,256,100573672,0.00130324368365108967
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,2,369062720,0.00035514830960892141
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,4,753090176,0.00017404556274414062
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,8,1048352000,0.00012502670870162547
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,16,1523713536,0.00008602142042946070
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,32,1755286656,0.00007467270188499242
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,64,1370962176,0.00009560585021972656
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,128,652761600,0.00020079613022971898
AVX-512 Merge Path Based Parallel Merge,28,65536,65536,256,101719984,0.00128855707589536905
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,2,226694064,0.00115637783892452717
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,4,264420080,0.00099139218218624592
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,8,303330272,0.00086421967716887593
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,16,308799520,0.00084891321603208780
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,32,585344768,0.00044784546480514109
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,64,821266496,0.00031919480534270406
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,128,683350912,0.00038361549377441406
AVX-512 Merge Path Based Parallel Merge,4,131072,131072,256,301170048,0.00087041856022551656
