Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 6, 374491, 0.00026702880859375000
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 565270, 0.00017690658569335938
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 575350, 0.00017380714416503906
Parallel Merge Sort using Serial Merge, 28, 100, 8, 403298, 0.00024795532226562500
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 571431, 0.00017499923706054688
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 577727, 0.00017309188842773438
Parallel Merge Sort using Serial Merge, 28, 100, 16, 179550, 0.00055694580078125000
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 16, 220752, 0.00045299530029296875
Parallel Merge Sort using Bitonic Merge, 28, 100, 16, 220752, 0.00045299530029296875
