Name,Entropy,C Size,Number of Threads,Elements Per Second,Total Time
Merge Sort Standard,4,65536,2,5937272,0.01103806495666503906
SSE Bitonic Based Merge Sort,4,65536,2,6275006,0.01044397335499525070
AVX-512 Merge Path Based Sort,4,65536,2,6284992,0.01042737998068332672
AVX-512 Hybrid Merge Sort,4,65536,2,26305114,0.00249137869104743004
Merge Sort Standard,4,65536,4,11919498,0.00549821835011243820
SSE Bitonic Based Merge Sort,4,65536,4,12564354,0.00521602621302008629
AVX-512 Merge Path Based Sort,4,65536,4,12447715,0.00526490202173590660
AVX-512 Hybrid Merge Sort,4,65536,4,53887064,0.00121617317199707031
Merge Sort Standard,4,65536,8,23305798,0.00281200418248772621
SSE Bitonic Based Merge Sort,4,65536,8,24175292,0.00271086697466671467
AVX-512 Merge Path Based Sort,4,65536,8,22927510,0.00285840034484863281
AVX-512 Hybrid Merge Sort,4,65536,8,86049936,0.00076160428579896688
Merge Sort Standard,4,65536,16,45259312,0.00144801137503236532
SSE Bitonic Based Merge Sort,4,65536,16,46344400,0.00141410832293331623
AVX-512 Merge Path Based Sort,4,65536,16,40285776,0.00162677769549190998
AVX-512 Hybrid Merge Sort,4,65536,16,137797216,0.00047559739323332906
Merge Sort Standard,4,65536,32,72657512,0.00090198515681549907
SSE Bitonic Based Merge Sort,4,65536,32,74115048,0.00088424683781340718
AVX-512 Merge Path Based Sort,4,65536,32,61834236,0.00105986592825502157
AVX-512 Hybrid Merge Sort,4,65536,32,152270064,0.00043039320735260844
Merge Sort Standard,4,65536,64,96719880,0.00067758560180664062
SSE Bitonic Based Merge Sort,4,65536,64,105389888,0.00062184332637116313
AVX-512 Merge Path Based Sort,4,65536,64,87736328,0.00074696540832519531
AVX-512 Hybrid Merge Sort,4,65536,64,152642096,0.00042934418888762593
Merge Sort Standard,4,65536,128,64008456,0.00102386472281068563
SSE Bitonic Based Merge Sort,4,65536,128,67867736,0.00096564291743561625
