Name,Entropy,C Size,Elements Per Second,Total Time
Quick Sort,4,262144,172629,1.51853132247924804688
Merge Sort Standard,4,262144,262270,0.99951767921447753906
Branch Avoiding Sort,4,262144,249721,1.04974460601806640625
Bitonic Based Merge Sort,4,262144,300028,0.87372922897338867188
AVX-512 Merge Path Based Sort,4,262144,297580,0.88091850280761718750
AVX-512 Hybrid Merge Sort,4,262144,1033622,0.25361680984497070312
Quick Sort,8,262144,160138,1.63697934150695800781
Merge Sort Standard,8,262144,252974,1.03624868392944335938
Branch Avoiding Sort,8,262144,241259,1.08656311035156250000
Bitonic Based Merge Sort,8,262144,284488,0.92145848274230957031
AVX-512 Merge Path Based Sort,8,262144,291522,0.89922428131103515625
AVX-512 Hybrid Merge Sort,8,262144,1001581,0.26173019409179687500
Quick Sort,12,262144,154990,1.69135379791259765625
Merge Sort Standard,12,262144,252717,1.03730154037475585938
Branch Avoiding Sort,12,262144,241134,1.08712768554687500000
Bitonic Based Merge Sort,12,262144,280397,0.93490290641784667969
AVX-512 Merge Path Based Sort,12,262144,290794,0.90147638320922851562
AVX-512 Hybrid Merge Sort,12,262144,960140,0.27302670478820800781
Quick Sort,16,262144,151306,1.73253655433654785156
Merge Sort Standard,16,262144,252708,1.03733658790588378906
Branch Avoiding Sort,16,262144,241140,1.08709883689880371094
Bitonic Based Merge Sort,16,262144,278882,0.93997931480407714844
AVX-512 Merge Path Based Sort,16,262144,290782,0.90151309967041015625
AVX-512 Hybrid Merge Sort,16,262144,943333,0.27789115905761718750
Quick Sort,20,262144,150862,1.73763728141784667969
Merge Sort Standard,20,262144,252747,1.03717875480651855469
Branch Avoiding Sort,20,262144,241101,1.08727669715881347656
Bitonic Based Merge Sort,20,262144,279224,0.93882870674133300781
AVX-512 Merge Path Based Sort,20,262144,290766,0.90156245231628417969
AVX-512 Hybrid Merge Sort,20,262144,946102,0.27707791328430175781
Quick Sort,24,262144,150884,1.73737788200378417969
Merge Sort Standard,24,262144,252782,1.03703546524047851562
Branch Avoiding Sort,24,262144,241166,1.08698153495788574219
Bitonic Based Merge Sort,24,262144,279274,0.93865919113159179688
AVX-512 Merge Path Based Sort,24,262144,290684,0.90181732177734375000
AVX-512 Hybrid Merge Sort,24,262144,945903,0.27713608741760253906
