Name,Entropy,C Size,Number of Threads,Elements Per Second,Total Time
Standard,28,1024,2,3414123,0.00029993057250976562
Bitonic,28,1024,2,88974,0.01150894165039062500
AVX-512 Optimized,28,1024,2,22253716,0.00004601478576660156
Standard,28,1024,4,22724694,0.00004506111145019531
Bitonic,28,1024,4,38008560,0.00002694129943847656
AVX-512 Optimized,28,1024,4,20951059,0.00004887580871582031
Standard,28,1024,8,23342213,0.00004386901855468750
Bitonic,28,1024,8,33038209,0.00003099441528320312
AVX-512 Optimized,28,1024,8,18276456,0.00005602836608886719
Standard,28,1024,16,23860929,0.00004291534423828125
Bitonic,28,1024,16,29217464,0.00003504753112792969
AVX-512 Optimized,28,1024,16,21262214,0.00004816055297851562
Standard,28,1024,32,17111423,0.00005984306335449219
Bitonic,28,1024,32,18592932,0.00005507469177246094
AVX-512 Optimized,28,1024,32,13990121,0.00007319450378417969
Standard,28,16384,2,28537988,0.00057411193847656250
Bitonic,28,16384,2,36321076,0.00045108795166015625
AVX-512 Optimized,28,16384,2,107879869,0.00015187263488769531
Standard,28,16384,4,46027780,0.00035595893859863281
Bitonic,28,16384,4,55733557,0.00029397010803222656
AVX-512 Optimized,28,16384,4,129171948,0.00012683868408203125
Standard,28,16384,8,77649126,0.00021100044250488281
Bitonic,28,16384,8,94654926,0.00017309188842773438
AVX-512 Optimized,28,16384,8,145284305,0.00011277198791503906
Standard,28,16384,16,135274560,0.00012111663818359375
Bitonic,28,16384,16,150370846,0.00010895729064941406
AVX-512 Optimized,28,16384,16,178029732,0.00009202957153320312
Standard,28,16384,32,139958201,0.00011706352233886719
Bitonic,28,16384,32,156180628,0.00010490417480468750
AVX-512 Optimized,28,16384,32,142276349,0.00011515617370605469
Standard,28,262144,2,25811949,0.01015591621398925781
Bitonic,28,262144,2,35454392,0.00739383697509765625
AVX-512 Optimized,28,262144,2,54061934,0.00484895706176757812
Standard,28,262144,4,45409970,0.00577282905578613281
Bitonic,28,262144,4,61206392,0.00428295135498046875
AVX-512 Optimized,28,262144,4,121038268,0.00216579437255859375
Standard,28,262144,8,93591388,0.00280094146728515625
Bitonic,28,262144,8,124590552,0.00210404396057128906
AVX-512 Optimized,28,262144,8,195921530,0.00133800506591796875
Standard,28,262144,16,193337722,0.00135588645935058594
Bitonic,28,262144,16,235340673,0.00111389160156250000
AVX-512 Optimized,28,262144,16,483727068,0.00054192543029785156
Standard,28,262144,32,187119065,0.00140094757080078125
Bitonic,28,262144,32,232209425,0.00112891197204589844
AVX-512 Optimized,28,262144,32,387151981,0.00067710876464843750
Standard,28,1048576,2,26063887,0.04023098945617675781
Bitonic,28,1048576,2,36604631,0.02864599227905273438
AVX-512 Optimized,28,1048576,2,44590010,0.02351593971252441406
Standard,28,1048576,4,50123044,0.02092003822326660156
Bitonic,28,1048576,4,66626973,0.01573801040649414062
AVX-512 Optimized,28,1048576,4,94295716,0.01112008094787597656
Standard,28,1048576,8,89171884,0.01175904273986816406
Bitonic,28,1048576,8,122655172,0.00854897499084472656
AVX-512 Optimized,28,1048576,8,158511010,0.00661516189575195312
Standard,28,1048576,16,192046046,0.00546002388000488281
Bitonic,28,1048576,16,246430577,0.00425505638122558594
AVX-512 Optimized,28,1048576,16,397186535,0.00264000892639160156
Standard,28,1048576,32,239884722,0.00437116622924804688
Bitonic,28,1048576,32,303501933,0.00345492362976074219
AVX-512 Optimized,28,1048576,32,360466069,0.00290894508361816406
Standard,28,8388608,2,21528236,0.38965606689453125000
Bitonic,28,8388608,2,29419576,0.28513693809509277344
AVX-512 Optimized,28,8388608,2,33143214,0.25310182571411132812
Standard,28,8388608,4,43817136,0.19144582748413085938
Bitonic,28,8388608,4,63189642,0.13275289535522460938
AVX-512 Optimized,28,8388608,4,68395134,0.12264919281005859375
Standard,28,8388608,8,81902404,0.10242199897766113281
Bitonic,28,8388608,8,107527098,0.07801389694213867188
AVX-512 Optimized,28,8388608,8,113981845,0.07359600067138671875
Standard,28,8388608,16,165325333,0.05074000358581542969
Bitonic,28,8388608,16,236092359,0.03553104400634765625
AVX-512 Optimized,28,8388608,16,229504207,0.03655099868774414062
Standard,28,8388608,32,225028762,0.03727793693542480469
Bitonic,28,8388608,32,267366577,0.03137493133544921875
AVX-512 Optimized,28,8388608,32,262536634,0.03195214271545410156
Standard,28,16777216,2,21169402,0.79252195358276367188
Bitonic,28,16777216,2,30256249,0.55450415611267089844
AVX-512 Optimized,28,16777216,2,30980108,0.54154801368713378906
Standard,28,16777216,4,42515384,0.39461517333984375000
Bitonic,28,16777216,4,58322664,0.28766202926635742188
AVX-512 Optimized,28,16777216,4,60480850,0.27739715576171875000
Standard,28,16777216,8,78920843,0.21258282661437988281
Bitonic,28,16777216,8,112728150,0.14882898330688476562
AVX-512 Optimized,28,16777216,8,103171959,0.16261410713195800781
Standard,28,16777216,16,160285234,0.10467100143432617188
Bitonic,28,16777216,16,202120752,0.08300590515136718750
AVX-512 Optimized,28,16777216,16,184128466,0.09111690521240234375
Standard,28,16777216,32,227188692,0.07384705543518066406
Bitonic,28,16777216,32,275275766,0.06094694137573242188
AVX-512 Optimized,28,16777216,32,233786310,0.07176303863525390625
