Name,Entropy,C Size,Elements Per Second,Total Time
Merge Sort Standard,4,65536,2810325,0.02331972122192382812
SSE Bitonic Based Merge Sort,4,65536,3167876,0.02068767510354518890
AVX-512 Merge Path Based Sort,4,65536,3182967,0.02058959007263183594
AVX-512 Hybrid Merge Sort,4,65536,13533183,0.00484261522069573402
Intel IPP Sort,4,65536,18527514,0.00353722576983273029
Quick Sort,4,65536,1908824,0.03433318063616752625
Merge Sort Standard,8,65536,2716931,0.02412133291363716125
SSE Bitonic Based Merge Sort,8,65536,3001014,0.02183794975280761719
AVX-512 Merge Path Based Sort,8,65536,3125758,0.02096643485128879547
AVX-512 Hybrid Merge Sort,8,65536,12799188,0.00512032490223646164
Intel IPP Sort,8,65536,8567392,0.00764946918934583664
Quick Sort,8,65536,1771115,0.03700266033411026001
Merge Sort Standard,12,65536,2717721,0.02411432191729545593
SSE Bitonic Based Merge Sort,12,65536,2966285,0.02209362946450710297
AVX-512 Merge Path Based Sort,12,65536,3126369,0.02096233330667018890
AVX-512 Hybrid Merge Sort,12,65536,12219620,0.00536317843943834305
Intel IPP Sort,12,65536,5550779,0.01180663146078586578
Quick Sort,12,65536,1710937,0.03830413892865180969
Merge Sort Standard,16,65536,2715980,0.02412977255880832672
SSE Bitonic Based Merge Sort,16,65536,2957533,0.02215900458395481110
AVX-512 Merge Path Based Sort,16,65536,3124805,0.02097282372415065765
AVX-512 Hybrid Merge Sort,16,65536,12203237,0.00537037849426269531
Intel IPP Sort,16,65536,4147059,0.01580300368368625641
Quick Sort,16,65536,1686593,0.03885703161358833313
Merge Sort Standard,20,65536,2716587,0.02412438392639160156
SSE Bitonic Based Merge Sort,20,65536,2962212,0.02212400361895561218
AVX-512 Merge Path Based Sort,20,65536,3112020,0.02105898782610893250
AVX-512 Hybrid Merge Sort,20,65536,12199662,0.00537195196375250816
Intel IPP Sort,20,65536,4082680,0.01605219766497612000
Quick Sort,20,65536,1685916,0.03887262195348739624
Merge Sort Standard,24,65536,2710741,0.02417640760540962219
SSE Bitonic Based Merge Sort,24,65536,2960336,0.02213802374899387360
AVX-512 Merge Path Based Sort,24,65536,3119097,0.02101120911538600922
AVX-512 Hybrid Merge Sort,24,65536,12178150,0.00538144120946526527
Intel IPP Sort,24,65536,4081080,0.01605849340558052063
Quick Sort,24,65536,1683389,0.03893098980188369751
Merge Sort Standard,28,65536,2708856,0.02419323846697807312
SSE Bitonic Based Merge Sort,28,65536,2956973,0.02216320112347602844
AVX-512 Merge Path Based Sort,28,65536,3116847,0.02102637290954589844
AVX-512 Hybrid Merge Sort,28,65536,12112147,0.00541076669469475746
Intel IPP Sort,28,65536,4076892,0.01607499085366725922
Quick Sort,28,65536,1680935,0.03898782655596733093
Merge Sort Standard,4,131072,2702350,0.04850297048687934875
SSE Bitonic Based Merge Sort,4,131072,3069505,0.04270134121179580688
AVX-512 Merge Path Based Sort,4,131072,3056063,0.04288916662335395813
AVX-512 Hybrid Merge Sort,4,131072,11501408,0.01139616966247558594
Intel IPP Sort,4,131072,18267590,0.00717511167749762535
Quick Sort,4,131072,1814782,0.07222461700439453125
Merge Sort Standard,8,131072,2609975,0.05021963268518447876
SSE Bitonic Based Merge Sort,8,131072,2906291,0.04509939998388290405
AVX-512 Merge Path Based Sort,8,131072,3002135,0.04365959018468856812
AVX-512 Hybrid Merge Sort,8,131072,11039495,0.01187300682067871094
Intel IPP Sort,8,131072,8550442,0.01532926596701145172
Quick Sort,8,131072,1679656,0.07803501933813095093
Merge Sort Standard,12,131072,2606448,0.05028758198022842407
SSE Bitonic Based Merge Sort,12,131072,2871051,0.04565296322107315063
AVX-512 Merge Path Based Sort,12,131072,2993836,0.04378061369061470032
AVX-512 Hybrid Merge Sort,12,131072,10561828,0.01240997295826673508
Intel IPP Sort,12,131072,5594955,0.02342681959271430969
Quick Sort,12,131072,1623051,0.08075652271509170532
Merge Sort Standard,16,131072,2606634,0.05028400570154190063
SSE Bitonic Based Merge Sort,16,131072,2866261,0.04572925716638565063
AVX-512 Merge Path Based Sort,16,131072,2992008,0.04380736500024795532
AVX-512 Hybrid Merge Sort,16,131072,10450201,0.01254253368824720383
Intel IPP Sort,16,131072,3969998,0.03301563113927841187
Quick Sort,16,131072,1592474,0.08230714499950408936
Merge Sort Standard,20,131072,2608098,0.05025577545166015625
SSE Bitonic Based Merge Sort,20,131072,2868663,0.04569096490740776062
AVX-512 Merge Path Based Sort,20,131072,2998042,0.04371919482946395874
AVX-512 Hybrid Merge Sort,20,131072,10470781,0.01251788157969713211
Intel IPP Sort,20,131072,3851524,0.03403120115399360657
Quick Sort,20,131072,1592648,0.08229813724756240845
