Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,2,225958000,0.00029003620147705078
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,4,258416768,0.00025360583094879985
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,8,307538496,0.00021309852309059352
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,16,294396384,0.00022261143021751195
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,32,475649600,0.00013778210268355906
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,64,507716832,0.00012907982454635203
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,128,302462496,0.00021667480177711695
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,256,53916656,0.00121550564654171467
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,2,421915424,0.00015532970428466797
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,4,630598528,0.00010392665717517957
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,8,800926272,0.00008182525925803930
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,16,1174190080,0.00005581379082286730
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,32,1088625408,0.00006020069122314453
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,64,451063168,0.00014529228792525828
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,128,322286208,0.00020334721193648875
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,256,52358696,0.00125167367514222860
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,2,345758368,0.00018954277038574219
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,4,582615360,0.00011248588270973414
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,8,1022991808,0.00006406307511497289
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,16,1279692288,0.00005121231151861139
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,32,1173187840,0.00005586147381109186
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,64,843701376,0.00007767677016090602
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,128,391563968,0.00016736984252929688
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,256,56208804,0.00116593833081424236
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,2,404291648,0.00016210079775191844
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,4,570404480,0.00011489391181385145
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,8,1021850944,0.00006413459777832031
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,16,1229878784,0.00005328655242919922
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,32,1236517760,0.00005300045086187311
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,64,641039936,0.00010223388380836695
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,128,328604800,0.00019943714141845703
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,256,54671608,0.00119872088544070721
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,2,393920768,0.00016636848158668727
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,4,581014400,0.00011279583122814074
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,8,990551040,0.00006616115570068359
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,16,1258598528,0.00005207061622058973
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,32,1223855232,0.00005354881432140246
