Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
Standard,4,50000,50000,2,20814372,0.00480437278747558594
Bitonic,4,50000,50000,2,26359376,0.00379371643066406250
Standard,4,50000,50000,4,47479104,0.00210618972778320312
Bitonic,4,50000,50000,4,57503484,0.00173902511596679688
Standard,4,50000,50000,8,115006968,0.00086951255798339844
Bitonic,4,50000,50000,8,135474928,0.00073814392089843750
Standard,4,50000,50000,16,109597704,0.00091242790222167969
Bitonic,4,50000,50000,16,126639616,0.00078964233398437500
Standard,4,50000,50000,32,127215768,0.00078606605529785156
Bitonic,4,50000,50000,32,139022336,0.00071930885314941406
Standard,4,50000,50000,64,56269172,0.00177717208862304688
Bitonic,4,50000,50000,64,109942440,0.00090956687927246094
Standard,4,50000,50000,128,46717576,0.00214052200317382812
Bitonic,4,50000,50000,128,54113068,0.00184798240661621094
Standard,4,50000,50000,256,7705443,0.01297783851623535156
Bitonic,4,50000,50000,256,8823612,0.01133322715759277344
Standard,8,50000,50000,2,18917120,0.00528621673583984375
Bitonic,8,50000,50000,2,23459388,0.00426268577575683594
Standard,8,50000,50000,4,37506072,0.00266623497009277344
Bitonic,8,50000,50000,4,45338924,0.00220561027526855469
Standard,8,50000,50000,8,68012064,0.00147032737731933594
Bitonic,8,50000,50000,8,81521944,0.00122666358947753906
Standard,8,50000,50000,16,120422168,0.00083041191101074219
Bitonic,8,50000,50000,16,130419904,0.00076675415039062500
Standard,8,50000,50000,32,142955152,0.00069952011108398438
Bitonic,8,50000,50000,32,165521072,0.00060415267944335938
Standard,8,50000,50000,64,80135728,0.00124788284301757812
Bitonic,8,50000,50000,64,122069384,0.00081920623779296875
Standard,8,50000,50000,128,55443544,0.00180363655090332031
Bitonic,8,50000,50000,128,53587632,0.00186610221862792969
Standard,8,50000,50000,256,8111675,0.01232790946960449219
Bitonic,8,50000,50000,256,7968357,0.01254963874816894531
Standard,12,50000,50000,2,18628932,0.00536799430847167969
Bitonic,12,50000,50000,2,20991462,0.00476384162902832031
Standard,12,50000,50000,4,36104880,0.00276970863342285156
Bitonic,12,50000,50000,4,40760972,0.00245332717895507812
Standard,12,50000,50000,8,69928376,0.00143003463745117188
Bitonic,12,50000,50000,8,73147960,0.00136709213256835938
Standard,12,50000,50000,16,116540816,0.00085806846618652344
Bitonic,12,50000,50000,16,120768904,0.00082802772521972656
Standard,12,50000,50000,32,140512704,0.00071167945861816406
Bitonic,12,50000,50000,32,147065360,0.00067996978759765625
Standard,12,50000,50000,64,115070072,0.00086903572082519531
Bitonic,12,50000,50000,64,113543696,0.00088071823120117188
Standard,12,50000,50000,128,53553420,0.00186729431152343750
Bitonic,12,50000,50000,128,53526084,0.00186824798583984375
Standard,12,50000,50000,256,8171093,0.01223826408386230469
Bitonic,12,50000,50000,256,8331619,0.01200246810913085938
Standard,16,50000,50000,2,18845722,0.00530624389648437500
Bitonic,16,50000,50000,2,20312384,0.00492310523986816406
Standard,16,50000,50000,4,36695572,0.00272512435913085938
Bitonic,16,50000,50000,4,39460948,0.00253415107727050781
Standard,16,50000,50000,8,70303456,0.00142240524291992188
Bitonic,16,50000,50000,8,65443968,0.00152802467346191406
Standard,16,50000,50000,16,115928800,0.00086259841918945312
Bitonic,16,50000,50000,16,123434488,0.00081014633178710938
Standard,16,50000,50000,32,142955152,0.00069952011108398438
Bitonic,16,50000,50000,32,149957232,0.00066685676574707031
Standard,16,50000,50000,64,80986752,0.00123476982116699219
Bitonic,16,50000,50000,64,116121376,0.00086116790771484375
Standard,16,50000,50000,128,53065588,0.00188446044921875000
Bitonic,16,50000,50000,128,55319228,0.00180768966674804688
Standard,16,50000,50000,256,8466329,0.01181149482727050781
Bitonic,16,50000,50000,256,8331785,0.01200222969055175781
Standard,20,50000,50000,2,18464096,0.00541591644287109375
Bitonic,20,50000,50000,2,20238872,0.00494098663330078125
Standard,20,50000,50000,4,36724488,0.00272297859191894531
Bitonic,20,50000,50000,4,39115024,0.00255656242370605469
Standard,20,50000,50000,8,67836064,0.00147414207458496094
Bitonic,20,50000,50000,8,75668480,0.00132155418395996094
Standard,20,50000,50000,16,117192064,0.00085330009460449219
Bitonic,20,50000,50000,16,121292768,0.00082445144653320312
Standard,20,50000,50000,32,144830944,0.00069046020507812500
Bitonic,20,50000,50000,32,142469568,0.00070190429687500000
Standard,20,50000,50000,64,111225248,0.00089907646179199219
Bitonic,20,50000,50000,64,119871504,0.00083422660827636719
Standard,20,50000,50000,128,48022716,0.00208234786987304688
Bitonic,20,50000,50000,128,53451052,0.00187087059020996094
Standard,20,50000,50000,256,8447572,0.01183772087097167969
Bitonic,20,50000,50000,256,8003175,0.01249504089355468750
Standard,24,50000,50000,2,18609096,0.00537371635437011719
Bitonic,24,50000,50000,2,20079970,0.00498008728027343750
Standard,24,50000,50000,4,36682736,0.00272607803344726562
Bitonic,24,50000,50000,4,39368348,0.00254011154174804688
Standard,24,50000,50000,8,67660976,0.00147795677185058594
Bitonic,24,50000,50000,8,74143608,0.00134873390197753906
Standard,24,50000,50000,16,117159328,0.00085353851318359375
Bitonic,24,50000,50000,16,124644992,0.00080227851867675781
Standard,24,50000,50000,32,120595288,0.00082921981811523438
Bitonic,24,50000,50000,32,150982864,0.00066232681274414062
Standard,24,50000,50000,64,118349432,0.00084495544433593750
Bitonic,24,50000,50000,64,118483160,0.00084400177001953125
Standard,24,50000,50000,128,48416300,0.00206542015075683594
Bitonic,24,50000,50000,128,54471480,0.00183582305908203125
Standard,24,50000,50000,256,8065038,0.01239919662475585938
Bitonic,24,50000,50000,256,8115285,0.01232242584228515625
Standard,28,50000,50000,2,18906036,0.00528931617736816406
Bitonic,28,50000,50000,2,20701368,0.00483059883117675781
Standard,28,50000,50000,4,36475380,0.00274157524108886719
Bitonic,28,50000,50000,4,39711268,0.00251817703247070312
Standard,28,50000,50000,8,65917084,0.00151705741882324219
Bitonic,28,50000,50000,8,76052656,0.00131487846374511719
Standard,28,50000,50000,16,110405472,0.00090575218200683594
Bitonic,28,50000,50000,16,118349432,0.00084495544433593750
Standard,28,50000,50000,32,134562208,0.00074315071105957031
Bitonic,28,50000,50000,32,147582832,0.00067758560180664062
Standard,28,50000,50000,64,111432096,0.00089740753173828125
Bitonic,28,50000,50000,64,117356016,0.00085210800170898438
Standard,28,50000,50000,128,53512428,0.00186872482299804688
Bitonic,28,50000,50000,128,55805004,0.00179195404052734375
Standard,28,50000,50000,256,8424666,0.01186990737915039062
Bitonic,28,50000,50000,256,8169979,0.01223993301391601562
Standard,4,500000,500000,2,21477420,0.04656052589416503906
Bitonic,4,500000,500000,2,26464490,0.03778648376464843750
Standard,4,500000,500000,4,47772204,0.02093267440795898438
Bitonic,4,500000,500000,4,59271720,0.01687145233154296875
Standard,4,500000,500000,8,126098968,0.00793027877807617188
Bitonic,4,500000,500000,8,156270640,0.00639915466308593750
Standard,4,500000,500000,16,139119168,0.00718808174133300781
Bitonic,4,500000,500000,16,171286976,0.00583815574645996094
Standard,4,500000,500000,32,243049424,0.00411438941955566406
Bitonic,4,500000,500000,32,294812960,0.00339198112487792969
Standard,4,500000,500000,64,276359232,0.00361847877502441406
Bitonic,4,500000,500000,64,398508704,0.00250935554504394531
Standard,4,500000,500000,128,206707600,0.00483775138854980469
Bitonic,4,500000,500000,128,275941056,0.00362396240234375000
Standard,4,500000,500000,256,64904200,0.01540732383728027344
Bitonic,4,500000,500000,256,66517128,0.01503372192382812500
Standard,8,500000,500000,2,19141498,0.05224251747131347656
Bitonic,8,500000,500000,2,23734446,0.04213285446166992188
Standard,8,500000,500000,4,37864980,0.02640962600708007812
Bitonic,8,500000,500000,4,47140252,0.02121329307556152344
Standard,8,500000,500000,8,74320968,0.01345515251159667969
Bitonic,8,500000,500000,8,93922656,0.01064705848693847656
Standard,8,500000,500000,16,140198016,0.00713276863098144531
Bitonic,8,500000,500000,16,186016672,0.00537586212158203125
Standard,8,500000,500000,32,272853504,0.00366497039794921875
Bitonic,8,500000,500000,32,333596128,0.00299763679504394531
Standard,8,500000,500000,64,269678144,0.00370812416076660156
Bitonic,8,500000,500000,64,452704160,0.00220894813537597656
Standard,8,500000,500000,128,217885920,0.00458955764770507812
Bitonic,8,500000,500000,128,287714624,0.00347566604614257812
Standard,8,500000,500000,256,55440612,0.01803731918334960938
Bitonic,8,500000,500000,256,58131500,0.01720237731933593750
Standard,12,500000,500000,2,18952766,0.05276274681091308594
Bitonic,12,500000,500000,2,23313994,0.04289269447326660156
Standard,12,500000,500000,4,37482944,0.02667880058288574219
Bitonic,12,500000,500000,4,45922700,0.02177572250366210938
Standard,12,500000,500000,8,71735520,0.01394009590148925781
Bitonic,12,500000,500000,8,90184568,0.01108837127685546875
Standard,12,500000,500000,16,138517312,0.00721931457519531250
Bitonic,12,500000,500000,16,169981920,0.00588297843933105469
Standard,12,500000,500000,32,238042224,0.00420093536376953125
Bitonic,12,500000,500000,32,299850144,0.00333499908447265625
Standard,12,500000,500000,64,254200240,0.00393390655517578125
Bitonic,12,500000,500000,64,401023424,0.00249361991882324219
Standard,12,500000,500000,128,190598208,0.00524663925170898438
Bitonic,12,500000,500000,128,267681664,0.00373578071594238281
Standard,12,500000,500000,256,47423272,0.02108669281005859375
Bitonic,12,500000,500000,256,58321452,0.01714634895324707031
Standard,16,500000,500000,2,18961248,0.05273914337158203125
Bitonic,16,500000,500000,2,21620570,0.04625225067138671875
Standard,16,500000,500000,4,37482276,0.02667927742004394531
Bitonic,16,500000,500000,4,42691856,0.02342367172241210938
Standard,16,500000,500000,8,72034896,0.01388216018676757812
Bitonic,16,500000,500000,8,84012096,0.01190304756164550781
Standard,16,500000,500000,16,136836224,0.00730800628662109375
Bitonic,16,500000,500000,16,157995408,0.00632929801940917969
Standard,16,500000,500000,32,242810240,0.00411844253540039062
Bitonic,16,500000,500000,32,278654272,0.00358867645263671875
Standard,16,500000,500000,64,296040640,0.00337791442871093750
Bitonic,16,500000,500000,64,390785792,0.00255894660949707031
Standard,16,500000,500000,128,187354448,0.00533747673034667969
Bitonic,16,500000,500000,128,259211664,0.00385785102844238281
Standard,16,500000,500000,256,53691900,0.01862478256225585938
Bitonic,16,500000,500000,256,58349040,0.01713824272155761719
Standard,20,500000,500000,2,19016784,0.05258512496948242188
Bitonic,20,500000,500000,2,20652846,0.04841947555541992188
Standard,20,500000,500000,4,37481604,0.02667975425720214844
Bitonic,20,500000,500000,4,40808560,0.02450466156005859375
Standard,20,500000,500000,8,72132768,0.01386332511901855469
Bitonic,20,500000,500000,8,80298352,0.01245355606079101562
Standard,20,500000,500000,16,138824480,0.00720334053039550781
Bitonic,20,500000,500000,16,151167888,0.00661516189575195312
Standard,20,500000,500000,32,238910000,0.00418567657470703125
Bitonic,20,500000,500000,32,267562128,0.00373744964599609375
Standard,20,500000,500000,64,278339904,0.00359272956848144531
Bitonic,20,500000,500000,64,370521568,0.00269889831542968750
Standard,20,500000,500000,128,189615920,0.00527381896972656250
Bitonic,20,500000,500000,128,262817472,0.00380492210388183594
Standard,20,500000,500000,256,54738776,0.01826858520507812500
Bitonic,20,500000,500000,256,57179720,0.01748871803283691406
Standard,24,500000,500000,2,18998438,0.05263590812683105469
Bitonic,24,500000,500000,2,20666076,0.04838848114013671875
Standard,24,500000,500000,4,37392720,0.02674317359924316406
Bitonic,24,500000,500000,4,40869004,0.02446842193603515625
Standard,24,500000,500000,8,71586152,0.01396918296813964844
Bitonic,24,500000,500000,8,79960040,0.01250624656677246094
Standard,24,500000,500000,16,135426816,0.00738406181335449219
Bitonic,24,500000,500000,16,151791552,0.00658798217773437500
Standard,24,500000,500000,32,227087392,0.00440359115600585938
Bitonic,24,500000,500000,32,273369216,0.00365805625915527344
Standard,24,500000,500000,64,278413792,0.00359177589416503906
Bitonic,24,500000,500000,64,369054464,0.00270962715148925781
Standard,24,500000,500000,128,180260608,0.00554752349853515625
Bitonic,24,500000,500000,128,261539184,0.00382351875305175781
Standard,24,500000,500000,256,55258012,0.01809692382812500000
Bitonic,24,500000,500000,256,57392536,0.01742386817932128906
Standard,28,500000,500000,2,19013940,0.05259299278259277344
Bitonic,28,500000,500000,2,20656406,0.04841113090515136719
Standard,28,500000,500000,4,37069840,0.02697610855102539062
Bitonic,28,500000,500000,4,40849500,0.02448010444641113281
Standard,28,500000,500000,8,72862048,0.01372456550598144531
Bitonic,28,500000,500000,8,80329104,0.01244878768920898438
Standard,28,500000,500000,16,140985008,0.00709295272827148438
Bitonic,28,500000,500000,16,151490016,0.00660109519958496094
Standard,28,500000,500000,32,222757664,0.00448918342590332031
Bitonic,28,500000,500000,32,269921088,0.00370478630065917969
Standard,28,500000,500000,64,324963520,0.00307726860046386719
Bitonic,28,500000,500000,64,372959616,0.00268125534057617188
Standard,28,500000,500000,128,176795824,0.00565624237060546875
Bitonic,28,500000,500000,128,263975328,0.00378823280334472656
Standard,28,500000,500000,256,53667856,0.01863312721252441406
Bitonic,28,500000,500000,256,57457008,0.01740431785583496094
Standard,4,5000000,5000000,2,21775786,0.45922565460205078125
Bitonic,4,5000000,5000000,2,26945498,0.37111949920654296875
Standard,4,5000000,5000000,4,49980208,0.20007920265197753906
Bitonic,4,5000000,5000000,4,61448880,0.16273689270019531250
Standard,4,5000000,5000000,8,141421872,0.07071042060852050781
Bitonic,4,5000000,5000000,8,171450816,0.05832576751708984375
Standard,4,5000000,5000000,16,153118704,0.06530880928039550781
Bitonic,4,5000000,5000000,16,188682736,0.05299901962280273438
Standard,4,5000000,5000000,32,298592864,0.03349041938781738281
Bitonic,4,5000000,5000000,32,366538848,0.02728223800659179688
Standard,4,5000000,5000000,64,558875392,0.01789307594299316406
Bitonic,4,5000000,5000000,64,670809600,0.01490736007690429688
Standard,4,5000000,5000000,128,510709504,0.01958060264587402344
Bitonic,4,5000000,5000000,128,837303424,0.01194310188293457031
Standard,4,5000000,5000000,256,394646592,0.02533912658691406250
Bitonic,4,5000000,5000000,256,599434624,0.01668238639831542969
Standard,8,5000000,5000000,2,19399482,0.51547765731811523438
Bitonic,8,5000000,5000000,2,24126312,0.41448521614074707031
Standard,8,5000000,5000000,4,38997916,0.25642395019531250000
Bitonic,8,5000000,5000000,4,48362928,0.20676994323730468750
Standard,8,5000000,5000000,8,78408608,0.12753701210021972656
Bitonic,8,5000000,5000000,8,97856232,0.10219073295593261719
Standard,8,5000000,5000000,16,160959088,0.06212759017944335938
Bitonic,8,5000000,5000000,16,199431520,0.05014252662658691406
Standard,8,5000000,5000000,32,327490656,0.03053522109985351562
Bitonic,8,5000000,5000000,32,410658720,0.02435111999511718750
Standard,8,5000000,5000000,64,644029120,0.01552724838256835938
Bitonic,8,5000000,5000000,64,829077696,0.01206159591674804688
Standard,8,5000000,5000000,128,705138368,0.01418161392211914062
Bitonic,8,5000000,5000000,128,1108900224,0.00901794433593750000
Standard,8,5000000,5000000,256,359421408,0.02782249450683593750
Bitonic,8,5000000,5000000,256,474769536,0.02106285095214843750
Standard,12,5000000,5000000,2,19293630,0.51830577850341796875
Bitonic,12,5000000,5000000,2,23914334,0.41815924644470214844
Standard,12,5000000,5000000,4,38567744,0.25928401947021484375
Bitonic,12,5000000,5000000,4,47644464,0.20988798141479492188
Standard,12,5000000,5000000,8,76865352,0.13009762763977050781
Bitonic,12,5000000,5000000,8,95011120,0.10525083541870117188
Standard,12,5000000,5000000,16,152991920,0.06536293029785156250
Bitonic,12,5000000,5000000,16,188784640,0.05297040939331054688
Standard,12,5000000,5000000,32,300253696,0.03330516815185546875
Bitonic,12,5000000,5000000,32,367995648,0.02717423439025878906
Standard,12,5000000,5000000,64,525299200,0.01903676986694335938
Bitonic,12,5000000,5000000,64,685299008,0.01459217071533203125
Standard,12,5000000,5000000,128,458850208,0.02179360389709472656
Bitonic,12,5000000,5000000,128,868134272,0.01151895523071289062
Standard,12,5000000,5000000,256,375975200,0.02659749984741210938
Bitonic,12,5000000,5000000,256,534047712,0.01872491836547851562
Standard,16,5000000,5000000,2,19283252,0.51858472824096679688
Bitonic,16,5000000,5000000,2,23671316,0.42245221138000488281
Standard,16,5000000,5000000,4,38515896,0.25963306427001953125
Bitonic,16,5000000,5000000,4,46822716,0.21357154846191406250
Standard,16,5000000,5000000,8,76742432,0.13030600547790527344
Bitonic,16,5000000,5000000,8,93090704,0.10742211341857910156
Standard,16,5000000,5000000,16,152386592,0.06562256813049316406
Bitonic,16,5000000,5000000,16,184815888,0.05410790443420410156
Standard,16,5000000,5000000,32,298641760,0.03348493576049804688
Bitonic,16,5000000,5000000,32,359837696,0.02779030799865722656
Standard,16,5000000,5000000,64,528882656,0.01890778541564941406
Bitonic,16,5000000,5000000,64,666079744,0.01501321792602539062
Standard,16,5000000,5000000,128,452391648,0.02210474014282226562
Bitonic,16,5000000,5000000,128,841874688,0.01187825202941894531
Standard,16,5000000,5000000,256,354078176,0.02824234962463378906
Bitonic,16,5000000,5000000,256,536774720,0.01862978935241699219
Standard,20,5000000,5000000,2,19271964,0.51888847351074218750
Bitonic,20,5000000,5000000,2,21217216,0.47131538391113281250
Standard,20,5000000,5000000,4,38435564,0.26017570495605468750
Bitonic,20,5000000,5000000,4,42373984,0.23599386215209960938
Standard,20,5000000,5000000,8,76743136,0.13030481338500976562
Bitonic,20,5000000,5000000,8,84488656,0.11835908889770507812
Standard,20,5000000,5000000,16,151941104,0.06581497192382812500
Bitonic,20,5000000,5000000,16,167967008,0.05953550338745117188
Standard,20,5000000,5000000,32,298529088,0.03349757194519042969
Bitonic,20,5000000,5000000,32,327529024,0.03053164482116699219
Standard,20,5000000,5000000,64,541507968,0.01846694946289062500
Bitonic,20,5000000,5000000,64,607095872,0.01647186279296875000
Standard,20,5000000,5000000,128,453634432,0.02204418182373046875
Bitonic,20,5000000,5000000,128,764115072,0.01308703422546386719
Standard,20,5000000,5000000,256,361521824,0.02766084671020507812
Bitonic,20,5000000,5000000,256,506735936,0.01973414421081542969
Standard,24,5000000,5000000,2,19279698,0.51868033409118652344
Bitonic,24,5000000,5000000,2,20891484,0.47866392135620117188
Standard,24,5000000,5000000,4,38470288,0.25994086265563964844
Bitonic,24,5000000,5000000,4,41668940,0.23998689651489257812
Standard,24,5000000,5000000,8,76780080,0.13024210929870605469
Bitonic,24,5000000,5000000,8,83046312,0.12041473388671875000
Standard,24,5000000,5000000,16,152360032,0.06563401222229003906
Bitonic,24,5000000,5000000,16,165128128,0.06055903434753417969
Standard,24,5000000,5000000,32,297956512,0.03356194496154785156
Bitonic,24,5000000,5000000,32,322012096,0.03105473518371582031
Standard,24,5000000,5000000,64,521549856,0.01917362213134765625
Bitonic,24,5000000,5000000,64,592281984,0.01688385009765625000
Standard,24,5000000,5000000,128,442283168,0.02260994911193847656
Bitonic,24,5000000,5000000,128,761908096,0.01312494277954101562
Standard,24,5000000,5000000,256,364060448,0.02746796607971191406
Bitonic,24,5000000,5000000,256,527578784,0.01895451545715332031
Standard,28,5000000,5000000,2,19252512,0.51941275596618652344
Bitonic,28,5000000,5000000,2,20886678,0.47877407073974609375
Standard,28,5000000,5000000,4,38523820,0.25957965850830078125
Bitonic,28,5000000,5000000,4,41675316,0.23995018005371093750
Standard,28,5000000,5000000,8,76393000,0.13090205192565917969
Bitonic,28,5000000,5000000,8,83157288,0.12025403976440429688
Standard,28,5000000,5000000,16,152323504,0.06564974784851074219
Bitonic,28,5000000,5000000,16,164882112,0.06064939498901367188
Standard,28,5000000,5000000,32,298202240,0.03353428840637207031
Bitonic,28,5000000,5000000,32,321831712,0.03107213973999023438
Standard,28,5000000,5000000,64,539835264,0.01852416992187500000
Bitonic,28,5000000,5000000,64,600223808,0.01666045188903808594
Standard,28,5000000,5000000,128,467571584,0.02138710021972656250
Bitonic,28,5000000,5000000,128,768976256,0.01300430297851562500
Standard,28,5000000,5000000,256,284396224,0.03516221046447753906
Bitonic,28,5000000,5000000,256,531705280,0.01880741119384765625
