Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 100, 6, 316551, 0.00031590461730957031
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 6, 431069, 0.00023198127746582031
Parallel Merge Sort using Bitonic Merge, 28, 100, 6, 185178, 0.00054001808166503906
Parallel Merge Sort using Serial Merge, 28, 100, 8, 408006, 0.00024509429931640625
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 8, 226719, 0.00044107437133789062
Parallel Merge Sort using Bitonic Merge, 28, 100, 8, 208360, 0.00047993659973144531
Parallel Merge Sort using Serial Merge, 28, 100, 16, 100606, 0.00099396705627441406
Parallel Merge Sort using Serial Merge Branchless, 28, 100, 16, 358487, 0.00027894973754882812
Parallel Merge Sort using Bitonic Merge, 28, 100, 16, 101311, 0.00098705291748046875
