Name,Entropy,A Size,B Size,Elements Per Second,Total Time
Basic Merge,4,32768,32768,102052312,0.00064218044281005859
SSE Bitonic Merge,4,32768,32768,128796696,0.00050883291987702250
AVX-512 Merge Path Based Merge,4,32768,32768,150379072,0.00043580532656051219
Basic Merge,8,32768,32768,96921088,0.00067617895547300577
SSE Bitonic Merge,8,32768,32768,118018936,0.00055530073586851358
AVX-512 Merge Path Based Merge,8,32768,32768,172683696,0.00037951470585539937
Basic Merge,12,32768,32768,96914256,0.00067622662754729390
SSE Bitonic Merge,12,32768,32768,109946760,0.00059607031289488077
AVX-512 Merge Path Based Merge,12,32768,32768,173621728,0.00037746428279206157
Basic Merge,16,32768,32768,96340216,0.00068025587825104594
SSE Bitonic Merge,16,32768,32768,105377768,0.00062191486358642578
AVX-512 Merge Path Based Merge,16,32768,32768,176793088,0.00037069321842864156
Basic Merge,20,32768,32768,96634880,0.00067818164825439453
SSE Bitonic Merge,20,32768,32768,103892168,0.00063080788822844625
AVX-512 Merge Path Based Merge,20,32768,32768,173599792,0.00037751198397018015
Basic Merge,24,32768,32768,96326712,0.00068035128060728312
SSE Bitonic Merge,24,32768,32768,104727360,0.00062577723292633891
AVX-512 Merge Path Based Merge,24,32768,32768,174392784,0.00037579535273835063
Basic Merge,28,32768,32768,96852784,0.00067665579263120890
SSE Bitonic Merge,28,32768,32768,105196288,0.00062298774719238281
AVX-512 Merge Path Based Merge,28,32768,32768,174470272,0.00037562847137451172
Basic Merge,4,65536,65536,101152888,0.00129578111227601767
SSE Bitonic Merge,4,65536,65536,126090784,0.00103950500488281250
AVX-512 Merge Path Based Merge,4,65536,65536,162471792,0.00080673693446442485
Basic Merge,8,65536,65536,96067488,0.00136437418404966593
SSE Bitonic Merge,8,65536,65536,117978416,0.00111098284833133221
AVX-512 Merge Path Based Merge,8,65536,65536,152152064,0.00086145399836823344
Basic Merge,12,65536,65536,95437088,0.00137338635977357626
SSE Bitonic Merge,12,65536,65536,108100480,0.00121250154916197062
AVX-512 Merge Path Based Merge,12,65536,65536,149422656,0.00087718962458893657
Basic Merge,16,65536,65536,96003744,0.00136528012808412313
SSE Bitonic Merge,16,65536,65536,103506832,0.00126631255261600018
