Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 50, 50, 155344592, 0.00000064373017494290
Serial Merge Branchless, 28, 50, 50, 209715200, 0.00000047683715820312
Bitonic Merge, 28, 50, 50, 262144000, 0.00000038146973224684
Serial Merge, 32, 50, 50, 144631168, 0.00000069141390213190
Serial Merge Branchless, 32, 50, 50, 299593152, 0.00000033378600505785
Bitonic Merge, 32, 50, 50, 524288000, 0.00000019073486612342
Serial Merge, 28, 64, 65, 169082880, 0.00000076293946449368
Serial Merge Branchless, 28, 64, 65, 338165760, 0.00000038146973224684
Bitonic Merge, 28, 64, 65, 174537168, 0.00000073909757247748
Serial Merge, 32, 64, 65, 208102016, 0.00000061988828292669
Serial Merge Branchless, 32, 64, 65, 386475168, 0.00000033378600505785
Bitonic Merge, 32, 64, 65, 216426080, 0.00000059604644775391
Serial Merge, 28, 65, 65, 165230160, 0.00000078678129966647
Serial Merge Branchless, 28, 65, 65, 247845232, 0.00000052452088539212
Bitonic Merge, 28, 65, 65, 320740896, 0.00000040531159584134
Serial Merge, 32, 65, 65, 160370448, 0.00000081062319168268
Serial Merge Branchless, 32, 65, 65, 419430400, 0.00000030994414146335
Bitonic Merge, 32, 65, 65, 454382912, 0.00000028610230629056
